OTU,LDA_score,CLass
Thermoanaerobacteraceae,4.965273063753533,nonIBD
Mollicutes_RF9__order__,5.107787863301801,nonIBD
Clostridiales_vadinBB60_group,5.18716591769403,nonIBD
Family_XIII,5.346098849517611,nonIBD
Victivallaceae,5.5574426862869855,nonIBD
Neisseriaceae,5.862925809513487,nonIBD
Christensenellaceae,5.91060076238879,nonIBD
Prevotellaceae,6.020191633789955,nonIBD
Gastranaerophilales__order__,6.247066282795168,nonIBD
Porphyromonadaceae,6.746814634074833,nonIBD
Rikenellaceae,6.776976187007979,nonIBD
Desulfovibrionaceae,7.077442417144162,nonIBD
