OTU,LDA_score,CLass
Ruminococcaceae_UCG_004,5.607753247113495,CD
f__Eubacterium_coprostanoligenes_group,6.320057342980007,CD
Tyzzerella,6.639994568331277,CD
Blautia,7.449691020151739,CD
Mollicutes_RF9__order__,5.447812334195536,UC
Ruminococcaceae_UCG_013,5.4719113012112235,UC
Ruminococcaceae_UCG_005,6.121370349816443,UC
Phascolarctobacterium,6.264654031216873,UC
Butyricimonas,6.3453321876926125,UC
Ruminiclostridium,6.523515592033125,UC
Akkermansia,6.727062358461453,UC
Alistipes,6.756024623331791,UC
Lachnospiraceae_FCS020_group,3.7149278338187197,nonIBD
Cloacibacillus,3.808660984120761,nonIBD
Gelria,3.840954122115301,nonIBD
Family_XIII_UCG_001,4.047705848566195,nonIBD
Anaeroglobus,4.157444288521506,nonIBD
Stomatobaculum,4.301644515938985,nonIBD
Victivallis,4.382956261892183,nonIBD
f__Eubacterium_ventriosum_group,4.391340485712421,nonIBD
Peptococcus,4.555086155541578,nonIBD
Methanobrevibacter,4.556100754682612,nonIBD
Clostridiales_vadinBB60_group__family__,4.557437073465497,nonIBD
Ruminococcaceae_UCG_010,4.661192851351868,nonIBD
Lachnospiraceae_ND3007_group,5.107990151805194,nonIBD
Gastranaerophilales__order__,5.473550888066917,nonIBD
Actinomyces,5.563791498002756,nonIBD
Family_XIII_AD3011_group,5.589466888548814,nonIBD
Bifidobacterium,5.658946909464629,nonIBD
Odoribacter,5.74903811639303,nonIBD
Lachnospiraceae_UCG_001,5.961778950961316,nonIBD
Flavonifractor,6.017220608976036,nonIBD
Christensenellaceae_R_7_group,6.109480951870558,nonIBD
Parasutterella,6.237570208407648,nonIBD
Butyricicoccus,6.366078397585322,nonIBD
Barnesiella,6.5144355171024,nonIBD
Gemella,6.517597391330963,nonIBD
Fusicatenibacter,6.618070141659466,nonIBD
Lachnospiraceae_UCG_010,6.621343072139053,nonIBD
Parabacteroides,6.665047945349893,nonIBD
Lachnospiraceae_UCG_008,6.735475551870661,nonIBD
Eikenella,6.756840379382005,nonIBD
Dorea,6.908627134709132,nonIBD
Coprococcus,6.948942410325624,nonIBD
Roseburia,6.980344586149956,nonIBD
Anaerostipes,6.98625872451736,nonIBD
Streptococcus,7.040129844957368,nonIBD
Bilophila,7.042587058789819,nonIBD
Ruminococcus,7.061069120357428,nonIBD
Subdoligranulum,7.117152143504143,nonIBD
uncultured,7.252479295961627,nonIBD
Ruminococcaceae_UCG_002,7.329047902429948,nonIBD
Faecalibacterium,7.7804438607331985,nonIBD
