OTU,LDA_score,CLass
f__Eubacterium_coprostanoligenes_group,5.8566687874250185,CD
Christensenellaceae_R_7_group,5.877851294792293,CD
Bilophila,6.406973283678631,CD
Lachnospiraceae_UCG_010,6.428265653877468,CD
Mollicutes_RF9__order__,5.082475747710409,UC
Alistipes,6.512431011944298,UC
Family_XIII_UCG_001,3.4455951325648324,nonIBD
Lachnospiraceae_FCS020_group,3.5253813525638735,nonIBD
Clostridiales_vadinBB60_group__family__,4.185297065643961,nonIBD
f__Eubacterium_ventriosum_group,4.275898092220718,nonIBD
Anaeroglobus,4.288534451922923,nonIBD
Stomatobaculum,4.3773889825479415,nonIBD
Actinomyces,4.746233072690102,nonIBD
Anaerofilum,4.819530378829514,nonIBD
Lachnospiraceae_UCG_001,4.894609251820818,nonIBD
Lachnospiraceae_ND3007_group,5.218470079858164,nonIBD
Gastranaerophilales__order__,5.301486313217437,nonIBD
Odoribacter,5.88021281895668,nonIBD
Barnesiella,6.110589263551228,nonIBD
Ruminococcus,6.172398922003503,nonIBD
Dialister,6.3432242912979255,nonIBD
