"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206614",0.004240282685512367,0.004240282685512367,0.6226148409893992,0.2826855123674912,0.02402826855123675,0.0,0.0,0.0,0.0014134275618374558,0.0,0.0,0.0028268551236749115,0.0,0.05017667844522968,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.0,0.6822429906542056,0.009345794392523364,0.29906542056074764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206620",0.0,0.0,0.33870967741935476,0.24193548387096775,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.004807692307692308,0.09134615384615385,0.19230769230769232,0.2932692307692308,0.0,0.0,0.0,0.2980769230769231,0.0,0.11538461538461539,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.35714285714285715,0.0,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206629",0.015090329436769395,0.022741764080765142,0.7145589798087142,0.08076514346439957,0.05568544102019128,0.01381509032943677,0.0,0.0,0.0,0.0,0.0,0.022741764080765146,0.0,0.014665249734325186,0.05058448459086079,0.0,0.0,0.005951115834218916,0.0,0.0004250797024442083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002975557917109458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206635",0.0,0.014987577141941173,0.7365953354171678,0.1911517191632604,0.0033661937965857175,0.02200048088482808,0.0,0.0,0.0,0.0,0.0,0.014987577141941173,0.0,0.012382784323154605,0.0028452352328284043,0.0,0.0,0.00020036867836819747,0.0,4.0073735673639494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009216959204937084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005209585637573135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206643",0.000731475385853266,0.000365737692926633,0.5314168678223977,0.38936434788969354,0.05083753931680199,0.0016092458488771852,0.0,0.0,0.0,0.0,0.0,0.008777704630239191,0.0,0.0019018360032184917,0.01441006510130934,0.0,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001462950771706532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021944261575597982,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.033623910336239106,0.0,0.4819427148194272,0.3549190535491905,0.0286425902864259,0.0,0.0,0.0,0.0,0.0,0.0,0.019925280199252802,0.0,0.08094645080946451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.0007393554560083504,0.027530117861957987,0.6241899708606968,0.15900491453920762,0.0007393554560083504,0.0002609489844735354,0.0,0.0,0.0,0.0,0.0,0.015309007089114078,0.0,0.006088809637715827,0.12225459922585134,0.0,0.0,0.0001739659896490236,0.0,0.0001739659896490236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206655",0.014102564102564103,0.011538461538461539,0.7123931623931621,0.2076923076923077,0.018376068376068377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00811965811965812,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206657",0.0034645178870333607,0.00868075830121842,0.4018840748958698,0.4101366343571178,0.0009731791817509441,3.892716727003776e-05,0.0,0.0,0.0,0.0,0.0,0.0018295768616917744,0.0,0.0049826774105648335,0.0008953248472108686,0.0,0.0,0.0,7.785433454007552e-05,0.0003503445054303398,0.0,0.0,0.00015570866908015105,0.0,0.0,0.0,0.0,0.0,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.0018117369042930287,0.028830248129184718,0.33934619929105947,0.2703426545884206,0.014178810555336747,0.0027569909413154787,0.0,0.0,0.0,0.0,0.0,0.008901142181961403,0.0,0.27483261126427727,0.007483261126427727,0.0,0.0,0.008349743993698306,0.0,0.0005513981882630957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206667",0.0009524716639679969,0.01571578245547195,0.41146775883417464,0.5158586532050672,0.011239165634822364,0.0008572244975711973,0.0,0.0,0.0,0.0,0.0,0.016096771121059148,0.0,0.01247737879798076,0.0034288979902847893,0.0,0.0,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206669",0.0,0.0,0.06382978723404255,0.010638297872340425,0.6170212765957446,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.02127659574468085,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.0,0.00012641425952847481,0.2021364009860312,0.6000252828519057,0.12900575184880855,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.007521648441944251,0.0,0.04184311990392516,0.0,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206675",0.0007594936708860759,0.016962025316455697,0.6070886075949367,0.3083544303797468,0.015443037974683544,0.0020253164556962027,0.0,0.0,0.0,0.0,0.0,0.014683544303797468,0.0,0.0210126582278481,0.006329113924050633,0.0,0.0,0.0,0.0,0.0012658227848101266,0.0,0.0,0.0027848101265822785,0.0,0.0,0.0,0.0,0.0,0.0,0.0017721518987341772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010126582278481013,0.0,0.0,0.0,0.0,0.0,0.0005063291139240507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206677",0.01059705350219695,0.010467821142414062,0.5116309123804599,0.1371155337296459,0.24282760403204962,0.0037477384337037995,0.0,0.0,0.0,0.0012923235978288964,0.006073920909795813,0.035797363659860436,0.0027138795554406824,0.01382786249676919,0.012147841819591625,0.0,0.0,0.005427759110881365,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002455414835874903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00361850607392091,0.0,0.0,0.0,0.00012923235978288964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
