OTU,LDA_score,CLass
Comamonadaceae,4.856134143694771,CD
Finegoldia,4.273291629769978,UC
Corynebacterium,5.604911465115905,UC
Corynebacteriaceae,5.607349238314991,UC
Corynebacteriales,5.612243842645703,UC
f__Eubacterium_ventriosum_group,5.753232437752012,UC
f__Eubacterium_xylanophilum_group,5.970917555329031,UC
Lactonifactor,4.366741773283389,nonIBD
Ruminococcaceae_UCG_004,5.024854119526654,nonIBD
Faecalitalea,5.322588407975215,nonIBD
Lachnospiraceae_UCG_001,5.384201224682432,nonIBD
Stomatobaculum,5.519998521536524,nonIBD
Ruminococcaceae_NK4A214_group,5.585966818121505,nonIBD
Candidatus_Stoquefichus,5.59565308461591,nonIBD
f__Eubacterium_coprostanoligenes_group,5.688566400251303,nonIBD
Intestinibacter,5.725764399579356,nonIBD
Butyricicoccus,5.849923463858316,nonIBD
Lachnospiraceae_ND3007_group,5.944692167655793,nonIBD
f__Eubacterium_eligens_group,6.149009953358308,nonIBD
Bilophila,6.312935110094147,nonIBD
Lachnospira,6.396832013788557,nonIBD
Desulfovibrionales,6.442834943302384,nonIBD
Desulfovibrionaceae,6.446569627312329,nonIBD
Deltaproteobacteria,6.4471551913681795,nonIBD
Verrucomicrobiae,6.468506408848601,nonIBD
Verrucomicrobiales,6.4685178571082,nonIBD
Akkermansia,6.468518139960306,nonIBD
Verrucomicrobiaceae,6.468519752486333,nonIBD
Verrucomicrobia,6.471834000783493,nonIBD
Christensenellaceae_R_7_group,6.568163043931967,nonIBD
Christensenellaceae,6.569936395054072,nonIBD
Alistipes,6.772781345109515,nonIBD
Rikenellaceae,6.772847558592373,nonIBD
Flavonifractor,6.77833223694562,nonIBD
Ruminococcaceae_UCG_002,6.869255606715483,nonIBD
Ruminococcus,6.8724441731303925,nonIBD
Subdoligranulum,7.204031631842793,nonIBD
