OTU,LDA_score,CLass
Desulfovibrionaceae,6.7083190973332085,CD
ML635J_21__class__,4.326959183472147,UC
Nocardiaceae,4.458715857438113,UC
Alcaligenaceae,6.955169531975961,UC
Rikenellaceae,7.549337939358388,UC
Ruminococcaceae,8.288096826929173,UC
Christensenellaceae,6.015332510828422,nonIBD
Bifidobacteriaceae,6.158250989325687,nonIBD
Family_XIII,6.24126188443998,nonIBD
Verrucomicrobiaceae,7.256611794810653,nonIBD
Streptococcaceae,7.592599992024139,nonIBD
Bacteroidaceae,8.352274393121307,nonIBD
Lachnospiraceae,8.512241362472896,nonIBD
