OTU,LDA_score,CLass
Lachnospiraceae_UCG_001,5.599657393631052,CD
f__Eubacterium_coprostanoligenes_group,6.026224875328158,CD
Ruminococcus,6.335194733645818,CD
f__Eubacterium_eligens_group,6.514271503780691,CD
Christensenellaceae_R_7_group,6.644631353183305,CD
Lachnospiraceae_NK4A136_group,7.0169137309759515,CD
Alistipes,7.783633907870798,CD
Finegoldia,4.926786522321511,UC
Lachnospiraceae_ND3007_group,6.13634595256994,UC
Lachnospira,6.250541741745277,UC
Bilophila,6.888061004507563,UC
Lactonifactor,5.521100252494236,nonIBD
Stomatobaculum,5.535653692562783,nonIBD
Ruminococcaceae_UCG_004,5.568101091607657,nonIBD
Ruminococcaceae_UCG_014,5.916154837157561,nonIBD
Ruminococcaceae_NK4A214_group,6.106419591633925,nonIBD
Ruminococcaceae_UCG_005,6.382519718222435,nonIBD
Ruminococcaceae_UCG_002,6.775178914702255,nonIBD
Akkermansia,7.5595561116978045,nonIBD
