"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206758",0.0,0.0,0.33864912217971177,0.43805198984517474,0.021739907748417726,0.01362319876997894,0.0,0.0,0.0,0.0,0.0,0.014731648013730472,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.000250294990524547,0.0,0.0005005899810490934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610377,0.0013394770681525925,0.00300042863266181,0.9919095585083583,5.35790827261037e-05,0.0,0.0,0.0,0.000964423489069867,0.0,0.000964423489069867,0.0,0.0,0.00032147449635662267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.003911678418858404,0.6235524216377576,0.3273457203149934,0.002367594832466931,0.001029389057594318,0.0,0.0,0.0,0.0,0.00025734726439858,0.003191106078542381,0.0,0.005249884193731017,0.029543465952956916,0.0,0.0,0.001132327963353749,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",4.10172272354389e-05,0.0005742411812961448,0.5054552912223138,0.41267432321575065,0.03506972928630026,0.0008203445447087778,0.0,0.0,0.0,0.0,0.0,0.007424118129614442,0.0,0.014602132895816236,0.013412633305988473,0.0,0.0,0.00143560295324036,0.0,0.000287120590648072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079163248564397,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0002350866882162798,0.00910960916838084,0.34728181016749926,0.5416985013223622,0.04278577725536295,0.0007640317367029089,0.0,0.0,0.0,0.0,0.0,0.01057890096973259,0.0,0.035733176608874526,0.0011754334410813997,0.0,0.0,0.000999118424919189,0.0,0.00035263003232442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717014399059653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019394652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",3.57040845472722e-05,0.00692659240217081,0.39495858326192473,0.4647957726363897,0.002035132819194515,0.001392459297343614,0.0,0.0,0.0,0.0,0.0,0.018244787203656052,0.0,0.05580548414738645,0.001570979720079977,0.0,0.0,0.000214224507283633,0.0,0.0001785204227363612,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.00574835761211083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469151670951157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0,0.5187714918272178,0.3864053888548686,0.001507371991144194,0.006359225587639553,0.0,0.0,0.0,0.0,0.0,0.008997126572141882,0.0,0.05049696170333033,0.015921616656460476,0.0,0.0,0.000518159121955815,0.0,0.00390974610203024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711291158321164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.000736139866574649,0.3703703703703709,0.5896020243846326,0.0011042097998619743,0.003082585691281343,0.0,0.0,0.0,0.0,0.0,0.0013342535081665523,0.0,0.00515297906602254,0.008189556015642967,0.0,0.0,0.00676328502415459,0.0,0.0023464458247066966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111801242236025,0.0,0.000138026224982747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,0.0037156304186276947,0.46494921971761255,0.5189497151350017,0.000495417389150359,0.0004334902155065639,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0006192717364379488,0.0,0.0026628684666831796,0.005016101065147383,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297250433490215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.000129612027996198,0.05054869091851727,0.28596733776894456,0.6090901235634668,0.001512140326622312,0.000475244102652726,0.0,0.0,0.0,4.3204009332066e-05,0.0,0.000518448111984792,0.0,0.03957487254817246,0.001684956363950572,0.0,0.0,0.00233301650393156,0.0,0.000172816037328264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794953771710015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
