"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Run_SP154(order)","Pasteurellaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","Solibacteraceae_Subgroup_3_","uncultured","Pseudomonadaceae","Flavobacteriaceae","Sphingobacteriaceae","Kineosporiaceae","Sphingomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","DA101_soil_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Bifidobacteriaceae","Thermaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Aerococcaceae","NB1_n(order)","Oscillochloridaceae","Actinomycetaceae","Family_XII","Defluviitaleaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Succinivibrionaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Pseudonocardiaceae","Alicyclobacillaceae","Cytophagaceae","FamilyI","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Neisseriaceae","Subgroup_6(class)","Listeriaceae","Campylobacteraceae","Synergistaceae","MB_A2_108(class)","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Micromonosporaceae","Caldilineaceae","Erythrobacteraceae","Acidaminococcaceae","Mycobacteriaceae","Bacteroidales_S24_7_group","Planctomycetaceae","SM2D12","Desulfurellaceae","Unknown_Family","Anaerolineaceae","WCHA1_57(class)","Chromatiaceae","OPB56","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","Chitinophagaceae","OPB35_soil_group(class)","Tectomicrobia(phylum)","vadinBE97","NS11_12_marine_group","Paenibacillaceae","Nocardiaceae","Carnobacteriaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Methanobacteriaceae","Bacteriovoracaceae","Streptosporangiales_Incertae_Sedis","Nitrospiraceae","Microbacteriaceae","Planococcaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Cardiobacteriaceae","Xanthomonadaceae","Cryomorphaceae","Geobacteraceae","env_OPS_17","Bdellovibrionaceae","Shewanellaceae","Obscuribacterales(order)","Thermoplasmatales_Incertae_Sedis","Lentimicrobiaceae","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Gitt_GS_136(class)","Chthoniobacteraceae","Family_X","Staphylococcaceae","Bacteroidetes_vadinHA17(class)","Deinococcaceae","Acidimicrobiaceae","Rhodospirillales_Incertae_Sedis","Coxiellaceae","Cyanobacteria(phylum)","NB1_j(order)","X35(order)","Enterobacteriaceae","Haliangiaceae","ABS_19","ML635J_21(class)","Acidobacteriaceae_Subgroup_1_","mle1_27","Brevibacteriaceae","Clostridiaceae_1","PHOS_HE51","Methylophilaceae","288_2","Alteromonadaceae","Heliobacteriaceae","Oligosphaeraceae","Solirubrobacteraceae","Bacillaceae","KD4_96(class)","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","TK10(class)","FamilyII","Candidatus_Nomurabacteria(class)","Aeromonadaceae","SC_I_84(order)","Propionibacteriaceae","Bogoriellaceae","Phyllobacteriaceae","Gemmatimonadaceae","Bradyrhizobiaceae","Sanguibacteraceae","NS9_marine_group","Cellvibrionaceae","Myxococcaceae","Latescibacteria(phylum)","UA11(class)","Subgroup_2(class)","Lineage_IIb(order)","Elev_16S_1332","Polyangiaceae","1174_901_12","Oligoflexaceae","Rhodocyclaceae","Dermabacteraceae","Family_III","Lineage_IIc(order)","Saprospiraceae"
"X206758",0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.019093932134301123,0.0,0.000178782136088962,0.0,0.000107269281653377,0.0,0.0,0.0,0.0,0.000107269281653377,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.306396824829263,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.0,0.0,0.00178782136088962,0.0,0.0133371473522366,0.0,0.0005005899810490934,0.0,0.437837451281868,0.00014302570887117,0.0071870418707762765,0.011942646690742685,0.0,7.15128544355848e-05,0.0,0.000250294990524547,0.0,0.00014302570887117,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568527192762899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021310830621804215,0.0,0.0,0.0,0.0,0.0,0.0,0.00100117996209819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.000482211744534934,0.0,0.0,0.0,0.0,0.0005893699099871412,0.0,0.0,0.0,0.000107158165452207,0.0,0.0,0.0,0.0,0.000321474496356622,0.000964423489069867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006965280754393473,0.0,0.0,0.00032147449635662267,0.0,0.0,0.0,5.35790827261037e-05,0.0006429489927132448,0.0,0.0,0.0,0.0,0.0,0.00171453064723532,0.0,0.000375053579082726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128589798542649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.000154408358639148,5.14694528797159e-05,0.000566163981676875,0.0,0.0,0.3177209326264859,0.0,0.001338205774872613,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,5.14694528797159e-05,0.0,0.0,0.0,0.0,0.0,0.000360286170158011,0.0,0.0,0.30567708065263244,0.0033455144371815288,0.005249884193731017,0.029543465952956916,0.0,0.0,0.0,0.0,5.14694528797159e-05,0.000308816717278295,5.14694528797159e-05,0.0,0.000514694528797159,0.0,0.321632611045345,0.00514694528797159,0.00169849194503062,5.14694528797159e-05,0.0,0.0,0.0,0.000823511246075454,0.0,0.0,0.0,0.0,0.000669102887436307,0.0,0.0,0.0,0.0,0.0,0.0,0.000102938905759432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154408358639148,0.0,0.0,0.0,0.0,0.0,0.0,0.000617633434556591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102938905759432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977919604714602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,0.0,0.0,4.10172272354389e-05,0.0001230516817063167,0.0,0.276127973748975,0.0,0.031214109926169006,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.22904019688269076,0.0,0.014520098441345358,0.013412633305988473,0.0,0.0,0.0,0.0,0.0008613617719442169,0.0,0.000574241181296144,0.0,0.000287120590648072,0.0,0.411115668580804,0.00151763740771124,0.00602953240360952,0.0,0.0,0.0,0.0,0.00143560295324036,0.0,4.10172272354389e-05,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123051681706317,0.0,0.0079163248564397,0.000492206726825267,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000410172272354389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20344544708778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0,0.0,0.000705260064648839,0.00017631501616221,0.00011754334410814,0.0,0.09332941522186317,0.0,0.0340875697913606,0.0,0.00017631501616220988,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.00129297678518954,0.0,0.0,0.2505436379665,0.00887452248016456,0.035733176608874526,0.0011754334410813997,0.0,0.0,0.0,0.0,0.000822803408756979,0.0,0.000646488392594769,0.0,0.00035263003232442,0.0,0.436497208345577,0.0989127240669997,0.00852189244784014,0.00182192183367617,0.0,0.00611225389362327,0.0,0.000999118424919189,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,0.00717014399059653,0.00023508668821628,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011754334410814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017631501616221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008404349103732,0.0,0.0,0.0,0.0,0.0,0.0,0.00035263003232442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019394652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011754334410814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",0.0,3.57040845472722e-05,0.001249642959154527,0.0,0.0002856326763781776,0.0,0.2846329620108536,0.0,0.00146386746643816,3.57040845472722e-05,0.000178520422736361,0.0006426735218509,0.0,0.0,0.0,7.14081690945444e-05,0.0,0.0,0.0,0.0,0.0,0.00360611253927449,3.57040845472722e-05,0.0,0.1055055698371894,0.006890888317623538,0.05580548414738645,0.001570979720079977,0.00117823479005998,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.001321051128249069,0.0,0.0001785204227363612,0.0,0.330655526992288,0.0488788917452157,0.0144601542416452,0.001178234790059979,0.0,0.085261353898886,0.0,0.000214224507283633,0.0,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00574835761211083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000142816338189089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032133676092544936,0.0,0.0,0.0,0.0,0.0,0.0,0.000214224507283633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469151670951157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0,0.0,0.0552074991756559,4.71053747232559e-05,0.0,0.2856469923218242,0.0,0.00108342361863489,0.0,4.71053747232559e-05,0.0,0.0,0.0,0.0,0.00023552687361628,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.0,0.0,0.0,0.23053370389561456,0.0,0.05049696170333033,0.015921616656460476,0.0,0.0,0.0,0.0,0.003108954731734893,0.0,0.00626501483819304,0.0,0.00390974610203024,0.0,0.327570775825522,9.42107494465118e-05,0.00504027509538838,0.0016486881153139617,0.0,0.00353290310424419,0.0,0.000518159121955815,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711291158321164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164868811531396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42107494465118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141316124169768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.0,0.0,0.00041407867494824,4.60087416609156e-05,0.0,0.05175983436852995,0.0,0.000138026224982747,0.0,0.000138026224982747,0.0,0.0,0.0,0.0,4.60087416609156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31387163561076664,0.000736139866574649,0.0034046468829077503,0.008189556015642967,0.0,0.0,0.0,0.0,0.0004140786749482406,0.0,0.00280653324131585,0.0,0.0023464458247066966,0.0,0.545801702323441,0.0432022084195997,0.00115021854152289,0.004278812974465147,0.0,0.000184034966643662,0.0,0.00676328502415459,0.0,0.0,0.0,0.0,0.000276052449965493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111801242236025,0.0,0.0,0.0,0.000138026224982747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174833218311479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20174833218311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000736139866574649,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,0.0,6.19271736437949e-05,6.19271736437949e-05,0.00012385434728759,0.0,0.2203988109982664,0.0,0.000309635868218974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.24244488481545706,0.0037156304186276947,0.0026628684666831796,0.005016101065147383,0.0,0.0,0.0,0.0,0.0,0.0,0.000371563041862769,0.0,6.19271736437949e-05,0.0,0.518516224919495,0.0,0.000371563041862769,0.0017958880356700548,0.0,0.000371563041862769,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297250433490215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012385434728759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185781520931385,0.0,0.0,0.0,0.0,0.0,0.0,0.00012385434728759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.0,0.00021602004666033,0.000129612027996198,0.000172816037328264,0.0,0.13419165298539668,0.0,8.6408018664132e-05,0.000259224055992396,0.0,0.0,0.0,0.0,0.0,0.0,4.3204009332066e-05,0.0,0.0,0.000129612027996198,0.0,0.0,0.0,0.0,0.15091160459690658,0.0505054869091852,0.03957487254817246,0.001684956363950572,0.0,0.0,0.0,0.0,0.000259224055992396,0.0,0.000129612027996198,0.0,0.000172816037328264,0.0,0.462110083815778,0.01671995161150954,0.000388836083988594,4.3204009332066e-05,0.0,0.130130476108183,0.0,0.00233301650393156,0.0,0.0,0.0,0.0,8.6408018664132e-05,0.0,8.6408018664132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794953771710015,4.3204009332066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000129612027996198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142573230795818,0.0,0.0,0.0,0.0,0.0,0.0,8.6408018664132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
