"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Run_SP154","Pasteurellales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingobacteriales","Kineosporiales","Sphingomonadales","Micrococcales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Fusobacteriales","Bifidobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Opitutales","Caulobacterales","NB1_n","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Aeromonadales","Pseudonocardiales","Cytophagales","SubsectionIII","Gastranaerophilales","Desulfovibrionales","Neisseriales","Subgroup_6(class)","Campylobacterales","Synergistales","MB_A2_108(class)","Nitrospirales","Mollicutes_RF9","Micromonosporales","Caldilineales","Planctomycetales","Rickettsiales","Desulfurellales","Unknown_Order","Anaerolineales","WCHA1_57(class)","Chromatiales","Chlorobiales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Streptosporangiales","JG30_KF_CM45","Cardiobacteriales","Xanthomonadales","Myxococcales","Desulfuromonadales","Alteromonadales","Obscuribacterales","Thermoplasmatales","Candidatus_Falkowbacteria(class)","Streptomycetales","Chloroplast(class)","Frankiales","Gitt_GS_136(class)","Bacteroidetes_vadinHA17(class)","Deinococcales","Legionellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Subgroup_10","ML635J_21(class)","Acidobacteriales","Methylophilales","Solirubrobacterales","Oligosphaerales","SubsectionIV","KD4_96(class)","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","SubsectionII","Candidatus_Nomurabacteria(class)","SC_I_84","Gemmatimonadales","Cellvibrionales","Latescibacteria(phylum)","SubsectionI","UA11(class)","Subgroup_2(class)","Lineage_IIb","Oligoflexales","Rhodocyclales","Lineage_IIc"
"X206758",0.0,0.0,0.33864912217971177,0.43805198984517474,0.0,0.0,0.000178782136088962,0.0,0.000214538563306754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.013051095934494227,0.0,0.1571494976221975,0.015267994421997354,0.0,0.0,0.0016805520792362424,0.000250294990524547,0.0133371473522366,0.0,0.0005005899810490934,0.0,0.0,0.0,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021310830621804215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610377,0.0013394770681525925,0.00300042863266181,0.0,0.0,0.0,0.0,0.000428632661808829,0.0,0.0,0.0,0.000964423489069867,0.0,0.0,0.0,0.0,0.000375053579082726,0.0,0.0,0.00032147449635662267,0.0,0.0,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000910844406343763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.003602861701580109,0.6235524216377576,0.3273457203149934,0.0,0.0,0.001338205774872613,0.000308816717278295,5.14694528797159e-05,0.0,0.0,0.0,0.0,0.00025734726439858,0.0,0.0,0.0,0.002676411549745222,0.0,0.005249884193731017,0.029543465952956916,0.0,0.0,0.000514694528797159,0.001132327963353749,5.14694528797159e-05,0.0,0.000514694528797159,0.0,0.0,0.0,0.0,0.0,0.000669102887436307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00190436975654949,0.000308816717278295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000977919604714602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.20344544708778e-05,0.5054552912223138,0.41267432321575065,0.0,0.0,0.031214109926169006,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.000123051681706317,0.006480721903199348,0.0,0.014602132895816236,0.013412633305988473,0.0,0.0,0.0009433962264150948,0.00143560295324036,0.000574241181296144,0.0,0.000287120590648072,0.0,0.0,0.0,0.0,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079163248564397,0.000492206726825267,0.0,0.000123051681706317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10172272354389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037735849056603787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000164068908941756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0,0.00887452248016456,0.34728181016749926,0.5416985013223622,0.0,0.0,0.0340875697913606,0.0,0.00023508668821627977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.00993241257713782,0.0,0.035733176608874526,0.0011754334410813997,0.0,0.0,0.0006464883925947689,0.000999118424919189,0.000646488392594769,0.0,0.00035263003232442,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0002350866882162798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717014399059653,0.00023508668821628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87716720540699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008404349103732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211578019394652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",3.57040845472722e-05,0.00692659240217081,0.39495858326192473,0.4647957726363897,0.0,0.0,0.00146386746643816,3.57040845472722e-05,0.0002499285918309054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01820908311910878,0.0,0.05580548414738645,0.001570979720079977,0.0,0.0,3.57040845472722e-05,0.000214224507283633,0.001321051128249069,0.0,0.0001785204227363612,0.0,0.0,0.0,0.0,0.0,3.57040845472722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00574835761211083,0.0,0.0,0.0,0.0,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032133676092544936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469151670951157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0,0.5187714918272178,0.3864053888548686,0.0,0.0,0.00108342361863489,0.0,0.0002826322483395359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.00668896321070234,0.0,0.05049696170333033,0.015921616656460476,0.0,0.0,0.0023081633614395417,0.000518159121955815,0.00626501483819304,0.0,0.00390974610203024,0.0,0.0,0.0,0.0,0.0,4.71053747232559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00711291158321164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141316124169768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.0,0.000736139866574649,0.3703703703703709,0.5896020243846326,0.0,0.0,0.000138026224982747,0.0,0.0001840349666436626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012422360248447212,0.0,0.00515297906602254,0.008189556015642967,0.0,0.0,9.20174833218312e-05,0.00676328502415459,0.00280653324131585,0.0,0.0023464458247066966,0.0,0.0,0.0,0.0,0.0,0.000276052449965493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111801242236025,0.0,0.0,0.000138026224982747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60087416609156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000736139866574649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,0.0037156304186276947,0.46494921971761255,0.5189497151350017,0.0,0.0,0.000309635868218974,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0004954173891503588,0.0,0.0026628684666831796,0.005016101065147383,0.0,0.0,0.00012385434728759,0.0,0.000371563041862769,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297250433490215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000185781520931385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.0,0.0505054869091852,0.28596733776894456,0.6090901235634668,0.0,0.0,8.6408018664132e-05,0.000259224055992396,0.0,0.0,0.0,0.0,4.3204009332066e-05,0.0,0.0,0.000129612027996198,0.0,0.000388836083988594,0.0,0.03957487254817246,0.001684956363950572,0.0,0.0,0.000129612027996198,0.00233301650393156,0.000129612027996198,0.0,0.000172816037328264,0.0,0.0,0.0,0.0,0.0,8.6408018664132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794953771710015,4.3204009332066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142573230795818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
