"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206758",0.021775664175635517,0.525798262237637,0.43805198984517474,0.014123788751028033,0.0,0.0,0.0,0.000250294990524547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.9924453493356193,0.002625375053579082,0.00487569652807544,5.35790827261037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.008183643007874823,0.6615368778629879,0.327603067579392,0.0015440835863914767,0.0,0.0,0.0,0.001132327963353749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364232977854,0.540894175553733,0.41267432321575065,0.0011074651353568498,0.0,0.0,0.000164068908941756,0.00143560295324036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206703",0.0593006171025566,0.3947693211871879,0.5416985013223622,0.001116661769027329,0.0,0.0,0.00211578019394652,0.000999118424919189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206752",0.014745786918023428,0.47057983433304723,0.4647957726363897,0.001570979720079975,0.0,0.0,0.0469151670951157,0.000214224507283633,0.0,0.0,0.00117823479005998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.008620283574355833,0.5941871967591504,0.3864053888548686,0.010268971689669793,0.0,0.0,0.0,0.000518159121955815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206712",0.01315850011502187,0.38504715896020303,0.5896020243846326,0.0054290315159880405,0.0,0.0,0.0,0.00676328502415459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.007183552142680203,0.473247460985881,0.5190116423086455,0.0004954173891503588,0.0,0.0,6.19271736437949e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206721",0.060139980990235924,0.3277456147930524,0.6091333275727989,0.00064806013998099,0.0,0.0,0.0,0.00233301650393156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
