OTU,LDA_score,CLass
Lachnospira,7.4637973605467005,UC
Clostridium_sensu_stricto,6.821638706171906,UC
Ruminococcaceae_UCG_013,6.511203656143891,UC
Prevotellaceae_NK3B31_group,6.4354557296941985,UC
Hungatella,6.28299283252628,UC
Barnesiella,6.2458672462858145,UC
Finegoldia,5.231321861765512,UC
Lachnospiraceae_UCG_001,4.786871619971278,UC
Romboutsia,4.685359544898719,UC
Lactonifactor,4.962265845308777,nonIBD
Ruminococcaceae_UCG_004,5.417425215770119,nonIBD
Ruminococcaceae_NK4A214_group,5.698619072339617,nonIBD
Akkermansia,5.894415968534448,nonIBD
f__Eubacterium_eligens_group,5.973788964792682,nonIBD
