OTU,LDA_score,CLass
Massilia,5.056016215104192,CD
Lachnospiraceae_UCG_010,7.0111521018314455,CD
Finegoldia,5.01227779004765,UC
Senegalimassilia,5.15178024560622,UC
Christensenella,5.336829536923281,UC
Lachnospiraceae_UCG_001,5.8536010321802,UC
Barnesiella,6.329831027190729,UC
f__Eubacterium_ventriosum_group,6.543568925038063,UC
Prevotellaceae_NK3B31_group,6.596180669905398,UC
Lactonifactor,4.788780948186635,nonIBD
f__Eubacterium_eligens_group,6.042878141022939,nonIBD
Lachnospira,7.036863139805683,nonIBD
