"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Gammaproteobacteria","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Coriobacteriia","Opitutae","Chloroflexia","Spirochaetes","Acidimicrobiia","Melainabacteria","Deltaproteobacteria","Subgroup_6","Caldilineae","Planctomycetacia","Spartobacteria","OPB35_soil_group","Synergistia","Tectomicrobia(phylum)","Lentisphaeria","Sphingobacteriia","Chloroplast","Gitt_GS_136","Epsilonproteobacteria","Cytophagia","Oligosphaeria","KD4_96","Verrucomicrobiae","UA11","Elusimicrobia"
"X206614",0.004240282685512367,0.6226148409893993,0.2826855123674912,0.004240282685512367,0.0,0.0,0.0,0.0014134275618374558,0.02402826855123675,0.0028268551236749115,0.05017667844522968,0.0,0.0077738515901060075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.0,0.6822429906542056,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.29906542056074764,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.48194271481942713,0.3549190535491905,0.033623910336239106,0.0,0.0,0.0,0.0,0.028642590286425903,0.019925280199252802,0.08094645080946451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.027530117861957987,0.6241899708606967,0.1590049145392076,0.0007393554560083504,0.0002609489844735354,0.0,0.0,0.0,0.0007393554560083504,0.015309007089114078,0.006088809637715827,0.0,0.12225459922585134,0.0001739659896490236,0.0001739659896490236,0.0,0.0,0.0,0.0,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206655",0.011538461538461539,0.7123931623931624,0.2076923076923077,0.014102564102564103,0.0,0.0,0.0,0.0,0.018376068376068377,0.0,0.00811965811965812,0.0,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0
"X206659",0.028830248129184718,0.33934619929105947,0.27034265458842066,0.0018117369042930287,0.0027569909413154787,0.0,0.0,0.0,0.014178810555336747,0.008901142181961402,0.27483261126427727,0.0,0.007483261126427727,0.008349743993698306,0.0005513981882630957,0.0,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.0,0.0,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0,0.0
"X206667",0.01571578245547195,0.4114677588341747,0.5158586532050672,0.000952471663967997,0.0008572244975711972,0.0,0.0,0.0,0.011239165634822364,0.016096771121059148,0.01247737879798076,0.0,0.003428897990284789,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206671",0.00012641425952847481,0.20213640098603122,0.6000252828519057,0.0,0.0,0.0,0.0,0.0,0.12900575184880855,0.007521648441944252,0.04184311990392516,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.6493268053855569,0.14687882496940025,0.0,0.006731946144430845,0.0,0.0,0.0,0.05079559363525092,0.0,0.11260709914320685,0.0,0.019583843329253364,0.0,0.014075887392900856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.13498679645834413,0.18593693367162015,0.4743437063118107,0.0,0.009061254077564335,0.0,0.0,0.0,0.13048205871692642,0.011753741003469166,0.01315176306115052,0.0002588929736446953,0.007249003262051468,0.024284160927872417,0.00274426552063377,0.0,0.0,0.0005695645420183296,0.0,0.0,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020711437891575622,0.0,0.0,0.0,0.00015533578418681717,0.0,0.0
"X206547",0.0002615062761506276,0.4350592747559275,0.00950139470013947,0.014905857740585775,0.003922594142259414,0.0,0.0,0.0,0.40777545327754533,0.06528940027894002,0.043235704323570434,0.0,0.011680613668061366,0.004968619246861925,0.00017433751743375174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032252440725244074,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.05004106535257538,0.5114982987211076,0.208611991082952,0.08829050803707615,0.009679690249912002,0.00035198873636043646,0.0006453126833274669,0.00041065352575384256,0.017306112871054793,0.02422855801947671,0.008037076146896633,0.0005866478939340608,0.00463451836207908,0.0004693183151472486,0.00035198873636043646,0.0,0.0018186084711955884,0.0,0.0011732957878681216,0.0005866478939340608,0.04581720051625015,0.0016426141030153702,0.0002933239469670304,0.0045758535726856744,0.0008799718409010912,0.0005866478939340608,0.0,0.00041065352575384256,0.0,0.0,0.0,0.00011732957878681215,0.0,0.01525284524228558,0.0,0.0002346591575736243,0.0009973014196879033,0.0004693183151472486,0.0
"X206569",0.00608695652173913,0.2819047619047619,0.3130848861283644,0.1944513457556936,0.0005797101449275362,0.0,0.0,0.0,0.0021532091097308487,0.0017391304347826088,0.010559006211180125,0.0,0.00037267080745341616,0.0,8.281573498964803e-05,0.0,0.0,0.0,0.0,0.022111801242236023,0.008985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.281573498964803e-05,0.0,0.0,0.0,0.00012422360248447205,0.0,0.0,0.0,0.15768115942028985,0.0,0.0
"X206604",0.19225647854143194,0.4141145139813582,0.2624193383181399,0.0,0.010140325719553415,0.0,0.0,0.0,0.07036771484174946,0.010242753252074157,0.009116050394346,0.0010242753252074157,0.011267028577281573,0.0,0.0005121376626037079,0.0,0.0,0.0,0.0,0.0,0.012701014032571956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005121376626037079,0.00010242753252074157,0.0012291303902488989,0.0,0.0,0.00010242753252074157,0.00020485506504148315,0.0,0.0036873911707466967,0.0,0.0
"X206608",0.02469310004233103,0.3919853252434034,0.5256808240440243,0.0,0.00028220685762664035,0.0,0.0,0.0,0.011711584591505574,0.0009877240016932412,0.003386482291519684,0.0,0.007478481727105969,0.0,0.00028220685762664035,0.0006349654296599407,0.0,0.0,0.0,0.0,0.030548892338083816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023282065754197828,0.0,0.0
"X215084",0.04305442729488221,0.3200649878147847,0.5285134037367993,0.00048740861088545896,0.0003249390739236393,0.0,0.0,0.0,0.024857839155158407,0.0025995125913891143,0.022745735174654752,0.0,0.00926076360682372,0.018359057676685622,0.00016246953696181965,0.0,0.0,0.0,0.0,0.0,0.029569455727051178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.031849122587897336,0.3860613251732967,0.5201398863423469,0.0,0.0029351152188846564,0.0,0.0,0.0,0.005620433397864236,0.013364141634921627,0.024917254730531444,0.0027477674389558486,0.008493099356772622,0.0032473615187660026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003746955598576157,0.0,0.00018734777992880785,0.0,0.0,0.0,6.244925997626928e-05,0.0,0.0
"X215076",0.0008053556148386772,0.4921729501182866,0.4253284340866764,0.0,0.0020637237630241104,0.0,0.0,0.0,0.05889162933507827,0.016056777570846125,0.002315397392661197,0.0,0.0008053556148386772,0.0006040167111290079,0.0006040167111290079,0.0,0.0,0.0,0.0,0.0,0.0002013389037096693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010066945185483464,0.0,0.0,5.033472592741732e-05,0.0,0.0,0.0,0.0,0.0,0.0
