Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.847465921704453,0,0.2424581665162625,0.17507528361757208
2,0.793212100913227,0.149318491592207,-0.022873697885878803,0.14177722589595762
3,0.290602294082735,0.613981327483919,-0.04831015656073862,0.0933624000432269
4,0.912454058880473,0.0813372527254098,-0.032939445029422657,0.11462604203556039
5,0.722596299255021,0.174020300002398,-0.06771762067019857,0.10269922584452752
6,0.876947341326694,0.123571242535214,-0.06898562165915473,0.0775759648442162
7,0.67720037709705,0,0.16443287231043133,0.19317276428201569
8,0.991167928726049,0,0.2555734786771534,0.1741780990064496
9,0.819145115729265,0,-0.01498657373867034,0.08711427997281855
10,0.180331978436555,0,0.16243131596344648,0.2521360783951713
11,0.970554471934144,0,0.24532893702117622,0.17577769387534392
12,0.880247344193348,0.0715254178152216,-0.002917656118127514,0.16477517719001292
13,0.234345738664968,0.56832590678949,0.17141286780181675,0.2779372458789824
14,0.762651020125094,0.189893152541598,-0.006951842956738656,0.13166770658975763
15,0.892154846568717,0.0850752579077375,-0.0011874225611725015,0.11184099318522482
16,0.70242890314295,0.197932783764279,-0.04571726561085033,0.17229187104634025
Averages,0.7220941087987964,0.14093632082234214,0.05806564596870836,0.1528755032314486
