"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Pseudomonadales","Micrococcales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Coriobacteriales","Opitutales","Bifidobacteriales","Chloroflexales","Actinomycetales","Caulobacterales","Rhizobiales","Spirochaetales","Acidimicrobiales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Caldilineales","Planctomycetales","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Synergistales","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Neisseriales","Sphingobacteriales","Chloroplast(class)","Gitt_GS_136(class)","Campylobacterales","Pasteurellales","NB1_j","Enterobacteriales","Xanthomonadales","Frankiales","Cytophagales","Oligosphaerales","KD4_96(class)","Verrucomicrobiales","Cellvibrionales","UA11(class)","Sphingomonadales","Lineage_IIc"
"X206614",0.004240282685512367,0.6226148409893993,0.2826855123674912,0.0,0.0,0.0,0.0,0.0014134275618374558,0.0,0.0,0.0,0.0,0.05017667844522968,0.0,0.0077738515901060075,0.0028268551236749115,0.0,0.0,0.0,0.0,0.0,0.0,0.0021201413427561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02402826855123675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021201413427561835,0.0
"X206616",0.0,0.6822429906542056,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.205607476635514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.0,0.48194271481942713,0.3549190535491905,0.0,0.0,0.0,0.0,0.0,0.009962640099626401,0.0,0.0,0.0,0.08094645080946451,0.0,0.0,0.019925280199252802,0.0,0.0,0.0,0.0,0.0,0.0,0.033623910336239106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186799501867995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.027530117861957987,0.6241899708606967,0.1590049145392076,0.0,0.0,0.0,0.0,0.0,0.00021745748706127952,4.34914974122559e-05,0.014656634627930239,0.0006088809637715826,0.006088809637715827,0.0,0.12225459922585134,0.0006523724611838385,0.0001739659896490236,0.0001739659896490236,0.0,0.0,0.0,0.00021745748706127952,0.0,0.0001304744922367677,0.0,0.0,0.0,0.04340451441743139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0003479319792980472,0.0,0.0001304744922367677,4.34914974122559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206655",0.011538461538461539,0.7123931623931624,0.2076923076923077,0.0,0.0,0.0,0.0,0.0,0.006837606837606838,0.0,0.0,0.014102564102564103,0.00811965811965812,0.0,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0
"X206659",0.028830248129184718,0.33934619929105947,0.27034265458842066,0.0,0.0014966522252855454,0.0,0.0,0.0,0.00015754233950374162,0.0,0.008901142181961402,0.0014966522252855454,0.27483261126427727,0.0,0.007483261126427727,0.0,0.008349743993698306,0.0005513981882630957,0.0,0.0007089405277668373,0.0,0.0005513981882630957,0.00031508467900748325,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.0,0.0,0.0,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014021268215833006,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0,0.0,0.0,0.0
"X206667",0.01571578245547195,0.4114677588341747,0.5158586532050672,0.0,0.0,0.0,0.0,0.0,0.003428897990284789,0.0005714829983807982,0.014953805124297552,0.0,0.01247737879798076,0.0,0.003428897990284789,0.0011429659967615963,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0008572244975711972,9.524716639679969e-05,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002857414991903991,0.0,0.0,0.0,0.0,0.0,0.002476426326316792,0.0,0.005333841318220783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206671",0.00012641425952847481,0.20213640098603122,0.6000252828519057,0.0,0.0,0.0,0.0,0.0,0.0013273497250489855,0.0,0.0072688199228873015,0.0,0.04184311990392516,0.0,0.0,0.00025282851905694963,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.006763162884773403,0.0,0.12059920359016497,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0
"X206681",0.0,0.6493268053855569,0.14687882496940025,0.0,0.0,0.0,0.0,0.0,0.02876376988984088,0.0,0.0,0.0,0.11260709914320685,0.0,0.019583843329253364,0.0,0.0,0.014075887392900856,0.0,0.006731946144430845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018359853121175031,0.0,0.020195838433292534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.13203541655879458,0.18593693367162015,0.4743437063118107,0.0,0.0007249003262051468,0.0,0.0,0.0,0.00041422875783151243,0.0015015792471392325,0.011028840677264019,0.0,0.01315176306115052,0.0002588929736446953,0.007249003262051468,0.0007249003262051468,0.024284160927872417,0.00274426552063377,0.0,0.006627660125304199,0.0,0.00020711437891575622,0.0,0.0,0.0005695645420183296,0.0,0.0,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002951379899549526,0.0,0.0,0.0,0.00020711437891575622,0.02578574017501165,0.0,0.10428208978408327,0.0,0.0,0.0,0.0,0.0,0.00015533578418681717,0.0,0.0,0.0,0.0
