"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Fusobacteria","Verrucomicrobia","Spirochaetae","Cyanobacteria","Planctomycetes","Synergistetes","Tectomicrobia","Lentisphaerae","Elusimicrobia"
"X206614",0.03250883392226148,0.6833922261484099,0.2826855123674912,0.0014134275618374558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206616",0.29906542056074764,0.6822429906542056,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206645",0.062266500622665005,0.5828144458281445,0.3549190535491905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206647",0.07241334319140608,0.767842386813378,0.1590049145392076,0.00043491497412255904,0.0,0.0,0.0001739659896490236,0.0,0.0,0.0001304744922367677,0.0,0.0,0.0,0.0,0.0
"X206655",0.046153846153846156,0.7401709401709402,0.2076923076923077,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0
"X206659",0.07302087435998425,0.6305632138637258,0.27034265458842066,0.003308389129578574,0.0,0.0,0.008349743993698306,0.0009452540370224497,0.0,0.004017329657345412,0.0,0.009452540370224497,0.0,0.0,0.0
"X206667",0.03571768739879989,0.44347080674349937,0.5158586532050672,0.0008572244975711972,0.0,0.0,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206671",0.12913216610833703,0.25150116933190064,0.6003413185007269,0.0,0.0,0.0,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.05079559363525092,0.7815177478580171,0.14687882496940025,0.0208078335373317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206534",0.2704913788639776,0.2180914409982913,0.4746025992854554,0.011805519598198104,0.0,0.0,0.024284160927872417,0.00015533578418681717,0.0005695645420183296,0.0,0.0,0.0,0.0,0.0,0.0
"X206547",0.42616806136680613,0.5552649930264993,0.00950139470013947,0.004096931659693166,0.0,0.0,0.004968619246861925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206563",0.20145488677695647,0.54839845124956,0.22445148421917166,0.011615628299894404,0.0028159098908834917,0.0022879267863428372,0.0004693183151472486,0.0029332394696703038,0.0,0.0005866478939340608,0.0045758535726856744,0.0,0.00041065352575384256,0.0,0.0
"X206569",0.21180124223602484,0.2945755693581781,0.3130848861283644,0.0006625258799171842,0.0,0.0,0.0,0.15768115942028985,0.0,0.022111801242236023,0.0,0.0,0.0,8.281573498964803e-05,0.0
"X206604",0.27532520741575334,0.4447403462050599,0.2636484687083888,0.010652463382157125,0.0,0.0,0.0,0.0036873911707466967,0.0,0.0012291303902488989,0.0,0.0,0.0,0.000716992727645191,0.0
"X206608",0.06695357697192042,0.4038380132637223,0.5256808240440243,0.0005644137152532807,0.0,0.0,0.0,0.0029631720050797236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215084",0.09796913078797725,0.3546709991876523,0.5285134037367993,0.00048740861088545896,0.0,0.0,0.018359057676685622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X214994",0.03765690376569038,0.43283582089552236,0.5228876537813026,0.0029351152188846564,0.0,0.0,0.0032473615187660026,6.244925997626928e-05,0.0,0.0003746955598576157,0.0,0.0,0.0,0.0,0.0
"X215076",0.05994865857955403,0.5113504806966326,0.42542910353853125,0.0026677404741531183,0.0,0.0,0.0006040167111290079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
