"","x"
"1","Bryobacter"
"2","Lachnospiraceae_FCS020_group"
"3","Ruminococcaceae_UCG_010"
"4","Pedobacter"
"5","Prevotellaceae_UCG_003"
"6","_Clostridium_innocuum_group"
"7","Saccharomonospora"
"8","Oscillospira"
"9","Methylobacterium"
"10","Faecalibaculum"
"11","WCHA1_57(class)"
"12","Cnuella"
"13","Megasphaera"
"14","Family_XIII_UCG_002"
"15","Bacteriovorax"
"16","Lachnospiraceae(family)"
"17","Lachnoclostridium"
"18","Morganella"
"19","Brevibacterium"
"20","Eubacterium"
"21","Skermanella"
"22","Cytophaga"
"23","Candidatus_Stoquefichus"
"24","Rikenella"
"25","Sphingobium"
"26","Facklamia"
"27","Aeromonas"
"28","Devosia"
"29","Hafnia_Obesumbacterium"
"30","Epulopiscium"
"31","Polymorphobacter"
