"","x"
"1","Prevotella"
"2","JG30_KF_CM66(class)"
"3","Empedobacter"
"4","Lachnospiraceae_FCS020_group"
"5","Ruminococcaceae_UCG_010"
"6","Prevotellaceae_UCG_003"
"7","Fusobacterium"
"8","_Clostridium_innocuum_group"
"9","Faecalibaculum"
"10","Cnuella"
"11","Megasphaera"
"12","Family_XIII_UCG_002"
"13","Solibacillus"
"14","env_OPS_17(family)"
"15","Lachnospiraceae(family)"
"16","Lactococcus"
"17","Anaerostipes"
"18","Haemophilus"
"19","Brevibacterium"
"20","Proteus"
"21","Bacillus"
"22","Granulicatella"
"23","Candidatus_Stoquefichus"
"24","Rikenella"
"25","Epulopiscium"
"26","Polymorphobacter"
