Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.934895884566561,0.0930724883717747,-0.017779752469574108,0.08679431864300774
2,0.73163325256538,0.170572513986475,-0.0425528203846448,0.1223443384474191
3,0.654099553649504,0,-0.08568953253105471,0.08107894416317832
4,0.675981585591912,0.1293744021003,-0.026651320370988288,0.12685235838422887
5,0.871556793344098,0.12263438171283,-0.03711206226362231,0.10214483521195898
6,0.945679657665086,0.0298706305789177,-0.059151498050417084,0.07442974192236713
7,0.936383623006854,0.042970851947012,0.010582882769752564,0.11775582690639573
8,0.808173438818328,0,0.06765235353633614,0.11874703204311142
9,0.947926160755409,0.0807984328835034,-0.08638697362205539,0.09109800280712316
10,0.889147302741734,0.121433045697287,-0.014042216690565474,0.08396951800000328
11,0.452500147068447,0.414724392316001,-0.05197900971695474,0.11625956445497827
12,0.988035220601829,0.00956078950720838,-0.10211531999375556,0.047451154425472264
13,1.0,0,-0.0733191770709951,0.03941074687710127
Averages,0.8335394323365494,0.09346245608471608,-0.039888034373733755,0.09294895248356504
