"","Belnapia","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","Moraxella","Pseudomonas","Empedobacter","Sphingomonas","Lactobacillus","uncultured","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Pedobacter","Thermus","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Treponema","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Anaerofustis","Turicella","_Eubacterium_xylanophilum_group","Saccharomonospora","Lachnospiraceae_NK4A136_group","Peptococcus","Gordonibacter","Butyricimonas","Rothia","Solobacterium","Desulfovibrio","Ruminococcaceae_UCG_013","Atopobium","Coprobacter","Methylobacterium","0319_6A21(family)","Mollicutes_RF9(order)","Scardovia","Lachnoanaerobaculum","Phascolarctobacterium","Tumebacillus","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","WCHA1_57(class)","Enhydrobacter","Erysipelatoclostridium","Parasutterella","Cnuella","Alloprevotella","Selenomonas","Megasphaera","Dorea","Fastidiosipila","_Eubacterium_coprostanoligenes_group","Family_XIII_UCG_002","Methanobacterium","Bacteriovorax","Eikenella","Solibacillus","Hydrotalea","Rhizobium","Ruminococcaceae_UCG_002","Candidatus_Tenderia","Barnesiella","Lentimicrobiaceae(family)","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Steroidobacter","Blastococcus","Dialister","Pyramidobacter","Chthoniobacter","Thermicanus","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","Aerococcus","Haliangium","Aggregatibacter","mle1_27(family)","PHOS_HE51(family)","Eubacterium","Stenotrophomonas","Methylophilus","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Butyrivibrio","Stomatobaculum","Parabacteroides","Proteiniphilum","Allisonella","Turicibacter","Bacillus","Fusicatenibacter","Mogibacterium","Dielma","Johnsonella","Catenibacterium","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Geobacillus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Sphingobium","Methanobrevibacter","Facklamia","Aeromonas","Clostridium_sensu_stricto","Propionibacterium","Peptoniphilus","_Eubacterium_rectale_group","Succiniclasticum","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Varibaculum","NS9_marine_group(family)","Holdemania","Escherichia_Shigella","_Ruminococcus_gnavus_group","Megamonas","Pseudoxanthomonas","Lineage_IIb(order)","Epulopiscium","Micrococcus","_Eubacterium_eligens_group","Brachybacterium","Lawsonella","Erysipelotrichaceae_UCG_003","Thermoanaerobacterium","Actinomycetospora"
"X206758",0.0,0.0,0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.0,0.0001072692816533772,0.0,0.0,3.57564272177924e-05,0.00597132334537133,0.00032180784496013156,0.0,0.0,0.0,0.12950977938284405,0.0,0.0,0.0,0.0,0.0,0.023778024099831943,0.0,0.0016447956520184504,0.0,0.0,0.0,0.0,0.0,0.4378374512818679,0.0001430257088711696,0.0001072692816533772,0.007079772589122895,0.011871133836307076,0.0,0.0001430257088711696,0.0,7.15128544355848e-05,0.0002502949905245468,0.013337147352236565,0.015911610111917617,0.0,0.0,0.0001430257088711696,0.0002502949905245468,0.0,0.0001072692816533772,0.0,0.0,0.09053527371545035,0.0,7.15128544355848e-05,0.0,0.009904530339328494,0.0,0.0,7.15128544355848e-05,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,3.57564272177924e-05,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01909393213430114,0.0,0.0,0.0,0.005327707655451068,0.0,0.0,0.0,0.0,0.00039332069939571637,0.0,0.0,0.0006078592627024708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.0001430257088711696,0.0001072692816533772,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.022347767011120248,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.023456216254871813,0.0,3.57564272177924e-05,0.0,0.009368183931061608,0.0001072692816533772,0.0,0.00017878213608896198,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.001251474952622734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028247577502055993,0.0,0.0,0.0,0.0,0.0,0.0019308470697607895,0.0004648335538313012,0.005685271927628991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010011799620981872,0.0,0.0,0.09443272428218973,0.0,3.57564272177924e-05,7.15128544355848e-05,0.0,0.0,0.0,0.0,0.01998784281474595,0.041513211999856976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.00048221174453493356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003214744963566224,0.0,0.0,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0017145306472353193,0.0,5.357908272610373e-05,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012858979854264896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010715816545220746,0.0,0.0009644234890698671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,5.357908272610373e-05,0.0001607372481783112,0.0,0.0,0.0,0.0,0.0,0.00026789541363051865,0.0,0.00010715816545220746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0003750535790827261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991266609515645,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0
"X206708",0.0,0.0,5.146945287971589e-05,0.0005661639816768747,0.0,0.0,0.0048381285706932935,0.00030881671727829536,0.0,5.146945287971589e-05,0.0,0.0,0.00036028617015801124,0.0033455144371815327,0.29105975603479334,0.0,0.0,0.0002573472643985794,0.0012352668691131814,5.146945287971589e-05,0.0,0.0,0.0,0.0014926141335117609,0.009367440424108291,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,5.146945287971589e-05,0.3216326110453446,5.146945287971589e-05,0.001389675227752329,0.0016984919450306244,0.0,0.0,0.02341860106027073,0.0,0.0,0.0008235112460754543,5.146945287971589e-05,0.01765402233774255,0.008338051366513975,0.0,0.0,0.0006691028874363066,0.0,0.0,0.0,0.0,0.009779196047146018,0.0,0.0,5.146945287971589e-05,0.0,0.00010293890575943178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024190642853466468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030881671727829535,0.00015440835863914768,0.0,0.0,0.0004117556230377271,0.012712954861289824,0.0,0.0,0.0,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.00010293890575943178,0.0,0.0,0.00010293890575943178,0.0,0.0,0.0,0.00020587781151886356,5.146945287971589e-05,0.026300890421534818,0.0,0.00015440835863914768,0.0,0.0,0.0036028617015801123,0.0,0.0,0.0,0.0,0.0005146945287971588,0.050285655463482425,0.0,0.0,0.0,0.0063822121570847705,0.0,0.0,0.0007720417931957384,0.0,0.0,0.0005661639816768747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.0,0.00010293890575943178,0.004786659117813578,0.0,0.0,0.0,0.0,0.0008749806989551701,0.0,0.0,0.0,0.0,0.0,0.0011323279633537494,0.000463225075917443,0.0006176334345565907,0.0,0.0,0.0004117556230377271,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.07432188995830974,0.0,0.000463225075917443,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.000926450151834886,0.07715270986669412,0.0,0.0,0.0,0.0,0.0,5.146945287971589e-05,0.0,0.0,0.029491996500077205,0.0,0.0
"X206746",0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0009433962264150943,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.014643150123051682,0.2694011484823626,0.0,0.0,0.0,0.005004101722723544,0.00024610336341263333,0.0,0.0,0.0,0.0,0.013002461033634127,0.0,0.000697292863002461,0.0,0.0,0.0,0.0,0.0,0.41111566858080395,0.0,0.00012305168170631667,0.006029532403609516,0.0,0.0,0.018252666119770302,0.0,0.0,0.001435602953240361,0.0005742411812961444,0.005127153404429861,0.001435602953240361,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0,0.0,0.0,0.0,0.022641509433962263,0.0,8.203445447087777e-05,0.0,4.1017227235438884e-05,8.203445447087777e-05,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,0.01173092698933552,0.0,0.0,0.0,0.00012305168170631667,0.00012305168170631667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,8.203445447087777e-05,0.0029122231337161608,0.0,0.0,0.0,0.0,0.0,0.0004922067268252667,0.00016406890894175554,0.0,0.0,0.00024610336341263333,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0,0.0,0.0,0.009803117309269893,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,8.203445447087777e-05,0.0420836751435603,0.0,0.00012305168170631667,0.0,0.00024610336341263333,0.0,0.0,0.030680885972108284,0.0,0.0,0.0005332239540607055,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,4.1017227235438884e-05,4.1017227235438884e-05,0.0,0.0015176374077112388,0.0,0.0,0.0,0.0,0.0027071369975389665,0.0,0.0,0.0,0.0,0.00016406890894175554,0.00020508613617719443,0.0002871205906480722,0.00041017227235438887,0.0,0.0,0.00041017227235438887,0.007916324856439705,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.07350287120590648,8.203445447087777e-05,0.0,0.0,0.0,0.0,0.0,0.00012305168170631667,0.0037325676784249386,0.015381460213289582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013125512715340444,0.0,0.0
"X206721",0.0,0.0,0.00021602004666033007,0.0,0.00017281603732826408,0.0,0.0009504882053054523,0.0002592240559923961,0.0,0.0,0.0,0.00012961202799619806,0.0,0.009461678043722457,0.10304156225697744,0.0,0.00021602004666033007,0.0,0.0003888360839885941,0.0,0.0,0.0,0.0,0.0013393242892940464,0.012053918603646418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621100838157781,0.0,0.0015985483452864426,0.0003888360839885941,0.0,0.0,0.008079149745096345,0.0005184481119847922,0.13013047610818285,0.0023330165039315647,0.00012961202799619806,0.014041303032921455,0.0016849563639505746,0.010671390305020305,0.0,8.640801866413204e-05,8.640801866413204e-05,0.0,0.00017281603732826408,0.0,0.004622828998531064,0.0,0.0,0.0038883608398859416,0.0002592240559923961,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.021515596647368875,0.0,4.320400933206602e-05,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033483107232351164,0.0,0.0,0.0,0.0,0.050505486909185174,0.0,0.00012961202799619806,0.0,0.0,0.002160200466603301,0.0,0.00017281603732826408,0.0,0.0,0.0,4.320400933206602e-05,0.0,0.0,0.0,0.002160200466603301,0.0,0.0,0.0,0.00047524410265272616,8.640801866413204e-05,0.0,0.0,4.320400933206602e-05,0.008079149745096345,0.0,0.0,0.0,0.0,0.03914283245485181,0.0,0.0,0.0,0.0,0.00012961202799619806,0.002635444569256027,0.0,0.0,0.0,0.01939860019009764,0.0,4.320400933206602e-05,8.640801866413204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048561306489242,0.0,0.0,0.0,0.0,0.0027650565972522252,0.0,0.0,0.0,0.0,0.0,0.0038451568305538754,0.00012961202799619806,0.0,0.0,0.0,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0,0.02203404475935367,0.0,0.0010368962239695845,0.0,0.0,0.0,0.0,4.320400933206602e-05,0.0014257323079581786,0.003672340793225611,4.320400933206602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013825282986261126,0.0,0.0
"X206724",0.0,0.0,0.0,0.0006494002597601039,0.0,0.0,0.00011460004584001834,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.030636412254564902,0.0,0.00011460004584001834,0.008022003208801283,0.0008404003361601345,0.0,0.0,0.0,0.0,0.00015280006112002446,0.0,7.640003056001223e-05,0.00042020016808006725,0.0,0.0,0.0,0.0,3.8200015280006115e-05,0.16410726564290626,0.0,0.00011460004584001834,0.0038964015585606234,0.0,0.0,0.0,0.0,7.640003056001223e-05,0.005386202154480862,0.0,0.00015280006112002446,0.0,3.8200015280006115e-05,0.0,0.00026740010696004276,0.0,0.00038200015280006114,0.0,0.0,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.0,7.640003056001223e-05,0.0,0.0,0.0,0.0,0.0,3.8200015280006115e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015280006112002446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017954007181602873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011460004584001834,0.00022920009168003668,0.0,0.0,0.0,0.0,0.0,0.00038200015280006114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.640003056001223e-05,0.0,0.0,0.00015280006112002446,0.011842004736801895,0.0,0.0,0.0,0.0,7.640003056001223e-05,0.0,0.0,0.0,0.0,0.00015280006112002446,7.640003056001223e-05,0.0,0.00019100007640003057,0.0,0.001031400412560165,0.0,3.8200015280006115e-05,0.002406600962640385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8200015280006115e-05,0.0,0.0,7.640003056001223e-05,0.0,0.0,0.0,0.0,0.0,7.640003056001223e-05,0.0,0.0,0.0,0.0,0.0004966001986400795,0.0,0.0006494002597601039,0.0,0.0,0.0,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.1293834517533807,0.0,0.0,0.0015280006112002446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292994117197647,0.010237604095041639,0.0,0.0,0.0,0.07659103063641226,0.0,0.0,0.0,0.0,0.0004966001986400795,0.0,0.0
"X206728",0.0,0.00011001503538816971,0.0015768821738970993,0.00014668671385089296,0.0004767318200154021,0.0,0.00044006014155267885,0.0,0.0,0.0008434486046426345,3.667167846272324e-05,0.0,0.0001833583923136162,0.01756573398364443,0.42946202647695186,0.0,0.0,0.03296783893798819,0.002933734277017859,0.0,0.0,0.0,0.0,0.007627709120246433,0.0014301954600462064,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.24294986981554145,0.003227107704719645,0.00022003007077633943,0.0010268069969562507,0.0,3.667167846272324e-05,0.002860390920092413,0.0,0.003483809453958708,0.02853056584399868,0.00022003007077633943,0.01382522278044666,0.0005867468554035718,0.0,0.0,0.0,0.0,7.334335692544648e-05,3.667167846272324e-05,0.0,0.01980270636987055,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.0002933734277017859,0.0,0.0,0.0,0.0,0.0,0.0,0.007114305621768308,0.0,0.0,0.0,0.00022003007077633943,0.0,0.0,0.0,7.334335692544648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009534636400308042,0.0,0.0,0.0,7.334335692544648e-05,0.0,0.0037405112031977704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.009461293043382595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028237192416296895,0.0011368220323444203,0.0,0.0,0.0,0.0,0.002750375884704243,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0042172430232131726,0.0,0.00011001503538816971,0.0,0.04030217463053284,0.0,0.0,0.002090285672375225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013861894458909384,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.0,0.0,0.0001833583923136162,0.0,0.0,0.0,0.0,0.0,0.0014668671385089295,0.0004033884630899556,7.334335692544648e-05,0.0,0.0,0.0,0.008251127654112728,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.0,0.0,0.0,0.05805126700649089,0.0,0.01866588433752613,0.0,0.0,0.0,0.0,0.0,3.667167846272324e-05,0.005134034984781253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005610766804796655,0.0,0.0
"X206733",0.0,0.0,0.0,0.0,6.66266906522753e-05,0.0,0.0001332533813045506,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0015657272303284697,0.11419814777799987,0.0,0.0,0.0,0.00043307348923978943,0.0,0.0,0.0,0.0,0.0,0.00043307348923978943,0.0,0.0,0.0,0.0,0.0,0.0,0.0008328336331534413,0.7113398627490173,0.0,0.0005330135252182024,0.00023319341728296356,0.0,0.0,0.0,0.0,0.0010327137051102673,0.004897061762942235,0.0,3.331334532613765e-05,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023319341728296356,0.0,0.0,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019321740289159838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004663868345659271,0.010560330468385636,0.0,0.0,0.0,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0018655473382637084,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.002198680791525085,0.0,0.0,0.0,0.0,0.001232593777067093,0.0,0.0,0.0,0.0,6.66266906522753e-05,0.007162369245119595,0.0,0.0,0.001898860683589846,0.016523419281764276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.000666266906522753,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0004997001798920647,6.66266906522753e-05,6.66266906522753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060063961623026185,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,0.0,0.04077553467919248,0.01659004597241655,0.0,0.0,0.0,0.0,3.331334532613765e-05,6.66266906522753e-05,0.0,0.0,3.331334532613765e-05,0.0,0.0
"X206750",7.163836951070993e-05,0.0,0.001182033096926714,0.24314062611934953,0.0007880220646178094,0.0001074575542660649,0.007342932874847769,0.0003581918475535497,0.0,0.00014327673902141987,0.0,0.0,0.0003940110323089047,0.015223153521025861,0.11841822480120352,0.0,0.0,0.00014327673902141987,0.0037251952145569167,0.0,3.581918475535497e-05,7.163836951070993e-05,0.0004656494018196146,0.01117558564367075,0.03334766100723548,0.0,0.0004298302170642596,0.0,3.581918475535497e-05,0.0,0.0,0.00017909592377677485,0.22734436564223798,0.00569525037610144,0.0004298302170642596,0.003367003367003367,0.0,0.0,0.004155025431621176,0.001038756357905294,0.010996489719893976,3.581918475535497e-05,0.0,0.01131886238269217,0.014184397163120567,0.004298302170642596,0.0,0.00028655347804283973,0.0,0.00014327673902141987,3.581918475535497e-05,0.0003223726627981947,0.001110394727416004,0.0,0.0,0.0013253098359481338,3.581918475535497e-05,0.0002149151085321298,0.005372877713303245,3.581918475535497e-05,0.0,0.0,0.0,0.0,0.0,0.014757504119206247,3.581918475535497e-05,0.0,0.0008596604341285192,0.0,0.0,0.007450390429113833,0.0001074575542660649,0.00014327673902141987,0.02106168063614872,0.0,0.0,3.581918475535497e-05,3.581918475535497e-05,0.0,0.010423382763808296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581918475535497e-05,0.003367003367003367,0.00014327673902141987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02270936313489505,0.0,0.0,0.0,0.0,0.0,0.0,7.163836951070993e-05,3.581918475535497e-05,0.0183752417794971,0.0,0.0,0.0,0.0001074575542660649,0.014112758793609858,3.581918475535497e-05,7.163836951070993e-05,0.0,0.0002149151085321298,0.00017909592377677485,0.001110394727416004,0.0,0.0,7.163836951070993e-05,0.007916039830933448,0.0,0.0,0.0037968335840676266,0.0001074575542660649,0.0,0.0003940110323089047,0.0,0.0,0.0,0.0,0.0,0.0,0.00028655347804283973,0.0,3.581918475535497e-05,0.0,0.0,0.013503832652768824,0.0,0.0,0.0,0.0,0.0017193208682570384,0.0,0.0006089261408410344,7.163836951070993e-05,0.0,0.0001074575542660649,0.0006089261408410344,3.581918475535497e-05,0.002328247009098073,0.0,0.0,0.00014327673902141987,0.008775700265061968,0.0015044057597249087,0.0,0.0,0.0,0.0,0.0,0.0,3.581918475535497e-05,0.05340640447023426,0.0,0.028512071065262556,0.0,0.0,0.0001074575542660649,0.0,0.0003940110323089047,0.014900780858227667,0.013181459989970628,0.0,0.0,0.0,0.0,0.0004298302170642596,0.0007522028798624544,0.0,0.0,0.002220789454832008,0.0,3.581918475535497e-05
"X206756",0.0,0.0,0.0002979484123606027,0.0,0.0,0.0,0.002383587298884822,0.0,8.512811781731506e-05,4.256405890865753e-05,0.0,0.0,0.0,0.004511790244317698,0.08704350046820465,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.0,0.00025538435345194517,0.0,0.0,0.0079169149570103,0.0,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.00021282029454328764,0.4711415680599302,0.0,0.0011492295905337533,0.0017876904741636163,0.005490763599216821,0.0,0.010130246020260492,0.0,0.010555886609347068,0.00021282029454328764,8.512811781731506e-05,0.00327743253596663,0.0024687154167021366,0.0024261513577934794,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.0,0.00825742742827956,0.0,4.256405890865753e-05,0.0015323061207116711,0.0001702562356346301,0.0,0.0,4.256405890865753e-05,0.0,0.0,0.0,0.0,0.0,0.06597429130841917,0.0,0.0,0.0,4.256405890865753e-05,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.0,0.012598961436962628,0.0,0.0,0.0,0.0001702562356346301,0.0,0.0,0.0,4.256405890865753e-05,0.08810760194092108,0.0,0.0,0.0,8.512811781731506e-05,0.0042138418319570955,0.0,4.256405890865753e-05,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,8.512811781731506e-05,0.0008087171192644931,0.0,0.00021282029454328764,0.0,0.00012769217672597258,4.256405890865753e-05,0.0,0.0,0.0,0.03213586447603643,0.0,0.0,0.0,0.0,0.00012769217672597258,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.004043585596322465,0.0,0.0,0.0,0.003873329360687835,0.0004256405890865753,0.0,0.0028517919468800546,0.0,0.0,0.00025538435345194517,0.0,0.0,0.0,0.0,0.0,0.0,0.00046820464799523284,0.0,0.0,0.0,0.0,0.021409721631054736,0.0,0.0031923044181493146,0.0,0.0,0.005235379245764876,0.0,0.0,0.0,0.0019153826508895887,0.010683578786073039,0.004341534008683068,4.256405890865753e-05,0.0,0.0,0.0,0.00021282029454328764,0.020728696688516218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07925427768792032,0.0,0.0,0.0,0.0011066655316250957,0.0,0.0,0.00012769217672597258,0.004298969949774411,0.005533327658125479,0.0,0.0,0.0,0.0,0.0,0.0,4.256405890865753e-05,0.0,0.0031923044181493146,0.0,0.0
