"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Flavobacteriales","Sphingomonadales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Sphingobacteriales","Thermales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Spirochaetales","Pseudonocardiales","Micrococcales","Desulfovibrionales","Rhizobiales","Nitrospirales","Mollicutes_RF9","WCHA1_57(class)","Methanobacteriales","Bdellovibrionales","Neisseriales","Unknown_Order","Chloroplast(class)","Xanthomonadales","Frankiales","Synergistales","Chthoniobacterales","Campylobacterales","Pasteurellales","Myxococcales","Methylophilales","Cytophagales","Enterobacteriales","Verrucomicrobiales","Aeromonadales","Propionibacteriales","Lineage_IIb","Thermoanaerobacterales"
"X206758",0.0,0.0,0.3386491221797118,0.4380519898451747,0.0,0.0,0.0002145385633067544,0.0,0.0,0.013051095934494225,0.1571494976221976,0.015267994421997354,0.0016805520792362427,0.0002502949905245468,0.0,0.0,0.0005005899810490936,0.013337147352236565,0.0002502949905245468,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,3.57564272177924e-05,0.00017878213608896198,0.0,0.0,0.0,0.02131083062180427,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,0.0,0.0,0.0004286326618088298,0.0009644234890698671,0.0,0.0003750535790827261,0.0,0.0003214744963566224,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.9914809258465495,0.0,0.0,5.357908272610373e-05,0.0,0.0
"X206708",0.0,0.0036028617015801123,0.623552421637758,0.32734572031499304,0.0,0.00030881671727829536,5.146945287971589e-05,0.0,0.0,0.0026764115497452264,0.005249884193731021,0.02954346595295692,0.0005146945287971588,0.0011323279633537494,0.0002573472643985794,0.0,0.0005146945287971588,5.146945287971589e-05,0.0006691028874363066,0.0,0.0,0.0,0.001904369756549488,0.0,0.0,0.0,0.0,0.0,0.0,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013382057748726132,0.0,0.0,0.0,0.0009779196047146018,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.203445447087777e-05,0.5054552912223134,0.4126743232157506,0.0,0.0,4.1017227235438884e-05,0.0,4.1017227235438884e-05,0.0064807219031993435,0.014602132895816243,0.013412633305988516,0.0009433962264150943,0.001435602953240361,0.0,0.0,0.0002871205906480722,0.0005742411812961444,0.00012305168170631667,0.0,0.0,0.00012305168170631667,0.007916324856439705,0.0,0.0,0.0,0.0,0.0,0.0,0.0004922067268252667,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.00012305168170631667,0.031214109926168992,0.0,0.0,0.0,0.0037735849056603774,0.00016406890894175554,0.0,0.0,0.0,0.0
"X206721",0.0,0.050505486909185174,0.28596733776894495,0.6090901235634667,0.0,0.0002592240559923961,0.0,4.320400933206602e-05,0.00012961202799619806,0.0003888360839885941,0.03957487254817247,0.0016849563639505746,0.00012961202799619806,0.0023330165039315647,0.0,0.0,0.00017281603732826408,0.00012961202799619806,8.640801866413204e-05,0.0,0.0,0.0,0.007949537717100146,0.0,0.0,0.0,0.0,0.0,0.0,4.320400933206602e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.640801866413204e-05,0.0,0.0,0.0,0.0014257323079581786,0.0,0.0,0.0,0.0,0.0
"X206724",0.0,0.008098403239361295,0.28107571243028495,0.1649476659790664,0.0,0.0,0.0005730002292000917,3.8200015280006115e-05,0.0,0.0045458018183207275,0.001031400412560165,0.0004966001986400795,0.0005730002292000917,0.005386202154480862,0.0,0.0,0.00019100007640003057,0.0,0.00026740010696004276,0.00019100007640003057,0.0,0.0,0.00026740010696004276,0.0,0.0,0.0,0.0,0.0,0.0,0.00038200015280006114,0.0,0.0,0.0,0.0,0.0,0.0,0.00019100007640003057,0.002406600962640385,0.0,0.0,0.0,0.5293376117350447,0.0,0.0,0.0,0.0,0.0
"X206728",0.0001833583923136162,0.03307785397337636,0.6483552752209468,0.24988081704499615,0.0,0.0,0.0009167919615680809,3.667167846272324e-05,0.0,0.0012835087461953133,0.005757453518647549,0.0065642304448274595,3.667167846272324e-05,0.02853056584399868,3.667167846272324e-05,3.667167846272324e-05,0.0004767318200154021,0.00022003007077633943,0.0,0.0,0.0,0.00022003007077633943,0.008251127654112728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011001503538816971,0.002090285672375225,0.0,0.0,0.0,0.013898566137372108,0.0,3.667167846272324e-05,0.0,0.0,0.0
"X206733",0.0,0.010560330468385636,0.22503164767805983,0.7124392031447798,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.00029982010793523883,0.002565127590112599,0.0004997001798920647,6.66266906522753e-05,0.004897061762942235,0.0,0.0,0.0008994603238057165,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018655473382637084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04077553467919248,3.331334532613765e-05,0.0,0.0,0.0,0.0
"X206750",7.163836951070993e-05,0.0003581918475535497,0.39623182176373667,0.5271151228598037,0.0001074575542660649,0.0003581918475535497,0.00028655347804283973,0.0,0.0,0.0061967189626764094,0.028297155956730425,0.003331184182248012,0.0006089261408410344,3.581918475535497e-05,3.581918475535497e-05,0.0,0.0003581918475535497,3.581918475535497e-05,0.0003940110323089047,0.0,3.581918475535497e-05,0.0004298302170642596,0.016226090694175802,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001074575542660649,3.581918475535497e-05,7.163836951070993e-05,0.0,0.004190844616376531,0.0,0.0,0.0,0.014936600042983021,0.0001074575542660649,0.0,0.0,0.0,0.0
"X206756",8.512811781731506e-05,0.08810760194092108,0.34259811015578445,0.5057461479526688,0.0,0.0,0.00012769217672597258,0.0,0.0,0.0018302545330722737,0.01600408614965523,0.005703583893760109,0.00012769217672597258,0.00021282029454328764,0.0,0.0,0.00025538435345194517,0.00012769217672597258,0.0,0.0,0.0,8.512811781731506e-05,0.020728696688516218,8.512811781731506e-05,0.0,0.0,0.0,0.0,8.512811781731506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003107176300332,0.0,0.0,0.0,0.004298969949774411,0.010683578786073039,0.0,0.0,0.0,0.0
