"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Deinococcus_Thermus","Spirochaetae","Nitrospirae","Tenericutes","WSA2","Euryarchaeota","Cyanobacteria","Synergistetes","Verrucomicrobia","Elusimicrobia"
"X206758",0.021775664175635572,0.5257982622376373,0.4380519898451747,0.014123788751027997,0.0002502949905245468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.9924453493356193,0.0026253750535790827,0.004875696528075439,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.008183643007874827,0.6615368778629883,0.3276030675793916,0.0015440835863914767,0.0011323279633537494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.043724364232977854,0.5408941755537325,0.4126743232157506,0.0011074651353568498,0.001435602953240361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554,0.0
"X206721",0.060139980990235896,0.3277456147930528,0.6091333275727988,0.0006480601399809902,0.0023330165039315647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206724",0.5412560165024066,0.28772251508900604,0.1649858659943464,0.00045840018336007336,0.005386202154480862,0.0,0.00019100007640003057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206728",0.05856467050496901,0.6619971396090799,0.2499541604019216,0.0009167919615680809,0.02853056584399868,3.667167846272324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206733",0.053234725831167964,0.22846292224665202,0.7124392031447798,0.0009327736691318542,0.004897061762942235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331334532613765e-05,0.0
"X206750",0.03617737660290852,0.43466580700623253,0.527150942044559,0.0017193208682570384,3.581918475535497e-05,0.0,0.0,0.0,3.581918475535497e-05,0.0,0.0,0.0,3.581918475535497e-05,0.00017909592377677485,0.0
"X206756",0.11662552140972163,0.36626372690899806,0.5057461479526688,0.00046820464799523284,0.00021282029454328764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010683578786073039,0.0
"X206766",0.03363875988452366,0.4006945316095561,0.5490565248315971,0.0009623028325174679,0.01556420233463035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367850717543199e-05
"X206768",0.6562360303978543,0.25748770675011173,0.03933839964237819,0.02548055431381314,0.0116227089852481,0.0,0.0,0.001788109074653554,0.0,0.004470272686633884,0.001788109074653554,0.001788109074653554,0.0,0.0,0.0
"X224327",0.16151501959077058,0.3707879843273835,0.4570744449281672,0.010491946016543317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000130605137135394,0.0
"X219634",0.019536114570361144,0.8931351183063512,0.08328144458281445,0.00311332503113325,0.0009339975093399751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219638",0.024068558925423936,0.8641585121254483,0.0926882635385644,0.012642071354768128,0.006442594055795296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219653",0.09415113871635611,0.5238612836438924,0.29487577639751555,0.0016563146997929607,0.02127329192546584,0.0,0.0,0.0,0.0,0.0,0.009006211180124223,0.0,0.0,0.055175983436853,0.0
"X219676",0.03695709629107568,0.4432208615980971,0.17377323583825213,0.0060347105981851815,0.34001409567438995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219692",0.08333333333333333,0.0,0.21666666666666667,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
