Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.927416091334401,0.0638386656968469,-0.04256485355782035,0.08775759997412595
2,0.890997751216983,0.125107631118851,-0.0059613774841740345,0.08325145111500647
3,0.877249389144939,0,-0.060910129162046245,0.08213009355170528
4,0.767056765404173,0,-0.08258664044426994,0.08008155468643151
5,0.972693238112442,0.0236227442727499,-0.0830265427252828,0.0866592502451392
6,0.909625042104638,0.090865884229678,-0.034212977073663955,0.09531931670789438
7,0.660973629876101,0.135177190257467,-0.06158263445932588,0.1255921482252341
8,0.881340562960489,0.130184708789982,-0.04453641279335711,0.12180771770527625
9,0.773871636582348,0,-0.052087720647482995,0.11133665910176666
10,0.952003691969559,0.0415660220422252,-0.05828591319304443,0.06174856230315095
11,0.91943227288143,0.136888488825967,-0.05055416365410961,0.09976135257339426
12,0.974003483876008,0.0220627190193975,-0.07362338502849532,0.08221025253086159
13,0.847291028554421,0.118307527575988,-0.08216062500115427,0.11008950527259792
Averages,0.8733811218475331,0.06827858321762711,-0.056314875017248224,0.09444195876866036
