"","Betaproteobacteria","Clostridia","Bacteroidia","Actinobacteria","Solibacteres","Gammaproteobacteria","Alphaproteobacteria","Negativicutes","Erysipelotrichia","Bacilli","Fusobacteriia","Deinococci","Coriobacteriia","Mollicutes","Melainabacteria","Deltaproteobacteria","Epsilonproteobacteria","Verrucomicrobia_Incertae_Sedis","Synergistia","Lentisphaeria","Planctomycetacia","Sphingobacteriia","Chloroplast","Cytophagia","Thermoplasmata","Verrucomicrobiae","Methanobacteria"
"X206657",0.00868075830121842,0.4018840748958698,0.41013663435711784,3.892716727003776e-05,0.0,0.000973179181750944,0.0034645178870333607,0.0049826774105648335,0.0008953248472108685,0.0018295768616917747,0.0,7.785433454007552e-05,0.0003503445054303398,0.00015570866908015105,0.01163922301374129,0.003970571061543852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509206275059364,0.0
"X215003",0.034311287916459474,0.4400795624067628,0.28319244157135753,0.0014917951268025858,0.0,0.09373446046742914,0.00174042764793635,0.07856787667826952,0.006215813028344107,0.03281949278965689,0.001989060169070114,0.0,0.00174042764793635,0.0,0.0002486325211337643,0.023868722028841372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215007",0.025935423709057,0.327660566499592,0.595232544585616,0.0003496911061895326,0.0,0.024245250029140925,0.0,0.01322998018417065,0.0018650192330108403,0.0023312740412635507,0.0015736099778528966,0.0,0.0006993822123790652,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855,0.0
"X215009",0.01649555393272907,0.42519008548477166,0.43940890931741056,0.003952059796383006,0.0,0.012672365651445508,0.00025774303019889173,0.013144894540143478,0.005713303836075433,0.03840371149963486,0.00017182868679926113,0.0,0.001073929292495382,0.007302719188968599,0.013402637570342369,0.009235791915460286,0.0023626444434898405,0.0,0.00017182868679926113,0.00047252888869796813,0.0,0.0,4.2957171699815284e-05,0.0,0.0,0.010524507066454745,0.0
"X215048",0.05589019452947566,0.4626246667324973,0.37217339784733877,0.0007899674138441789,0.0004937296336526119,0.02587143280339686,0.031401204700306114,0.005134788189987163,0.0069122148711365655,0.015503110496692011,0.009775846746321714,0.0,0.0008887133405747013,0.005727263750370297,0.0,0.004246074849412462,0.0013824429742273132,0.0,0.0,0.0,0.0002962377801915671,0.0007899674138441789,0.0,0.0,0.0,9.874592673052236e-05,0.0
"X215055",0.004303131723643318,0.506454697585465,0.34030600047812576,0.004721491752330863,0.0,0.06293330145828353,0.0007769543389911546,0.011714080803251255,0.0133277551996175,0.005319148936170213,0.010399234998804685,0.0,0.0007769543389911546,0.0,0.0016734401147501792,0.015180492469519484,0.0004183600286875448,0.0005378914654554147,0.0,0.0004781257470714798,0.0,0.00017929715515180492,0.0,0.0,0.0,0.020141047095386087,0.00035859431030360985
"X215057",0.0410953715627604,0.48458450117415347,0.3849708355427619,0.00022725551094614045,0.0,0.0007575183698204682,0.02211953639875767,0.006931293083857284,0.010264373911067343,0.001477160821149913,7.575183698204681e-05,0.0,0.0005302628588743277,0.0032194530717369898,0.0,0.03295204908719036,0.0,0.0,7.575183698204681e-05,0.0003408832664192107,0.0,0.0,0.0,0.0,7.575183698204681e-05,0.00988561472615711,0.0004166351034012575
"X215077",0.019572790612394572,0.5301613494682802,0.37962962962962965,0.003025302530253025,0.0,0.006692335900256693,0.0,0.016455812247891454,0.016639163916391638,0.004262926292629263,0.00041254125412541255,0.0,0.0012834616795012834,0.0016043270993766044,0.0001375137513751375,0.004308764209754309,0.0001375137513751375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015676567656765675,0.0
"X222171",0.040532569309850844,0.25971180584815035,0.6676497851183956,0.0009269402544872335,0.0,0.004634701272436167,0.0006741383668998062,0.010112075503497093,0.0009269402544872335,0.005898710710373304,0.0,0.0,0.0009269402544872335,0.0,0.0,0.0069941855565854895,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0,0.0,0.00042133647931237887,0.0,0.0,0.0
"X224845",0.02817952785294392,0.6710833255575255,0.26943174395819725,0.0013063357282821686,0.0,0.00956424372492302,0.0,0.013763179994401417,0.0008864421013343286,0.0013996454231594662,0.0012596808808435197,0.0,9.330969487729775e-05,0.0,0.0,0.003032565083512177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
