"","x"
"1","uncultured"
"2","Ornithinimicrobium"
"3","Ruminococcaceae_UCG_010"
"4","Ruminococcaceae_UCG_003"
"5","Senegalimassilia"
"6","Hydrogenoanaerobacterium"
"7","Catenisphaera"
"8","Anaerococcus"
"9","_Clostridium_innocuum_group"
"10","Subgroup_6(class)"
"11","Coprobacter"
"12","Methylobacterium"
"13","Plantactinospora"
"14","Bacteroidales_S24_7_group(family)"
"15","_Eubacterium_nodatum_group"
"16","Enhydrobacter"
"17","vadinBE97(family)"
"18","Caulobacter"
"19","Phenylobacterium"
"20","Anaerofilum"
"21","Dielma"
"22","Herminiimonas"
