"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Ruminococcaceae","Run_SP154(order)","Corynebacteriaceae","Peptococcaceae","Pseudomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Flavobacteriaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Family_XI","Leptotrichiaceae","Bifidobacteriaceae","Thermaceae","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Eubacteriaceae","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Synergistaceae","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Carnobacteriaceae","Methanobacteriaceae","Neisseriaceae","Chitinophagaceae","Rhizobiaceae","Cardiobacteriaceae","Caulobacteraceae","Chloroplast(class)","Family_X","Staphylococcaceae","Campylobacteraceae","Deinococcaceae","Pasteurellaceae","Enterobacteriaceae","Haliangiaceae","Clostridiaceae_1","PHOS_HE51","Xanthomonadaceae","Bdellovibrionaceae","Solirubrobacteraceae","Bacillaceae","Blastocatellaceae_Subgroup_4_","Microbacteriaceae","Verrucomicrobiaceae","Oxalobacteraceae","uncultured","Hyphomicrobiaceae","Bradyrhizobiaceae","Family_III","Saprospiraceae"
"X206703",0.0,0.0007052600646488392,0.0001763150161622098,0.00011754334410813987,0.09332941522186307,0.0,0.0,0.0,5.877167205406994e-05,0.0,0.0012929767851895385,0.0,0.25054363796650014,0.00887452248016456,0.035733176608874526,0.0,0.0011754334410813989,0.0,0.0008228034087569791,0.0,0.0006464883925947693,0.0,0.0,0.0003526300323244196,0.4364972083455774,0.0989127240669997,0.008521892447840141,0.001821921833676168,0.006112253893623273,0.000999118424919189,0.0,5.877167205406994e-05,5.877167205406994e-05,0.0001763150161622098,0.0,0.0,5.877167205406994e-05,0.0,0.007170143990596532,0.0,0.0,5.877167205406994e-05,0.0,0.0,0.0,0.0,0.00011754334410813987,0.0,0.00023508668821627975,0.0,5.877167205406994e-05,5.877167205406994e-05,0.0,0.0,0.0,0.0001763150161622098,0.0,0.0,0.034087569791360565,0.008404349103732,0.0,0.0003526300323244196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002115780193946518,0.0,0.0,0.0,0.00011754334410813987,0.0,0.0
"X206752",3.570408454727221e-05,0.0012496429591545273,0.0,0.00028563267637817766,0.28463296201085403,0.0,3.570408454727221e-05,0.0006426735218508997,7.140816909454442e-05,0.0,0.003606112539274493,3.570408454727221e-05,0.10550556983718938,0.006890888317623536,0.05580548414738646,0.0,0.001570979720079977,0.001178234790059983,3.570408454727221e-05,0.0,0.0013210511282490717,0.0,0.0,0.00017852042273636104,0.3306555269922879,0.048878891745215654,0.014460154241645245,0.001178234790059983,0.08526135389888603,0.00021422450728363326,0.0,3.570408454727221e-05,0.0,0.00017852042273636104,3.570408454727221e-05,0.0,0.0,0.0,0.0057483576121108255,0.0,0.0,0.0,0.001178234790059983,0.0,0.0,0.0,0.00014281633818908883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.570408454727221e-05,0.0,0.0,0.0014638674664381604,0.00032133676092544985,0.0,0.00021422450728363326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04691516709511568,0.0,0.0,0.0,0.0,0.0,0.0
"X206710",0.0,0.0,0.05520749917565594,4.710537472325592e-05,0.28564699232182394,0.0,0.0,0.0,0.0002355268736162796,4.710537472325592e-05,0.0,0.0,0.23053370389561448,0.0,0.05049696170333035,0.0,0.015921616656460504,0.0,0.003108954731734891,0.0,0.006265014838193038,0.0,0.0,0.003909746102030241,0.3275707758255217,9.421074944651184e-05,0.005040275095388384,0.0016486881153139573,0.0035329031042441944,0.0005181591219558152,0.0,4.710537472325592e-05,0.0,4.710537472325592e-05,0.0,0.0,0.0,0.0,0.007112911583211644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016486881153139573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.421074944651184e-05,0.0,0.0,0.0010834236186348862,0.00014131612416976778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206718",0.0,6.192717364379489e-05,6.192717364379489e-05,0.00012385434728758978,0.22039881099826603,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.24244488481545703,0.003715630418627694,0.0026628684666831805,0.0,0.005016101065147387,0.0,0.0,0.0,0.0003715630418627694,0.0,0.0,6.192717364379489e-05,0.5185162249194947,0.0,0.0003715630418627694,0.001795888035670052,0.0003715630418627694,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002972504334902155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.0,0.0,0.00012385434728758978,0.0,0.0,0.00030963586821897447,0.0001857815209313847,0.0,0.00012385434728758978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192717364379489e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206725",0.0,0.0,0.00045122960066180343,0.0009400616680454237,0.36120929532977364,0.0,0.0,7.52049334436339e-05,0.0,0.0,0.0,0.0,0.2872076408212379,0.0,0.007294878544032489,0.0,0.0034594269384071595,0.0,0.003233812138076258,0.0,0.00018801233360908476,0.0,0.0,7.52049334436339e-05,0.29589381063397757,0.0,0.00022561480033090172,0.0033842220049635258,0.0041362713393998645,0.020568549296833872,0.0,0.0,0.0,0.0,0.0001504098668872678,0.0,0.0,0.0,0.00018801233360908476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.760246672181695e-05,0.0,0.00011280740016545086,0.0,0.0,0.0,0.0,0.0,0.0,3.760246672181695e-05,0.0009024592013236069,0.0,0.00011280740016545086,0.009287809280288786,0.0,0.0008272542678799729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206729",0.00019734245494013944,0.0,0.026772793053545588,0.0027627943691619526,0.0037495066438626495,0.0,0.0006578081831337982,0.003223260097355611,0.0004604657281936587,0.0,0.0,0.0,0.08525194053414024,6.578081831337982e-05,0.05512432574661229,0.0009867122747006974,0.0030916984607288513,0.0,0.009867122747006973,0.002565451914221813,0.0,0.0003946849098802789,0.0,0.004736218918563347,0.037231943165372976,0.0018418629127746348,0.08525194053414024,0.008814629653992895,0.0,0.008683068017366137,0.0,0.0041441915537429284,0.0,0.0,0.0,0.0,0.0002631232732535193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017234574398105513,0.0,0.0018418629127746348,0.0,0.0,0.0,0.0,0.0,0.0,6.578081831337982e-05,0.0005920273648204184,0.0,0.0005920273648204184,0.3093014077095119,0.0,0.32390474937508223,0.0,0.0,0.00019734245494013944,0.0,0.00013156163662675965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206738",0.0,0.0002263083451202263,0.00039603960396039607,0.0014144271570014145,0.33374823196605374,0.0,0.0,0.0,0.0013578500707213579,0.0,0.0,0.0,0.2869024045261669,0.020594059405940595,0.00927864214992928,0.0002263083451202263,0.005714285714285714,0.0,0.0020933521923620934,0.0,0.002772277227722772,0.00016973125884016973,0.0,0.0009618104667609618,0.18268741159830268,0.07377652050919378,0.00927864214992928,0.012842998585572843,0.007977369165487977,0.0013578500707213579,0.00011315417256011315,0.0,0.0,0.0002828854314002829,0.0,0.0,0.0,0.0,0.0063932107496463934,0.0,0.0005657708628005657,0.0,0.0,0.0,0.020028288543140028,5.6577086280056576e-05,0.004186704384724187,0.0,0.0,0.0,0.0002828854314002829,0.0,5.6577086280056576e-05,0.0007920792079207921,0.0,0.0034512022630834513,0.0,0.0,0.0034512022630834513,0.0020933521923620934,0.0,0.0035077793493635077,0.0,0.00039603960396039607,0.0,0.00011315417256011315,0.0,0.0,0.0,0.00011315417256011315,0.0,0.0,0.00033946251768033947,0.0,0.0,0.0
"X206740",0.00012193634922570419,0.0022558224606755274,0.002133886111449823,0.00036580904767711256,0.26002926472381416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2210706011462017,0.017924643336178516,0.014144616510181686,0.0,0.002011949762224119,0.0,0.00036580904767711256,0.0,0.0014632361907084503,0.0,0.0,0.0007316180953542251,0.4198268503840995,0.015973661748567246,0.0007925862699670772,0.00042677722228996463,0.02767955127423485,0.0005487135715156688,0.0,0.0,0.0,0.0009145226191927813,0.0006096817461285209,0.0,0.0,0.0,0.007377149128155103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036580904767711256,0.0,0.00012193634922570419,0.0,0.0,0.0,0.0,6.0968174612852094e-05,0.0,0.0,0.0,0.0,6.0968174612852094e-05,0.0024387269845140835,0.0,0.00018290452383855628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206743",0.0003810814243976796,0.0008045052292839903,0.0033027056781132235,0.00033873904390904855,0.11521361730956514,0.00012702714146589321,0.00016936952195452428,8.468476097726214e-05,0.00021171190244315537,0.0,0.0,8.468476097726214e-05,0.1061523478849981,0.008891899902612525,0.021594614049201846,0.00033873904390904855,0.0008891899902612525,0.0,0.0002963966634204175,0.0009738747512385147,0.000592793326840835,0.0,0.00012702714146589321,0.0013549561756361942,0.5529914891815217,0.06728204259643478,0.012872083668543845,0.0007198204683067282,0.04962526993267562,0.0008891899902612525,0.0,0.0003810814243976796,0.0,0.0,0.0008468476097726215,0.0,8.468476097726214e-05,0.0,0.0032603632976245926,0.0,0.0,0.0,0.0,0.0,0.00012702714146589321,0.0,0.0008468476097726215,0.0009738747512385147,0.0,0.0,0.0,0.0,0.0,0.0,0.00021171190244315537,0.0,0.0,8.468476097726214e-05,8.468476097726214e-05,0.0014396409366134563,0.00012702714146589321,0.0003810814243976796,0.0,0.00012702714146589321,0.0,0.0,0.00012702714146589321,0.0003810814243976796,0.0005081085658635729,0.04327391285938095,8.468476097726214e-05,8.468476097726214e-05,0.0,0.0,0.0,0.00025405428293178643
"X224323",0.00010112245929821013,5.056122964910506e-05,0.011022348063504904,0.0,0.21311558297097785,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0,0.0,0.16407119021134595,0.04540398422489635,0.0013145919708767318,5.056122964910506e-05,0.0019718879563150977,0.0,0.00020224491859642025,0.0,0.000758418444736576,0.0,0.0,0.00025280614824552534,0.47841035493983214,0.0004550510668419456,0.0071796946101729195,0.000758418444736576,5.056122964910506e-05,0.0004044898371928405,0.0,0.0001516836889473152,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0017190818080695723,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.016836889473151987,0.0,0.00010112245929821013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,5.056122964910506e-05,0.0,0.0006572959854383659,0.05410051572454242,0.0,0.0004550510668419456,0.00010112245929821013,0.0,0.0,0.0,0.0,0.0,0.0,5.056122964910506e-05,0.0,0.0,0.0,0.0,0.0,0.0
