"","Bacteria","Archaea"
"X206615",1.0000000000000002,0.0
"X206619",0.9999999999999991,0.0
"X206621",1.000000000000001,0.0
"X206624",1.0,0.0
"X206628",1.0,0.0
"X206630",1.0000000000000009,0.0
"X206636",1.0000000000000002,0.0
"X206644",1.0,0.0
"X206646",0.9999999999999983,0.0
"X206648",1.0,0.0
"X206656",0.9999999999999998,0.0
"X206658",1.0000000000000002,0.0
"X206660",1.0,0.0
"X206668",0.9999999999999993,0.0
"X206670",0.9999999999999999,0.0
"X206672",0.9999999999999998,0.0
"X206673",1.0000000000000007,0.0
"X206676",0.9999999999999994,0.0
"X206678",1.0,0.0
"X206682",0.9999999999999986,0.0
"X206684",0.9999999999999994,0.0
"X206538",1.0000000000000007,0.0
"X215050",0.9999999999999997,0.0
"X206548",1.0000000000000004,0.0
"X206562",0.9999999999999998,0.0
"X206561",1.0000000000000004,0.0
"X206570",1.000000000000001,0.0
"X206572",0.9999999999999992,0.0
"X206605",1.0000000000000002,0.0
"X206609",1.0000000000000002,0.0
"X215085",0.9999999999999996,0.0
"X214995",0.9999999999999997,0.0
"X215004",0.9999999999999999,0.0
"X215008",1.0,0.0
"X215010",0.9999999999999999,0.0
"X215049",0.9999999999999997,0.0
"X215056",0.9991112803910357,0.000888719608963372
"X215058",0.9995222495222499,0.000477750477750478
"X215062",0.9937290231407876,0.00627097685921215
"X215075",1.0000000000000002,0.0
"X215080",1.0000000000000002,0.0
"X215074",1.0000000000000002,0.0
"X222170",1.0000000000000004,0.0
"X224844",1.0,0.0
