"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Run_SP154","Pasteurellales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingobacteriales","Kineosporiales","Sphingomonadales","Micrococcales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Fusobacteriales","Bifidobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Opitutales","Caulobacterales","NB1_n","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Aeromonadales","Pseudonocardiales","Cytophagales","SubsectionIII","Gastranaerophilales","Desulfovibrionales","Neisseriales","Subgroup_6(class)","Campylobacterales","Synergistales","MB_A2_108(class)","Nitrospirales","Mollicutes_RF9","Micromonosporales","Caldilineales","Planctomycetales","Rickettsiales","Desulfurellales","Unknown_Order","Anaerolineales","WCHA1_57(class)","Chromatiales","Chlorobiales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Streptosporangiales","JG30_KF_CM45","Cardiobacteriales","Xanthomonadales","Myxococcales","Desulfuromonadales","Alteromonadales","Obscuribacterales","Thermoplasmatales","Candidatus_Falkowbacteria(class)","Streptomycetales","Chloroplast(class)","Frankiales","Gitt_GS_136(class)","Bacteroidetes_vadinHA17(class)","Deinococcales","Legionellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Subgroup_10","ML635J_21(class)","Acidobacteriales","Methylophilales","Solirubrobacterales","Oligosphaerales","SubsectionIV","KD4_96(class)","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","SubsectionII","Candidatus_Nomurabacteria(class)","SC_I_84","Gemmatimonadales","Cellvibrionales","Latescibacteria(phylum)","SubsectionI","UA11(class)","Subgroup_2(class)","Lineage_IIb","Oligoflexales","Rhodocyclales","Lineage_IIc"
"X206615",0.0,0.000571102227298686,0.5174186179326101,0.3647439558347607,0.0,0.0,0.0,0.0024747763182943,0.00894726822767942,0.0,0.0,0.0,0.0,0.000761469636398249,0.0,0.0,0.0,0.000761469636398249,0.0,0.062250142775556856,0.01161241195507329,0.0,0.0,0.000190367409099562,0.00399771559109081,0.0,0.0,0.000190367409099562,0.0,0.0,0.0,0.0,0.0,0.000380734818199124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00342661336379212,0.000951837045497811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197982105463545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392727965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.00745341614906832,0.44906832298136584,0.4527950310559002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00807453416149068,0.0,0.0,0.0,0.0,0.0,0.0,0.06894409937888198,0.00124223602484472,0.0,0.0,0.0,0.00341614906832298,0.0,0.0,0.00248447204968944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206621",0.0,0.0,0.1470588235294118,0.676470588235295,0.0,0.0,0.0,0.0,0.147058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.0642458100558659,0.0,0.1089385474860335,0.09357541899441339,0.0,0.0,0.0,0.0516759776536313,0.23324022346368734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1229050279329609,0.0,0.0,0.0,0.0307262569832402,0.0,0.0,0.0,0.0,0.0279329608938547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026536312849162,0.0,0.0167597765363128,0.0209497206703911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0572625698324022,0.0,0.0,0.0,0.0,0.0,0.0,0.0279329608938547,0.0,0.0,0.0,0.0,0.0,0.0,0.0474860335195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460893854748603,0.0,0.0,0.00837988826815642,0.0,0.0,0.0,0.0153631284916201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896105,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675325,0.0,0.0,0.0,0.0584415584415584,0.0,0.0162337662337662,0.2142857142857145,0.0,0.0,0.0,0.00649350649350649,0.00649350649350649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00324675324675325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40909090909090895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.000866300895177592,0.0189142362113774,0.5846087207623448,0.2822697083453655,0.0,0.0,0.00822985850418712,0.00534218885359515,0.000144383482529599,0.0,0.0,0.0,0.00158821830782558,0.0,0.0,0.0,0.0027432861680623728,0.0025989026855327787,0.0,0.012994513427663881,0.05111175281547799,0.0,0.0,0.00144383482529599,0.00476465492347675,0.00606410626624314,0.00101068437770719,0.005919722783713547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101068437770719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00750794109153913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000866300895177592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0529197080291971,0.6697080291970805,0.125912408759124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237226277372263,0.0,0.027372262773722598,0.01094890510948906,0.0,0.0,0.0237226277372263,0.0,0.0346715328467153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927,0.0182481751824818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00547445255474453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.45637013097465534,0.49226058853546556,0.0,0.0,0.0146283381527471,0.0,0.000170096955264501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000850484776322504,0.0,0.00238135737370301,0.014118047286953568,0.0,0.0,0.001020581731587,0.0,0.0,0.0,0.000170096955264501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340193910529002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171797924817146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510290865793502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0,8.47206337103402e-05,0.6109204896852622,0.3417630363875125,0.00660820942940653,0.0,0.0002118015842758501,0.000338882534841361,0.0001270809505655103,0.0,0.0,0.0,0.0,0.0,0.0,0.00038124285169653,0.0,0.0005506841191172114,0.0,0.026178675816495082,0.0016096920404964623,0.0,0.0,0.0,0.000296522217986191,0.00283814122929639,0.0,0.00139789045622061,0.0,0.0,0.0,0.0,0.0,4.23603168551701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168551701e-05,0.0,0.0,8.47206337103402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168551701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00635404752827551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23603168551701e-05,0.0,0.0,8.47206337103402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.0150190671751247,0.08630096802581405,0.4838369023173953,0.3543561161630976,0.0,0.0,0.000117336462305661,0.0,5.86682311528307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000528014080375477,0.0,0.009562921677911417,0.03326488706365499,0.0,0.0,5.86682311528307e-05,0.0,0.0,0.0,0.000293341155764154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014901730712819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176004693458492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015253740099736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
