"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206615",0.033695031410622536,0.592233009708738,0.36550542547115894,0.003045878545592986,0.0,0.0,0.0015229392727965,0.00399771559109081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0139751552795031,0.5192546583850927,0.46086956521739086,0.00248447204968944,0.0,0.0,0.0,0.00341614906832298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206621",0.17647058823529438,0.1470588235294118,0.676470588235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.41899441340782134,0.1396648044692737,0.09357541899441339,0.27653631284916186,0.0,0.00837988826815642,0.0,0.0,0.0,0.0,0.0,0.0,0.0628491620111732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.40909090909090895,0.5000000000000001,0.07467532467532464,0.00649350649350649,0.0,0.0,0.0,0.00649350649350649,0.0,0.0,0.0,0.0,0.00324675324675325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.035662720184810835,0.6527577245163153,0.2838579266531911,0.02006930407161421,0.0,0.0,0.0,0.00476465492347675,0.00101068437770719,0.0,0.000866300895177592,0.0,0.00101068437770719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.08394160583941614,0.7554744525547447,0.125912408759124,0.0346715328467153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.032318421500255205,0.47474060214322145,0.49226058853546556,0.000170096955264501,0.0,0.0,0.000510290865793502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.01389418392849578,0.639259541661371,0.3417630363875125,0.0046596348540687005,0.0,0.0,4.23603168551701e-05,0.000296522217986191,0.0,0.0,0.0,0.0,8.47206337103402e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.11809914931064834,0.52725139337049,0.3543561161630976,0.000293341155764154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
