"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206615",0.0,0.0015229392727964973,0.5174186179326099,0.3647439558347611,0.028745478774033887,0.0028555111364934323,0.0,0.0,0.0,0.0,0.0007614696363982486,0.0009518370454978108,0.0,0.06225014277555682,0.01161241195507329,0.0,0.0,0.003997715591090805,0.0,0.00019036740909956216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034266133637921186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015229392727964973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.007453416149068323,0.4490683229813664,0.45279503105590063,0.006521739130434782,0.0,0.0,0.0,0.0,0.008074534161490683,0.0,0.0,0.0,0.06894409937888198,0.0012422360248447205,0.0,0.0,0.0034161490683229812,0.0,0.002484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206621",0.0,0.0,0.14705882352941174,0.6764705882352942,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.09078212290502793,0.0,0.10893854748603352,0.0935754189944134,0.3002793296089386,0.25977653631284914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030726256983240222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675977653631285,0.0,0.015363128491620111,0.0,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04748603351955307,0.0,0.0,0.0,0.0,0.0,0.008379888268156424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896103,0.07142857142857142,0.4090909090909091,0.006493506493506494,0.0,0.0,0.0,0.0,0.003246753246753247,0.05844155844155844,0.0,0.016233766233766232,0.2142857142857143,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.01891423621137742,0.5846087207623447,0.28226970834536524,0.015882183078255847,0.014149581287900663,0.0,0.0,0.0,0.0015882183078255846,0.0,0.0040427375108287615,0.0,0.012994513427663876,0.051111752815477904,0.0,0.0,0.004764654923476754,0.0010106843777071904,0.0059197227837135425,0.0,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.07116788321167883,0.6697080291970804,0.1259124087591241,0.005474452554744526,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.04744525547445255,0.0,0.02737226277372263,0.01094890510948905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.45637013097465545,0.4922605885354652,0.03197822758972614,0.0,0.0,0.0,0.0,0.0,0.0,0.0018710665079095085,0.0,0.0023813573737030106,0.014118047286953565,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.006989452281103062,8.472063371034016e-05,0.6109204896852627,0.34176303638751215,0.006692930063116872,0.003261744397848096,0.0,0.0,0.0,0.0,0.0,0.000550684119117211,0.0,0.026178675816495106,0.0016096920404964628,0.0,0.0,0.00029652221798619053,0.0,0.0013978904562206127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.472063371034016e-05,0.0,4.236031685517008e-05,0.0,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206648",0.01501906717512467,0.08630096802581402,0.48383690231739496,0.3543561161630976,0.0017013787034320916,0.0,0.0,0.0,0.0,0.0,0.0,0.0005866823115283074,0.0,0.009562921677911411,0.03326488706365503,0.0,0.0,0.0,0.0,0.0002933411557641537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015077735406277501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206656",0.0,0.001152073732718894,0.5241935483870968,0.2741935483870968,0.025921658986175117,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02534562211981567,0.07142857142857142,0.0,0.0,0.0293778801843318,0.0034562211981566822,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206658",0.0020200783545543583,0.008080313418217433,0.5227717923604309,0.2808521057786484,0.05025710088148873,0.0053868756121449556,0.0,0.0,0.0,0.0,0.0,0.002877081292850147,0.0,0.005815377081292849,0.0008570029382957884,0.0,0.0,0.0,0.0,0.00018364348677766894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0,0.0,0.0,0.0,0.0004285014691478942,0.0,0.0,0.11545053868756121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0014051287198273699,0.03588096552416319,0.1558187383951423,0.42786169518743417,0.011592311938575801,0.0005018316856526321,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.00025091584282631606,0.0,0.31866312038942135,0.0005018316856526321,0.0,0.0,0.019671802077583178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0,0.0,0.002308425754002108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206668",0.016420361247947456,0.029556650246305417,0.3645320197044335,0.3908045977011494,0.07060755336617405,0.10180623973727423,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
