"","Bacteria","Archaea"
"X206615",1.0000000000000004,0.0
"X206619",1.0,0.0
"X206621",1.0,0.0
"X206624",1.0,0.0
"X206628",0.9999999999999999,0.0
"X206630",1.0000000000000002,0.0
"X206636",1.0000000000000002,0.0
"X206644",0.9999999999999996,0.0
"X206646",0.9999999999999986,0.0
"X206648",0.9999999999999997,0.0
"X206656",0.9999999999999998,0.0
"X206658",1.0,0.0
"X206660",1.0,0.0
"X206668",0.9999999999999999,0.0
"X206670",1.0000000000000002,0.0
"X206672",0.9999999999999997,0.0
"X206673",1.0000000000000002,0.0
"X206676",1.0000000000000002,0.0
"X206678",0.9999999999999998,0.0
"X206682",1.0,0.0
"X206684",0.9999999999999998,0.0
"X206695",1.0,0.0
"X206700",1.0,0.0
"X206757",1.0000000000000009,0.0
"X206701",1.0,0.0
"X206709",1.0000000000000002,0.0
"X206747",1.0000000000000002,0.0
"X206704",0.9999999999999997,0.0
"X206753",0.9999999999999993,0.0
"X206711",0.9999999999999998,0.0
"X206713",1.0,0.0
"X206719",1.0000000000000007,0.0
"X206720",0.9999999999999994,0.0
"X206723",1.0,0.0
"X206726",1.0,0.0
"X206727",0.9999999999999997,0.0
"X206730",1.0,0.0
"X206732",0.9999143578983427,8.564210165717467e-05
"X206754",0.9996691245982218,0.00033087540177727357
"X206734",1.0000000000000002,0.0
"X206739",0.9999999999999994,0.0
"X206741",1.0000000000000002,0.0
"X206742",0.9981465463981217,0.0018534536018781664
"X206751",0.9998426683448709,0.00015733165512901197
"X206755",0.9999999999999996,0.0
"X206762",1.0000000000000004,0.0
"X206767",1.0,0.0
"X206769",1.0,0.0
"X206770",0.9999999999999999,0.0
"X224330",0.9999999999999998,0.0
"X224328",1.0,0.0
"X224326",1.0000000000000002,0.0
"X224324",0.9999999999999998,0.0
"X206538",1.0000000000000007,0.0
"X215050",1.0000000000000004,0.0
"X206548",1.0000000000000002,0.0
"X206562",1.0,0.0
"X206561",1.0,0.0
"X206570",1.0000000000000007,0.0
"X206572",1.0000000000000002,0.0
"X206605",1.000000000000001,0.0
"X206609",1.0000000000000004,0.0
"X215085",1.0000000000000002,0.0
"X214995",1.0,0.0
"X215004",0.9999999999999996,0.0
"X215008",1.0000000000000002,0.0
"X215010",1.0000000000000007,0.0
"X215049",1.0,0.0
"X215056",0.9991112803910361,0.0008887196089633721
"X215058",0.9995222495222491,0.0004777504777504777
"X215062",0.9937290231407876,0.006270976859212153
"X215075",0.9999999999999991,0.0
"X215080",1.0000000000000004,0.0
"X215074",1.0,0.0
"X222170",1.0000000000000002,0.0
"X224844",1.0,0.0
"X219633",1.0,0.0
"X219637",0.9999999999999999,0.0
"X219643",0.9999999999999997,0.0
"X219646",0.9999999999999999,0.0
"X219651",1.0,0.0
"X219654",0.9866942098547906,0.013305790145209308
"X219693",1.0000000000000004,0.0
"X219656",1.0000000000000002,0.0
"X219658",1.0,0.0
"X219668",1.0,0.0
"X219669",1.0000000000000004,0.0
"X219675",1.0,0.0
"X219691",1.0,0.0
