OTU,LDA_score,CLass
Coriobacteriaceae,5.658803377628866,CD
Family_XIII,5.8881735710218255,UC
Bifidobacteriaceae,6.629531924742503,UC
Lachnospiraceae,8.407617173526482,UC
Bacteroidaceae,8.453402719197307,UC
Ruminococcaceae,8.598234345573026,UC
Clostridiales_vadinBB60_group,5.4133703672587945,nonIBD
Erysipelotrichaceae,6.587024636291516,nonIBD
Desulfovibrionaceae,6.627828721664725,nonIBD
Christensenellaceae,6.827794946956723,nonIBD
Rikenellaceae,7.156845594998431,nonIBD
Alcaligenaceae,7.161773685979014,nonIBD
