"","Alphaproteobacteria","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","JG30_KF_CM66","Solibacteres","Thermoleophilia","Flavobacteriia","Sphingobacteriia","Bacilli","Blastocatellia","Negativicutes","Erysipelotrichia","WCHB1_32","Spartobacteria","Fusobacteriia","Deinococci","Coriobacteriia","Fibrobacteria","Opitutae","Mollicutes","Chloroflexia","Spirochaetes","Acidimicrobiia","Cytophagia","Cyanobacteria","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","MB_A2_108","Nitrospira","Caldilineae","Planctomycetacia","Verrucomicrobia_Incertae_Sedis","Anaerolineae","WCHA1_57","Chlorobia","OPB35_soil_group","Tectomicrobia(phylum)","Lentisphaeria","Methanobacteria","Thermomicrobia","Proteobacteria_Incertae_Sedis","Thermoplasmata","Candidatus_Falkowbacteria","Chloroplast","Gitt_GS_136","Bacteroidetes_vadinHA17","Cyanobacteria(phylum)","Holophagae","ML635J_21","Acidobacteria","Oligosphaeria","KD4_96","Verrucomicrobiae","uncultured","TK10","Candidatus_Nomurabacteria","Gemmatimonadetes","Latescibacteria(phylum)","UA11","Subgroup_2","Elusimicrobia"
"X206695",0.0186335403726708,0.0062111801242236,0.263975155279503,0.13871635610765998,0.4192546583850928,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,0.0300207039337474,0.0,0.0196687370600414,0.0,0.0,0.0,0.0093167701863354,0.0010351966873706,0.0041407867494824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0028191436436602454,0.19996020032503067,0.20277934396869052,0.30171470266326195,0.0,0.0,0.0,0.0,0.0,0.0,0.0033498059765845237,0.0,0.07429272660939931,0.02016516865112271,0.0,0.0,0.19200026533116651,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.2861706048568738,0.49617101437405337,0.02141774847454854,0.019861583193414967,0.0,0.0,0.0,0.0,0.0,0.01019697776321717,0.0,0.14505098488881568,0.020926327859453694,0.0,0.0,4.09517179245669e-05,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.004812069189751585,0.004421901417609573,0.9751593185069577,0.0018207829366627612,0.0,0.0,0.0,0.0013005592404734,0.0,0.00416178956951489,0.0,0.00104044739237872,0.0,0.0,0.0,0.00507218103784627,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02079049577336075,0.39643591501028086,0.5467671921407353,0.0037925519762394277,0.0001827735892163582,0.0,0.0,0.0,0.0,0.0,0.0009595613433858808,0.0,0.009367146447338359,0.006351382225268448,0.0,0.0,0.000502627370344985,0.0,0.000731094356865432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,0.0004204109517052915,0.49529665247779725,0.4507330915970362,0.026485889957433343,0.0008408219034105836,0.0,0.0,0.0,0.0,0.0,0.003100530768826523,0.0,0.008355667665142676,0.007146986178989957,0.0,0.0,0.00199695202060014,0.0,0.0002102054758526455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826527931,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.0,0.020413673921261526,0.5386401684938165,0.2893017227412643,0.06242911918777343,0.002322190419614407,0.0,0.0,0.0,0.0,0.0,0.02041367392126152,0.0,0.05751471620672897,0.001080088567262516,0.0,0.0,0.001080088567262516,0.0,0.001242101852351892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033482745585138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156288816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",3.86249517188103e-05,0.009115488605639245,0.5033989957512555,0.3954036307454619,0.0022016222479721882,0.0018539976825028917,0.0,0.0,0.0,0.0,0.0,0.011896485129393581,0.0,0.049362688296639555,0.0011973735032831212,0.0,0.0,0.000231749710312862,0.0,0.00015449980687524132,0.0,0.0,0.00135187331015836,0.0,0.0,0.0,0.0,0.0,0.0,0.00915411355735805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146002317497103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0001299207483435105,0.5793599237798274,0.34138841973063083,0.0009527521545190764,0.0029015633796717335,0.0,0.0,0.0,0.0,0.0,0.0013858213156641111,0.0,0.046944697068121745,0.021740071889480767,0.0,0.0,0.000259841496687021,0.0,0.002771642631328227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212203888961067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",4.76917207172835e-05,0.00133536818008394,0.2578214421976346,0.7111312476154138,0.0006676840900419686,0.001573826783670352,0.0,0.0,0.0,9.5383441434567e-05,0.0,0.0014307516215185038,0.0,0.006438382296833271,0.001526135062953071,0.0,0.0,0.00543685616177032,0.0,0.0006676840900419684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467378863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
