"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Run_SP154(order)","Pasteurellaceae","Corynebacteriaceae","Moraxellaceae","Peptococcaceae","JG30_KF_CM66(class)","Solibacteraceae_Subgroup_3_","uncultured","Pseudomonadaceae","Flavobacteriaceae","Sphingobacteriaceae","Kineosporiaceae","Sphingomonadaceae","Intrasporangiaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","DA101_soil_group","Burkholderiaceae","Family_XI","Leptotrichiaceae","Bifidobacteriaceae","Thermaceae","Coriobacteriaceae","Fibrobacteraceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Caulobacteraceae","Aerococcaceae","NB1_n(order)","Oscillochloridaceae","Actinomycetaceae","Family_XII","Defluviitaleaceae","Hyphomicrobiaceae","Spirochaetaceae","Iamiaceae","Succinivibrionaceae","Oxalobacteraceae","Cellulomonadaceae","Eubacteriaceae","Pseudonocardiaceae","Alicyclobacillaceae","Cytophagaceae","FamilyI","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Neisseriaceae","Subgroup_6(class)","Listeriaceae","Campylobacteraceae","Synergistaceae","MB_A2_108(class)","Methylobacteriaceae","0319_6A21","Mollicutes_RF9(order)","Micromonosporaceae","Caldilineaceae","Erythrobacteraceae","Acidaminococcaceae","Mycobacteriaceae","Bacteroidales_S24_7_group","Planctomycetaceae","SM2D12","Desulfurellaceae","Unknown_Family","Anaerolineaceae","WCHA1_57(class)","Chromatiaceae","OPB56","Chthoniobacterales_Incertae_Sedis","Thermoanaerobacteraceae","Chitinophagaceae","OPB35_soil_group(class)","Tectomicrobia(phylum)","vadinBE97","NS11_12_marine_group","Paenibacillaceae","Nocardiaceae","Carnobacteriaceae","Rhizobiales_Incertae_Sedis","Nocardioidaceae","Chloroflexaceae","Methanobacteriaceae","Bacteriovoracaceae","Streptosporangiales_Incertae_Sedis","Nitrospiraceae","Microbacteriaceae","Planococcaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Cardiobacteriaceae","Xanthomonadaceae","Cryomorphaceae","Geobacteraceae","env_OPS_17","Bdellovibrionaceae","Shewanellaceae","Obscuribacterales(order)","Thermoplasmatales_Incertae_Sedis","Lentimicrobiaceae","Candidatus_Falkowbacteria(class)","Xanthobacteraceae","Streptomycetaceae","Chloroplast(class)","Xanthomonadales_Incertae_Sedis","Geodermatophilaceae","Gitt_GS_136(class)","Chthoniobacteraceae","Family_X","Staphylococcaceae","Bacteroidetes_vadinHA17(class)","Deinococcaceae","Acidimicrobiaceae","Rhodospirillales_Incertae_Sedis","Coxiellaceae","Cyanobacteria(phylum)","NB1_j(order)","X35(order)","Enterobacteriaceae","Haliangiaceae","ABS_19","ML635J_21(class)","Acidobacteriaceae_Subgroup_1_","mle1_27","Brevibacteriaceae","Clostridiaceae_1","PHOS_HE51","Methylophilaceae","288_2","Alteromonadaceae","Heliobacteriaceae","Oligosphaeraceae","Solirubrobacteraceae","Bacillaceae","KD4_96(class)","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","TK10(class)","FamilyII","Candidatus_Nomurabacteria(class)","Aeromonadaceae","SC_I_84(order)","Propionibacteriaceae","Bogoriellaceae","Phyllobacteriaceae","Gemmatimonadaceae","Bradyrhizobiaceae","Sanguibacteraceae","NS9_marine_group","Cellvibrionaceae","Myxococcaceae","Latescibacteria(phylum)","UA11(class)","Subgroup_2(class)","Lineage_IIb(order)","Elev_16S_1332","Polyangiaceae","1174_901_12","Oligoflexaceae","Rhodocyclaceae","Dermabacteraceae","Family_III","Lineage_IIc(order)","Saprospiraceae"
"X206695",0.0,0.0,0.0,0.0093167701863354,0.0,0.0,0.0838509316770186,0.0,0.0,0.0041407867494824,0.0175983436853002,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0186335403726708,0.0,0.16045548654244302,0.0062111801242236,0.0196687370600414,0.0,0.0,0.0,0.0,0.0,0.010351966873706,0.0,0.0082815734989648,0.0010351966873706,0.0041407867494824,0.0,0.128364389233954,0.0010351966873706,0.0289855072463768,0.0093167701863354,0.0,0.0,0.0,0.0093167701863354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093167701863354,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0,0.0,6.63327916155351e-05,3.31663958077676e-05,0.0,0.017578189778116836,0.0,0.0549235514576631,0.0,3.31663958077676e-05,0.0,0.0,0.0,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14576630957513848,6.63327916155352e-05,0.07429272660939931,0.02016516865112271,0.0,0.0,0.0,0.0,0.006102616828629228,6.63327916155351e-05,0.0,0.0,6.63327916155351e-05,0.0,0.202713011177075,0.0,0.00258697887300587,0.00381413551789327,0.0,0.0,0.0,0.191933932539551,0.0,3.31663958077676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275281085204471,0.0,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000298497562269908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013266558323107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24669165201817553,0.0,0.0,0.0,0.0,0.0,0.0,0.026964279791715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.014046439248126479,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597976985134527,0.0,0.14501003317089112,0.020926327859453694,0.0,0.0,0.0,0.0,0.000122855153773701,0.0,0.019861583193414967,0.0,8.19034358491339e-05,0.0,0.495638642041034,0.00040951717924566993,0.00417707522830583,0.009828412301896064,4.09517179245669e-05,8.19034358491339e-05,0.0,4.09517179245669e-05,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00573324050943937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021335845038699404,0.0,0.0,0.0,0.0,0.0,0.0,0.00249805479339858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.0,0.000780335544284042,0.0,0.0,0.0032513981011835,0.0,0.0,0.00117050331642606,0.0,0.0,0.0,0.0,0.0,0.0105345298478346,0.0013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001300559240473403,0.0,0.00104044739237872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.000520223696189361,0.0,0.0,0.00364156587332553,0.0,0.0,0.000260111848094681,0.0,0.0,0.0,0.00507218103784627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00260111848094681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156067108856808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,9.13867946081791e-05,0.0,0.000228466986520448,4.56933973040896e-05,0.0,0.26218871373086555,0.0,0.001782042494859489,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,4.56933973040896e-05,0.0,0.0,0.0,0.0,0.0,0.000182773589216358,0.0,0.0,0.1334704135252456,0.0205620287868403,0.009367146447338359,0.006351382225268448,0.0,0.0,0.0,0.0,0.0006854009595613432,0.0,9.13867946081791e-05,0.0,0.000731094356865432,0.0,0.533333333333333,0.011606122915238755,0.000639707562257254,0.0,0.0,0.00159926890564313,0.0,0.000502627370344985,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.000137080191912269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964816084075849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,0.0,0.0,0.0,0.0,0.0,0.2875085395974568,0.0,0.024488937936833214,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20778811288034052,0.0,0.008303116296179514,0.007146986178989957,0.0,0.0,0.0,0.0,0.000420410951705292,0.0,0.000683167796521099,0.0,0.0002102054758526455,0.0,0.449366756003994,0.00126123285511588,0.00225970886541594,0.0,0.0,0.000105102737926323,0.0,0.00199695202060014,0.0,0.000105102737926323,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926323,0.0,0.00530768826527931,0.00036785958274213,0.0,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000262756844815807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444006516369716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.0,0.0,0.0014041151374412659,0.000162013285089377,0.000216017713452503,0.0,0.15645082896797538,0.0,0.0516822379435114,0.0,0.0,0.0,0.0,0.0,0.0,0.000216017713452503,0.0,0.0,0.0,0.0,0.0,0.000432035426905006,0.0,0.0,0.3792731003942322,0.0203596694928984,0.05751471620672897,0.001080088567262516,0.0,0.0,0.0,0.0,0.000810066425446887,5.40044283631258e-05,0.00178214613598315,0.0,0.001242101852351892,0.0,0.242803909920613,0.0412593832694281,0.0191175676405465,0.001026084138899389,0.0,0.00507641626613382,0.0,0.00102608413889939,0.0,0.0,0.0,0.0,0.000162013285089377,0.0,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037803099854188,0.0,0.0033482745585138,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162013285089377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104768591024464,0.0,0.0,0.0,0.0,0.0,0.0,0.000108008856726252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156288816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.0,0.0,0.0016222479721900351,0.0,0.00030899961375048274,3.86249517188103e-05,0.3350714561606801,0.0,0.00123599845500193,3.86249517188103e-05,0.0,0.000502124372344535,0.0,0.0,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,3.86249517188103e-05,0.00455774430281962,0.0,0.0,0.16346079567400537,0.009115488605639245,0.049362688296639555,0.0011973735032831212,0.000695249130938586,0.0,0.0,0.0,7.72499034376207e-05,0.0,0.0016608729239088401,0.0,0.00015449980687524132,0.0,0.287446890691387,0.039706450366937,0.00714561606797991,0.0013132483584395512,0.0,0.0682502896871379,0.0,0.000231749710312862,0.0,0.0,0.0,0.0,0.0,0.0,7.72499034376207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000115874855156431,0.0,0.0,0.0,0.0,0.0,0.000115874855156431,0.0,0.00915411355735805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331015836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72499034376207e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.000115874855156431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000926998841251448,0.0,0.0,0.0,0.0,0.0,0.0,0.000154499806875241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146002317497103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0,4.33069161145035e-05,0.0452124204235416,0.000259841496687021,0.0,0.21332986878004448,0.0,0.000519682993374042,4.33069161145035e-05,0.000173227664458014,0.0,0.0,0.0,0.0,4.33069161145035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363864709194058,0.0001299207483435105,0.046944697068121745,0.021740071889480767,0.0,0.0,0.0,0.0,0.000476376077259538,0.0,0.00272833571521372,0.0,0.002771642631328227,0.0,0.293664198172448,0.000216534580572517,0.000822831406175566,0.00151574206400762,0.0,0.00229526655406868,0.0,0.000259841496687021,0.0,0.0,0.0,0.0,0.00012992074834351,0.0,8.6613832229007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212203888961067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6613832229007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000173227664458014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021653458057251698,0.0,0.0,0.0,0.0,0.0,0.0,8.6613832229007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.0,0.0,0.000381533765738268,9.5383441434567e-05,0.0,0.07220526516596718,0.0,9.5383441434567e-05,0.000381533765738268,0.0,0.0,0.0,0.0,0.0,4.76917207172835e-05,9.5383441434567e-05,0.0,0.0,4.76917207172835e-05,0.0,4.76917207172835e-05,0.0,0.0,0.1838992750858452,0.00133536818008394,0.004769172071728351,0.001526135062953071,0.0,0.0,0.0,0.0,0.000381533765738267,0.0,0.00100152613506295,0.0,0.0006676840900419684,0.0,0.619276993513926,0.0910911865700114,0.00109690957649752,0.0014784433422357873,0.0,0.000381533765738268,0.0,0.00543685616177032,0.0,0.0,0.0,0.0,0.000190766882869134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467378863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00166921022510492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76917207172835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000524608927890118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
