"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Run_SP154","Pasteurellales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingobacteriales","Kineosporiales","Sphingomonadales","Micrococcales","Lactobacillales","Blastocatellales","Selenomonadales","Erysipelotrichales","WCHB1_32(class)","Chthoniobacterales","Bacillales","Fusobacteriales","Bifidobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Opitutales","Caulobacterales","NB1_n","Chloroflexales","Actinomycetales","Rhizobiales","Spirochaetales","Acidimicrobiales","Aeromonadales","Pseudonocardiales","Cytophagales","SubsectionIII","Gastranaerophilales","Desulfovibrionales","Neisseriales","Subgroup_6(class)","Campylobacterales","Synergistales","MB_A2_108(class)","Nitrospirales","Mollicutes_RF9","Micromonosporales","Caldilineales","Planctomycetales","Rickettsiales","Desulfurellales","Unknown_Order","Anaerolineales","WCHA1_57(class)","Chromatiales","Chlorobiales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Streptosporangiales","JG30_KF_CM45","Cardiobacteriales","Xanthomonadales","Myxococcales","Desulfuromonadales","Alteromonadales","Obscuribacterales","Thermoplasmatales","Candidatus_Falkowbacteria(class)","Streptomycetales","Chloroplast(class)","Frankiales","Gitt_GS_136(class)","Bacteroidetes_vadinHA17(class)","Deinococcales","Legionellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Subgroup_10","ML635J_21(class)","Acidobacteriales","Methylophilales","Solirubrobacterales","Oligosphaerales","SubsectionIV","KD4_96(class)","Anaeroplasmatales","Verrucomicrobiales","uncultured(class)","TK10(class)","SubsectionII","Candidatus_Nomurabacteria(class)","SC_I_84","Gemmatimonadales","Cellvibrionales","Latescibacteria(phylum)","SubsectionI","UA11(class)","Subgroup_2(class)","Lineage_IIb","Oligoflexales","Rhodocyclales","Lineage_IIc"
"X206695",0.0186335403726708,0.0062111801242236,0.263975155279503,0.13871635610765998,0.0,0.0,0.0,0.0041407867494824,0.0186335403726708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093167701863354,0.0289855072463768,0.0,0.0196687370600414,0.0,0.0,0.0,0.0010351966873706,0.0093167701863354,0.0082815734989648,0.0010351966873706,0.0041407867494824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400621118012422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,6.63327916155352e-05,0.19996020032503067,0.20277934396869052,0.0,0.0,0.0549235514576631,0.0,9.94991874233027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029186428310835457,0.0,0.07429272660939931,0.02016516865112271,0.0,0.0,0.000431163145500978,0.19200026533116651,0.0,0.0,6.63327916155351e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275281085204471,0.0,0.00285231003946801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24669165201817553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.2861706048568738,0.49617101437405337,0.0,0.0,4.09517179245669e-05,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010033170891518901,0.0,0.14505098488881568,0.020926327859453694,0.0,0.0,0.00016380687169826789,4.09517179245669e-05,0.019861583193414967,0.0,8.19034358491339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021335845038699404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.00169072701261542,0.004812069189751585,0.004421901417609573,0.0,0.0,0.0,0.00117050331642606,0.0105345298478346,0.0,0.0,0.0,0.0013005592404734,0.0,0.0,0.0,0.000520223696189361,0.0,0.0,0.00104044739237872,0.0,0.0,0.0,0.00416178956951489,0.00507218103784627,0.00013005592404734,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02065341558144848,0.39643591501028086,0.5467671921407353,0.0,0.0,0.001782042494859489,0.0,4.56933973040896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000822481151473612,0.0,0.009367146447338359,0.006351382225268448,0.0,0.0,0.0001370801919122687,0.000502627370344985,9.13867946081791e-05,0.0,0.000731094356865432,0.0,0.0,0.0,0.0,0.0,9.13867946081791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141192597669637,0.000137080191912269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964816084075849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.0,5.25513689631615e-05,0.49529665247779725,0.4507330915970362,0.0,0.0,0.024488937936833214,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105102737926323,0.00262756844815807,0.0,0.008355667665142676,0.007146986178989957,0.0,0.0,0.00047296232066845354,0.00199695202060014,0.000683167796521099,0.0,0.0002102054758526455,0.0,0.0,0.0,0.0,0.0,5.25513689631615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530768826527931,0.00036785958274213,0.0,0.000105102737926323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019444006516369716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.0,0.0203596694928984,0.5386401684938165,0.2893017227412643,0.0,0.0,0.0516822379435114,0.0,0.000216017713452503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037803099854188,0.019711616352540883,0.0,0.05751471620672897,0.001080088567262516,0.0,0.0,0.000702057568720635,0.001080088567262516,0.00178214613598315,0.0,0.001242101852351892,0.0,0.0,0.0,0.0,0.0,0.000162013285089377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033482745585138,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40044283631258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104768591024464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221418156288816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.0,0.009115488605639245,0.5033989957512555,0.3954036307454619,3.86249517188103e-05,0.0,0.00123599845500193,3.86249517188103e-05,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015449980687524132,0.01178061027423715,0.0,0.049362688296639555,0.0011973735032831212,0.0,0.0,0.000115874855156431,0.000231749710312862,0.0016608729239088401,0.0,0.00015449980687524132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00915411355735805,0.0,0.0,0.0,0.0,0.0,0.0,0.00135187331015836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000926998841251448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146002317497103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.0,0.0001299207483435105,0.5793599237798274,0.34138841973063083,0.0,0.0,0.000519682993374042,4.33069161145035e-05,0.0002165345805725175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000909445238404573,0.0,0.046944697068121745,0.021740071889480767,0.0,0.0,0.000476376077259538,0.000259841496687021,0.00272833571521372,0.0,0.002771642631328227,0.0,0.0,0.0,0.0,0.0,0.00012992074834351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212203888961067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021653458057251698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33069161145035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.00133536818008394,0.2578214421976346,0.7111312476154138,0.0,0.0,9.5383441434567e-05,0.000381533765738268,4.76917207172835e-05,0.0,0.0,0.0,9.5383441434567e-05,0.0,0.0,4.76917207172835e-05,0.0,0.0011922930179320869,0.0,0.006438382296833271,0.001526135062953071,0.0,0.0,0.000238458603586417,0.00543685616177032,0.00100152613506295,0.0,0.0006676840900419684,0.0,0.0,0.0,0.0,0.0,0.000190766882869134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118275467378863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000524608927890118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.0,0.004528172924943396,0.47293775898158813,0.49476696996881586,0.0,0.0,0.000299030287496262,0.0,8.5437224998932e-05,0.0,0.0,0.0,8.5437224998932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004400017087444998,0.012772865137340376,0.0,0.0,8.5437224998932e-05,0.0,0.00111068392498612,0.0,0.00042718612499466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00803109914989961,0.0,0.0,4.2718612499466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042718612499466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.0,0.03931455296137966,0.32248163981146594,0.578720450144324,0.0,0.0,0.000657678395264716,0.0,3.65376886258175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000109613065877453,0.001023055281522891,0.0,0.03467426650590084,0.002374949760678141,0.0,0.0,0.0002192261317549051,0.00189995980854251,0.000694216083890533,0.0,0.00029230150900654,0.0,0.0,0.0,0.0,0.0,3.65376886258175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00847674376118967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65376886258175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008951733713325298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.0,0.1358024691358025,0.037037037037037,0.0,0.0,0.0,0.0,0.0864197530864197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206726",0.0,0.0,0.5385130049343477,0.42414485238772254,0.0,0.0,0.000209082545789078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000209082545789078,0.0,0.0132558334030275,0.007359705611775526,0.0,0.0,0.000167266036631262,0.00899054946893033,0.000543614619051602,0.0,0.00020908254578907748,0.0,0.0,0.0,0.0,0.0,4.18165091578155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000669064146525048,0.000125449527473447,0.0,0.000585431128209417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004976164589780046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",3.8099592334362e-05,0.06690288413913972,0.550462910046863,0.29028079399550444,0.0,0.0,0.00121918695469958,0.0,3.8099592334362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000647693069684154,0.00057149388501543,0.0,0.003543262087095666,0.006705528250847714,0.0,0.0,7.6199184668724e-05,0.0240408427629824,0.000114298777003086,0.0,0.000266697146340534,0.0,0.0,0.0,0.0,0.0,3.8099592334362e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00906770297557816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04598620794757495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.0,0.000134625740441572,0.22051696284329575,0.2660204631125472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091007,0.0,0.0,0.0,0.005115778136779747,0.0,0.000673128702207862,0.011443187937533659,0.0,0.0,0.000673128702207862,0.00188476036618201,0.00175013462574044,0.0,0.000269251480883145,0.0,0.0,0.0,0.0,0.0,0.000134625740441572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053850296176629,0.0,0.0,0.0,0.0,0.000134625740441572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488556812062466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.015073009891662785,0.37524086841091087,0.5619834710743804,0.0,0.0,0.002697726202201,8.56421016571747e-05,0.0,0.0,0.0,0.0,4.28210508285873e-05,0.0,0.0,0.0,8.56421016571747e-05,8.56421016571747e-05,0.0,0.014987367790005588,0.004496210337001673,0.0,0.0,8.56421016571746e-05,0.000342568406628699,0.0144735151800625,0.0,0.00042821050828587367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00616623131931657,4.28210508285873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28210508285873e-05,0.0,0.0,0.002697726202200999,0.0,8.56421016571747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000856421016571747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
