"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Chloroflexi","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Fibrobacteres","Tenericutes","Spirochaetae","Cyanobacteria","Synergistetes","Nitrospirae","Planctomycetes","WSA2","Chlorobi","Tectomicrobia","Lentisphaerae","Euryarchaeota","Parcubacteria","Armatimonadetes","Gemmatimonadetes","Latescibacteria","Elusimicrobia"
"X206695",0.4585921325051756,0.3136645962732918,0.13871635610765998,0.025879917184265,0.0,0.0,0.0010351966873706,0.0093167701863354,0.0010351966873706,0.0,0.0,0.0,0.05175983436853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.3073861563463902,0.29776790156213717,0.20277934396869052,6.63327916155351e-05,0.0,0.0,0.0,0.19200026533116651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.021499651910397672,0.4623448953683603,0.49617101437405337,0.0199434866292641,0.0,0.0,0.0,4.09517179245669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.9768500455195731,0.010014306151645194,0.005722460658082972,0.0018207829366627612,0.0,0.0,0.0,0.00507218103784627,0.000520223696189361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.03870230751656388,0.4131140050262736,0.5467671921407353,0.0009138679460817902,0.0,0.0,0.0,0.000502627370344985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.03231909191234427,0.5138998370907563,0.4507330915970362,0.001051027379263229,0.0,0.0,0.0,0.00199695202060014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206704",0.08619106766754876,0.6176486471890693,0.2893017227412643,0.003564292271966299,0.0,0.0,0.00221418156288816,0.001080088567262516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206753",0.020509849362688296,0.5658555426805717,0.3954036307454619,0.0020084974893781328,0.0,0.0,0.0146002317497103,0.000231749710312862,0.0,0.0,0.00135187331015836,0.0,3.86249517188103e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206711",0.003204711792473257,0.649430514053094,0.34138841973063083,0.005673206010999961,0.0,0.0,4.33069161145035e-05,0.000259841496687021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.013878290728729491,0.2672167111789394,0.7112266310568484,0.0022415108737123203,0.0,0.0,0.0,0.00543685616177032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206719",0.013413644324832327,0.49019607843137253,0.4948524071938148,0.00153787004998078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.05747378420841098,0.36077313749132284,0.578720450144324,0.0011326683474003434,0.0,0.0,0.0,0.00189995980854251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.8148148148148147,0.1481481481481482,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206726",0.0065651919377770354,0.5595048925315711,0.42414485238772254,0.000794513673998495,0.0,0.0,0.0,0.00899054946893033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.12325218120166113,0.5613593934544905,0.29028079399550444,0.001066788585362136,0.0,0.0,0.0,0.0240408427629824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206730",0.48976844372644013,0.23842218632202483,0.2669628432956382,0.0021540118470651567,0.00053850296176629,0.0,0.0,0.00188476036618201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269251480883145,0.0
