OTU,LDA_score,CLass
Mogibacterium,2.659726372834127,CD
Blastocatellaceae_Subgroup_4_,2.78493116527791,UC
Blastocatellales,2.8158383197489054,UC
Blastocatellia,2.8243402909289865,UC
Cellulomonadaceae,3.482074985736503,UC
Cellulomonas,3.5180908068211654,UC
Atopobium,3.9180507428857605,UC
Lawsonella,4.019859191968828,UC
Candidatus_Soleaferrea,4.1743637401244555,UC
Thermoleophilia,4.396624173841673,UC
Frankiales,4.613991627512404,UC
Blastococcus,4.649684619314137,UC
Geodermatophilaceae,4.65243431432544,UC
Fastidiosipila,5.005924742019374,UC
Carnobacteriaceae,5.141017038232563,UC
Granulicatella,5.143063065079976,UC
Holdemania,5.192180832758706,UC
Family_XIII_AD3011_group,5.337705123496735,UC
Ruminococcaceae_UCG_005,5.515479678951668,UC
Ruminococcaceae_UCG_004,5.5558613940868735,UC
Ruminococcaceae_UCG_013,5.624072583882849,UC
Corynebacterium,5.646340562689956,UC
Corynebacteriaceae,5.656245539697146,UC
Corynebacteriales,5.656245599203915,UC
Flavobacteriia,5.682114016330163,UC
Flavobacteriaceae,5.68211409437274,UC
Flavobacteriales,5.682114156923083,UC
Cloacibacterium,5.6850860048649805,UC
Collinsella,5.738972986430565,UC
Coriobacteriales,5.756198560170176,UC
Coriobacteriaceae,5.756238790329375,UC
Coriobacteriia,5.7563501123380325,UC
Ruminococcus,6.024357770169118,UC
Butyricicoccus,6.035575767398066,UC
Dorea,6.33363927352433,UC
Parasutterella,6.3381398228832015,UC
Coprococcus,6.369007236854887,UC
f__Eubacterium_coprostanoligenes_group,6.386001579780039,UC
Bifidobacteriales,6.424029613763891,UC
Bifidobacteriaceae,6.42430193001746,UC
Bifidobacterium,6.424511222054171,UC
Actinobacteria,6.507707769628715,UC
Christensenellaceae,6.6517148062178215,UC
f__Eubacterium_hallii_group,6.656064293220843,UC
Christensenellaceae_R_7_group,6.662322031019715,UC
Rikenellaceae,7.041673232350004,UC
Alistipes,7.041733759664153,UC
f__Eubacterium_rectale_group,7.5986931768901025,UC
Defluviitaleaceae_UCG_011,3.6824290782248106,nonIBD
Defluviitaleaceae,3.734475066120782,nonIBD
Candidatus_Stoquefichus,4.0221515326032815,nonIBD
Rhizobiales,5.200574482979746,nonIBD
Lachnospiraceae_ND3007_group,5.250019003757533,nonIBD
Romboutsia,5.310044604472721,nonIBD
f__Eubacterium_xylanophilum_group,5.554954656756827,nonIBD
f__Eubacterium_ventriosum_group,5.619020400261078,nonIBD
Ruminococcaceae_NK4A214_group,5.727228513170656,nonIBD
f__Eubacterium_eligens_group,5.963049030951279,nonIBD
Verrucomicrobiae,6.264439546438752,nonIBD
Akkermansia,6.264439594727418,nonIBD
Verrucomicrobiales,6.264439627201812,nonIBD
Verrucomicrobia,6.264439666960889,nonIBD
Verrucomicrobiaceae,6.264439811511836,nonIBD
Prevotella,6.340463021956562,nonIBD
Intestinibacter,6.45793314959826,nonIBD
Peptostreptococcaceae,6.484655290422444,nonIBD
Fusicatenibacter,6.51889522607596,nonIBD
Ruminiclostridium,6.566149224078033,nonIBD
Roseburia,6.6103878312639806,nonIBD
Parabacteroides,6.650511926806101,nonIBD
Porphyromonadaceae,6.88070758187402,nonIBD
Lachnospiraceae_NK4A136_group,6.8915684177180285,nonIBD
Lachnospira,6.9229131142430145,nonIBD
Alcaligenaceae,7.192144177486174,nonIBD
Betaproteobacteria,7.205592112487724,nonIBD
Burkholderiales,7.20768886686202,nonIBD
Anaerostipes,7.353971099457987,nonIBD
Faecalibacterium,8.300425541613665,nonIBD
Ruminococcaceae,8.328435744647571,nonIBD
