"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","Moraxella","uncultured","Pseudomonas","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Thermus","Sphingobacterium","Collinsella","Bacteroides","Porphyromonas","Prevotellaceae_UCG_003","Hydrogenoanaerobacterium","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Leuconostoc","Alistipes","Opitutus","Howardella","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Gordonibacter","Butyricimonas","Rothia","Solobacterium","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Brochothrix","Jonquetella","Atopobium","Coprobacter","Methylobacterium","0319_6A21(family)","Scardovia","Lachnoanaerobaculum","Altererythrobacter","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Anaeroglobus","Erysipelatoclostridium","Parasutterella","Gelria","Chitinophagaceae(family)","Faecalicoccus","Cloacibacillus","Alloprevotella","Roseomonas","vadinBE97(family)","Megasphaera","Dorea","Fastidiosipila","Paenibacillus","_Eubacterium_coprostanoligenes_group","Nocardioides","Motilibacter","Zimmermannella","Eikenella","Hydrotalea","Victivallis","Caulobacter","Geobacter","Knoellia","Ruminococcaceae_UCG_002","Barnesiella","Rhodanobacter","Shewanella","uncultured(family)","Lachnospiraceae(family)","Candidatus_Falkowbacteria(class)","Parvimonas","Lactococcus","Oribacterium","Rhodococcus","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Siphonobacter","Blastococcus","Dialister","Anaerofilum","Pyramidobacter","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Peredibacter","Lachnospira","Lachnoclostridium","Kingella","Sellimonas","Cloacibacterium","Haemophilus","Petrimonas","Cyanobacteria(phylum)","Aerococcus","Morganella","ABS_19(family)","Aggregatibacter","Eubacterium","Stenotrophomonas","Skermanella","Hydrogenispora","Enterorhabdus","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Stomatobaculum","Parabacteroides","Ezakiella","Solirubrobacter","Turicibacter","Finegoldia","Fusicatenibacter","Mogibacterium","Dielma","Moryella","Catenibacterium","Adlercreutzia","Shuttleworthia","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Rikenella","Bilophila","Ruminococcaceae_UCG_005","Proteiniclasticum","Chroococcidiopsis","Sphingobium","Modestobacter","Clostridium_sensu_stricto","Propionibacterium","Aquamicrobium","Christensenella","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Acidisphaera","Erythrobacter","Devosia","Rubellimicrobium","Lachnospiraceae_UCG_010","_Eubacterium_ventriosum_group","Holdemania","Holdemanella","Escherichia_Shigella","_Ruminococcus_gnavus_group","Arthrobacter","Epulopiscium","Micrococcus","_Eubacterium_eligens_group","Brachybacterium","Lawsonella","Erysipelotrichaceae_UCG_003"
"X206615",0.0,0.0,0.0,0.0,0.0,0.003616980772891681,0.001142204454597373,0.0,0.003807348181991243,0.0020940415000951836,0.0,0.0,0.0,0.023415191319246145,0.0,0.0,0.0,0.0007614696363982486,0.0,0.0,0.0,0.007233961545783362,0.0,0.0,0.0,0.0,0.07272035027603274,0.0,0.0,0.0,0.0,0.0,0.0,0.36245954692556637,0.0,0.0,0.0,0.004759185227489054,0.0007614696363982486,0.0,0.0,0.03350466400152294,0.0,0.0,0.0,0.0,0.0,0.003997715591090805,0.0,0.010279840091376356,0.0,0.002284408909194746,0.0,0.0003807348181991243,0.0,0.006853226727584237,0.0,0.0,0.0,0.0,0.00019036740909956216,0.0020940415000951836,0.0,0.0003807348181991243,0.0,0.0,0.0,0.0,0.0,0.0003807348181991243,0.0,0.0,0.0,0.0,0.0,0.0,0.0034266133637921186,0.008376166000380734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02379592613744527,0.0,0.0,0.002284408909194746,0.0,0.0,0.0007614696363982486,0.0,0.0,0.0,0.0,0.0,0.0,0.0030458785455929945,0.0,0.0,0.0009518370454978108,0.0,0.0,0.0,0.0009518370454978108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001142204454597373,0.0,0.0,0.0,0.0,0.001332571863696935,0.0,0.01066057490957548,0.0,0.0005711022272986865,0.0,0.0,0.06053683609366076,0.0,0.0,0.0,0.00019036740909956216,0.0034266133637921186,0.0,0.0,0.0,0.0007614696363982486,0.06453455168475157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003997715591090805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003616980772891681,0.0,0.0,0.0,0.0,0.00019036740909956216,0.0,0.0,0.0015229392727964973,0.024938130592042643,0.0,0.0,0.0,0.0,0.0,0.0,0.0009518370454978108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18446601941747573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019798210546354465,0.030649152865029505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206619",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006211180124223603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007453416149068323,0.0012422360248447205,0.008074534161490683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027950310559006213,0.0,0.0,0.0,0.0,0.0,0.002484472049689441,0.45248447204968945,0.0,0.0,0.0,0.0027950310559006213,0.0,0.0,0.0,0.0018633540372670807,0.0,0.0,0.00031055900621118014,0.0,0.0,0.0034161490683229812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03695652173913044,0.0,0.0,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012422360248447205,0.0,0.0,0.0,0.0,0.0670807453416149,0.0,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.1922360248447205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04472049689440994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038198757763975154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521739130434782,0.09565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206646",0.0,0.02088363620959885,8.472063371034016e-05,0.0005930444359723811,0.006608209429406532,0.006989452281103063,0.00033888253484136064,0.0,0.005930444359723811,4.236031685517008e-05,0.00012708095056551024,8.472063371034016e-05,0.0013978904562206124,0.1776591688905833,0.0,0.0,0.0,0.00046596348540687085,0.0,0.002287457110179184,8.472063371034016e-05,8.472063371034016e-05,0.00021180158427585037,0.0,0.0,0.003727707883254967,0.03761596136739103,0.0,0.0,0.0,0.0,0.0,0.001059007921379252,0.29880967509636974,8.472063371034016e-05,0.0,0.0,0.002922861863006735,0.0003812428516965307,0.0006354047528275512,0.0,0.0,0.0023721777438895243,0.0,0.03897149150675647,0.0,0.0,0.00029652221798619053,0.002838141229296395,0.06760706570085144,0.020163510823060955,0.003812428516965307,0.0,4.236031685517008e-05,8.472063371034016e-05,8.472063371034016e-05,0.00033888253484136064,0.00021180158427585037,0.0006354047528275512,4.236031685517008e-05,0.019485745753378234,0.0003812428516965307,0.0,0.0012708095056551023,0.00021180158427585037,4.236031685517008e-05,0.0,0.0,0.001101368238234422,0.0003812428516965307,0.0,0.0,0.0,0.0,4.236031685517008e-05,0.0,0.0,0.00576100309230313,0.0,0.0,0.00012708095056551024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029652221798619053,0.0,0.0,0.000550684119117211,8.472063371034016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029652221798619053,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007074172914813403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012708095056551024,0.0,0.0,0.07934087346973355,0.0,0.0,0.0,4.236031685517008e-05,0.025162028211971027,0.0,0.0,0.0,0.0,0.048756724700300756,0.00016944126742068032,8.472063371034016e-05,0.0,0.007497776083365103,0.004363112636082518,0.0,0.0009742872876689118,0.0,0.00016944126742068032,0.0,0.0,8.472063371034016e-05,0.0,0.0,4.236031685517008e-05,0.0003812428516965307,0.0,0.0,0.0,0.0,0.00033888253484136064,0.0,4.236031685517008e-05,0.0,0.0,0.0,0.0,0.0002541619011310205,0.00012708095056551024,0.007667217350785784,0.0,0.0,0.0,0.0,4.236031685517008e-05,4.236031685517008e-05,0.0,4.236031685517008e-05,0.000508323802262041,0.0,0.0,8.472063371034016e-05,0.0027534205955860548,0.0,4.236031685517008e-05,0.018638539416274833,0.0,8.472063371034016e-05,0.00012708095056551024,0.0,0.00021180158427585037,0.0,0.0,0.00012708095056551024,8.472063371034016e-05,0.03689583598085314,0.0,0.0,0.00012708095056551024,0.0,0.0,0.0,0.0017791333079171432,0.00021180158427585037,0.0,0.006311687211420341,0.0,0.0,0.0,0.0,0.009954674460964968,0.0,0.0,0.0
"X206648",0.0,0.0,0.0002933411557641537,0.0,0.0,0.004517453798767967,0.0,0.0,0.016309768260486947,0.0,0.0,0.0,0.0,0.14356116163097682,0.0,0.0,0.07685538281020828,0.0,0.0,0.0,0.0,0.0010560281607509534,0.0,0.0,0.0,0.0,0.007392197125256674,0.0,0.0,0.0,0.0,0.0,0.0002933411557641537,0.332414197711939,0.0,0.0,0.0,0.004400117336462305,0.0005280140803754767,0.0,0.0,0.004165444411850983,0.0006453505426811381,0.0,0.016837782340862424,0.0,0.0,0.0,0.0,0.020768553828102082,0.0,0.0037547667937811676,0.0,0.0,0.0,5.8668231152830744e-05,0.0,0.0,0.028102082722205924,0.0,0.0008800234672924611,0.0003520093869169845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046934584922264595,0.0,0.0,0.0,0.0004106776180698152,0.0,0.0,0.0,0.0,0.0,0.009152244059841596,0.0,0.0,0.0618363156350836,0.0,0.00023467292461132298,0.0025227339395717217,0.00944558521560575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019360516280434144,0.0,0.0,0.0005866823115283074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017600469345849222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004458785567615136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8668231152830744e-05,0.0078028747433264885,0.00017600469345849224,0.0,0.00017600469345849224,0.0012320328542094457,0.04071575242006453,0.0,0.0,0.0,0.00011733646230566149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008213552361396304,0.0,0.0,0.0,0.0006453505426811381,0.0005280140803754767,0.0,0.0,0.0,0.001349369316515107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002757406864183045,0.0,0.0,0.0,0.0,0.0,0.014901730712819009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0740393077148724,0.0,0.0,0.0,0.0,0.0,0.0,5.8668231152830744e-05,0.000704018773833969,0.027163391023760634,0.0015253740099735993,0.0673511293634497,0.0,0.0,0.0,0.0004106776180698152,0.0,0.0,0.0014667057788207685
"X206656",0.000576036866359447,0.0,0.002880184331797235,0.010944700460829493,0.0,0.08064516129032258,0.0,0.0,0.08237327188940093,0.0,0.0,0.0,0.0,0.09850230414746544,0.0,0.0,0.000576036866359447,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.005184331797235023,0.0,0.002304147465437788,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0017281105990783411,0.18029953917050692,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.019009216589861752,0.0,0.06221198156682028,0.0,0.0,0.0293778801843318,0.0,0.022465437788018433,0.03341013824884793,0.005184331797235023,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.00576036866359447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016705069124423964,0.002880184331797235,0.0,0.0,0.0,0.0,0.0,0.0,0.00576036866359447,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.010944700460829493,0.0,0.0,0.0,0.0069124423963133645,0.0017281105990783411,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01555299539170507,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.000576036866359447,0.0,0.0,0.0,0.0,0.000576036866359447,0.0,0.0,0.0,0.0,0.002880184331797235,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.008640552995391706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014976958525345621,0.0,0.0,0.0,0.0,0.000576036866359447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.001152073732718894,0.0,0.0,0.0,0.0,0.002880184331797235,0.01728110599078341,0.005184331797235023,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.06624423963133641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06566820276497695,0.01728110599078341,0.02131336405529954,0.0,0.0,0.0,0.002304147465437788,0.0,0.0,0.00576036866359447
"X206660",0.0,0.0,0.15090078787574648,0.0,0.0,0.0007025643599136849,0.0,0.0,0.043558990314648466,0.0,0.0,0.0,0.0,0.0004014653485221057,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0003010990113915793,0.0,0.0,0.0009032970341747378,0.0,0.00025091584282631606,0.0,0.0,0.0,0.0,0.0,0.0,0.21638982285341496,0.00020073267426105285,0.0,0.0,0.00015054950569578964,0.00015054950569578964,0.0,0.0,0.0022582425854368446,0.0,0.0,0.028253123902243188,0.0,0.0,0.019671802077583178,0.0004516485170873689,0.00015054950569578964,0.0,0.02328499021428213,0.0,0.0,5.018316856526321e-05,0.0,0.00010036633713052642,0.0,0.012545792141315803,0.00025091584282631606,5.018316856526321e-05,0.0,0.0,0.0003010990113915793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003061173282481056,0.0,0.0,0.0011542128770010538,0.008079490139007377,0.002107693079741055,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02980880212776635,0.0,0.0,0.00035128217995684247,0.0,0.0,0.0,0.03588096552416319,0.0,0.0,0.0,0.002208059416871581,0.0,0.0,0.0,0.10006523811913484,0.0,0.0004014653485221057,0.0,0.0007527475284789481,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.00020073267426105285,0.0,0.0,0.0,0.0,0.00035128217995684247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020073267426105284,0.0,0.0,0.0,0.0,0.002910623776785266,0.0,5.018316856526321e-05,0.0,0.00010036633713052642,0.0,0.1482912631103528,0.0,0.0,0.0011542128770010538,0.099713955939178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010036633713052642,0.0,5.018316856526321e-05,0.0,0.005419782205048427,0.0004014653485221057,0.0,0.0,0.0,0.0010538465398705274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.005219049530787374,0.0,0.0,0.0,0.0,0.0,0.0075776584533547445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010889747578662116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.011542128770010538,0.008731871330355799,0.0,0.0,0.0,5.018316856526321e-05,0.0,5.018316856526321e-05,0.0
"X206668",0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.042692939244663386,0.0,0.009852216748768473,0.026272577996715927,0.0016420361247947454,0.0,0.0,0.003284072249589491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.3842364532019704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021346469622331693,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06732348111658457,0.0,0.0,0.0,0.029556650246305417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22495894909688013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009852216748768473,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.014778325123152709,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.054187192118226604,0.0,0.0,0.0,0.0
"X206672",0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0001762269803506917,0.0,0.0,0.0,0.0,0.0003524539607013834,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.014714952859282756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4931712045114107,0.0,0.0,0.0,0.0,0.0042294475284166,0.007665873645255088,0.0,0.00467001497929333,0.0,0.0,0.0,0.0,0.0,0.014714952859282756,0.0002643404705260375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.0,0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007049079214027668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643404705260375,8.811349017534584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.013921931447704644,0.0001762269803506917,0.0,0.0,0.0002643404705260375,0.010485505330866155,0.0,0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0,0.0,0.057538109084500834,0.0,0.0,0.0,0.008106441096131818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.0,0.009251916468411314,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013217023526301878,0.0,0.0,0.0,0.0,8.811349017534584e-05,0.0,0.0,0.0,0.0007930214115781126,0.013657590977178606,0.0,0.0002643404705260375,0.0,0.0,0.0013217023526301878,0.0,0.0001762269803506917,0.0,0.0007930214115781126,0.0,0.0,0.0,0.0,0.0,0.24592475107939024,0.09040444091990484,0.0,0.0,0.000528680941052075,0.0,0.0,0.0,0.0
"X206673",0.0,0.0005584252408208851,0.0,0.001186653636744381,0.0,0.00432779561636186,0.00020940946530783192,0.0,0.00991204802457071,6.980315510261064e-05,0.0,0.0,0.0008376378612313277,0.11671087533156499,0.0,0.0,0.0,0.0016054725673600447,0.0,0.0004886220857182745,0.0,0.0,0.0,0.0,0.0,0.0,0.018916655032807483,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.39389920424403185,0.0,0.0,0.0,0.0016054725673600447,0.008097165991902834,0.006980315510261063,0.0,0.00041881893061566385,0.0017450788775652658,0.0,0.0,0.0,0.0,0.0,0.0003490157755130532,0.010470473265391595,0.004118386151054028,0.0006980315510261064,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.03518079017171576,0.0,0.0010470473265391596,0.00020940946530783192,0.0,0.0012564567918469914,0.0,0.0,0.0,0.00041881893061566385,0.0,0.011657126902135977,0.00013960631020522128,0.0,0.0,0.0,0.0,0.0,0.0,0.005305039787798408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007538740751081949,0.0,0.00013960631020522128,0.0,0.0,0.0,0.00013960631020522128,0.026455395783889432,0.0,0.0,0.0008376378612313277,0.0,0.0,0.0,0.0,0.0,0.00649169342454279,0.0,0.0,0.0006282283959234957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007259528130671506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.01095909535110987,0.0,0.0,0.0,0.0,0.0,0.00027921262041044257,0.0,0.0,0.00041881893061566385,0.0036995672204383637,0.01856763925729443,0.0,0.0,0.0,0.003978779840848806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013960631020522128,6.980315510261064e-05,0.0,0.0,0.0,0.0004886220857182745,0.0,6.980315510261064e-05,0.0,0.07950579366187352,0.0,0.0,0.0,0.0,0.00432779561636186,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.07720228954348736,0.0017450788775652658,0.0,0.0014658662571548234,0.0,0.00013960631020522128,0.0,0.0,0.0025129135836939828,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.07301410023733072,0.00027921262041044257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004886220857182745,0.020871143375680582,0.0,0.0,0.0,0.005165433477593187,0.0,0.0,0.005374842942901019
"X206682",0.007334963325183374,0.0,0.004889975550122249,0.0,0.0,0.019559902200488997,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.1491442542787286,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10757946210268948,0.0,0.0,0.0,0.0,0.0,0.012224938875305624,0.05134474327628362,0.009779951100244499,0.0,0.0,0.0,0.04156479217603912,0.0,0.0,0.0,0.0,0.0,0.007334963325183374,0.02444987775061125,0.0,0.0,0.004889975550122249,0.16381418092909536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559902200488997,0.0,0.0,0.0,0.0,0.1271393643031785,0.0,0.0,0.0,0.0,0.03178484107579462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07090464547677261,0.0,0.0,0.0,0.0,0.0,0.0,0.02444987775061125,0.0,0.0,0.022004889975550123,0.02444987775061125,0.0,0.0,0.0,0.0,0.0,0.009779951100244499,0.004889975550122249
