Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.815580596721458,0,-0.03306917794414779,0.08251094103589869
2,0.766776052812999,0.0901313053261724,-0.07502275760225269,0.05344548640685858
3,0.659530523883376,0,0.03172355147931126,0.13236275462941433
4,0.893263639977178,0,-0.023333793181405497,0.08320552647715647
5,0.867729379172013,0.104163938007969,-0.030709573224303233,0.07696975325108057
6,0.858146179672687,0.104770683050288,-0.04536383239440107,0.08719819966682936
7,0.996382432047672,0.00313290574663247,-0.030286520770046878,0.06506459186634225
8,0.773890576791717,0,-0.01852447291458745,0.09007871461750085
9,0.81582009553367,0.124316986636013,-0.044573043488351935,0.09421501491683966
10,0.99371553007428,0.00544251060499282,-0.016099154315646833,0.07195020795189644
11,0.974907532862063,0.0217307139850799,-0.009198700983277991,0.0791029925932184
12,0.835225804871494,0.103571440052853,-0.01838745405910949,0.099574957594848
Averages,0.8542473620350507,0.046438373617500056,-0.026070410783184967,0.08463992841732364
