"","x"
"1","Christensenellaceae"
"2","Moraxellaceae"
"3","Sphingomonadaceae"
"4","Alcaligenaceae"
"5","Burkholderiaceae"
"6","Opitutaceae"
"7","Fusobacteriaceae"
"8","Bifidobacteriaceae"
"9","Desulfovibrionaceae"
"10","Synergistaceae"
"11","Mollicutes_RF9(order)"
"12","Bacteroidales_S24_7_group"
"13","Desulfurellaceae"
"14","Chitinophagaceae"
"15","Streptosporangiales_Incertae_Sedis"
"16","Candidatus_Falkowbacteria(class)"
"17","Cyanobacteria(phylum)"
"18","Enterobacteriaceae"
"19","ABS_19"
"20","Verrucomicrobiaceae"
"21","Propionibacteriaceae"
"22","Dermabacteraceae"
