"","x"
"1","Rhodobacteraceae"
"2","Alcaligenaceae"
"3","Streptococcaceae"
"4","Bifidobacteriaceae"
"5","Aerococcaceae"
"6","Oxalobacteraceae"
"7","Gastranaerophilales(order)"
"8","Desulfovibrionaceae"
"9","Blastocatellaceae_Subgroup_4_"
"10","Synergistaceae"
"11","Mollicutes_RF9(order)"
"12","Desulfurellaceae"
"13","vadinBE97"
"14","Caulobacteraceae"
"15","Geobacteraceae"
"16","Candidatus_Falkowbacteria(class)"
"17","Nocardiaceae"
"18","Chloroplast(class)"
"19","Geodermatophilaceae"
"20","Enterobacteriaceae"
"21","Heliobacteriaceae"
"22","Methanobacteriaceae"
