"","x"
"1","Sphingomonas"
"2","Ruminococcaceae_UCG_010"
"3","Paraprevotella"
"4","Opitutus"
"5","Microbacter"
"6","Blastocatella"
"7","Brochothrix"
"8","Atopobium"
"9","Mollicutes_RF9(order)"
"10","Altererythrobacter"
"11","Bacteroidales_S24_7_group(family)"
"12","H16"
"13","Enhydrobacter"
"14","Parasutterella"
"15","Chitinophagaceae(family)"
"16","Cloacibacillus"
"17","Selenomonas"
"18","Rhodanobacter"
"19","Peredibacter"
"20","_Eubacterium_yurii_group"
"21","Cyanobacteria(phylum)"
"22","Aerococcus"
"23","Morganella"
"24","Enterorhabdus"
"25","Turicibacter"
"26","Prevotellaceae_NK3B31_group"
"27","Shuttleworthia"
"28","Rikenella"
"29","Slackia"
"30","Rubellimicrobium"
"31","_Ruminococcus_gnavus_group"
"32","Oligoflexaceae(family)"
"33","Lacibacter"
