"","x"
"1","Paracoccus"
"2","Moraxella"
"3","Pseudomonas"
"4","Ruminococcaceae_UCG_010"
"5","Ruminococcaceae_UCG_003"
"6","Paraprevotella"
"7","Leuconostoc"
"8","Microbacter"
"9","Blastocatella"
"10","Atopobium"
"11","Mollicutes_RF9(order)"
"12","Altererythrobacter"
"13","Enhydrobacter"
"14","Gelria"
"15","Faecalicoccus"
"16","Selenomonas"
"17","Paenibacillus"
"18","Nocardioides"
"19","Candidatus_Falkowbacteria(class)"
"20","Rhodococcus"
"21","Acidaminococcus"
"22","Lachnoclostridium"
"23","_Eubacterium_yurii_group"
"24","Stomatobaculum"
"25","Allisonella"
"26","Weissella"
"27","Shuttleworthia"
"28","_Ruminococcus_gnavus_group"
"29","Lawsonella"
"30","Lacibacter"
