"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","Pseudomonas","Mucilaginibacter","Sphingomonas","Lactobacillus","uncultured","Oscillibacter","Faecalibacterium","Hungatella","Sutterella","Veillonella","Chryseobacterium","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Gemella","Leptotrichia","Thermus","Sphingobacterium","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","_Eubacterium_xylanophilum_group","Microbacter","Lachnospiraceae_NK4A136_group","Peptococcus","Butyricimonas","Rothia","Solobacterium","Desulfovibrio","Formivibrio","Ruminococcaceae_UCG_013","Blastocatella","Atopobium","Coprobacter","Methylobacterium","Mollicutes_RF9(order)","Scardovia","Lachnoanaerobaculum","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","H16","Enhydrobacter","Erysipelatoclostridium","Parasutterella","Alloprevotella","Roseomonas","Selenomonas","Megasphaera","Dorea","Fastidiosipila","Paenibacillus","_Eubacterium_coprostanoligenes_group","Nocardioides","Eikenella","Rhizobium","Fluviicola","env_OPS_17(family)","Ruminococcaceae_UCG_002","Barnesiella","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Dialister","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Acidaminococcus","Campylobacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","_Eubacterium_yurii_group","X35(order)","Aggregatibacter","Stenotrophomonas","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Parabacteroides","Proteiniphilum","Allisonella","Turicibacter","Finegoldia","Bacillus","Fusicatenibacter","Mogibacterium","Dielma","Prevotellaceae_NK3B31_group","Catenibacterium","Weissella","Adlercreutzia","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Adhaeribacter","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Proteiniclasticum","Sphingobium","Methanobrevibacter","Facklamia","Clostridium_sensu_stricto","Peptoniphilus","_Eubacterium_rectale_group","Succiniclasticum","Erythrobacter","Lachnospiraceae_UCG_010","_Eubacterium_ventriosum_group","Holdemania","Escherichia_Shigella","_Ruminococcus_gnavus_group","Acetanaerobacterium","Epulopiscium","Micrococcus","Oligoflexaceae(family)","_Eubacterium_eligens_group","Lawsonella","Erysipelotrichaceae_UCG_003","Lacibacter"
"X206695",0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.004140786749482402,0.0010351966873706005,0.0,0.0,0.0,0.018633540372670808,0.0,0.08385093167701864,0.0,0.0,0.003105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.12836438923395446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.008281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.017598343685300208,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015527950310559006,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.015527950310559006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.028985507246376812,0.0,0.0,0.06832298136645963,0.051759834368530024,0.0,0.0010351966873706005,0.0,0.0010351966873706005,0.002070393374741201,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.004140786749482402,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027950310559006212,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.032091097308488616,0.0,0.0,0.009316770186335404,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,0.0,6.633279161553514e-05,0.0,0.0,0.00023216477065437298,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0009618254784252595,0.0,0.00016583197903883784,0.00016583197903883784,3.316639580776757e-05,0.03834035355377931,0.0,0.0,0.0,0.0034161387682000595,0.0,0.0,3.316639580776757e-05,0.0,0.0004974959371165135,0.0,0.00029849756226990815,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.20271301117707538,0.0,0.0,0.0025869788730058705,0.0,0.0038141355178932706,0.0,0.0,0.0,0.19193393253955093,0.0,0.0007296607077708865,0.0,0.0,3.316639580776757e-05,0.0,0.0,3.316639580776757e-05,0.005804119266359324,0.0,0.0,6.633279161553514e-05,0.0,0.004245298663394249,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012503731219528373,3.316639580776757e-05,0.0,0.0,0.0039468011011243405,0.016317866737421645,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,3.316639580776757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0018241517694272164,0.0,0.0,0.015256542071573082,0.0,0.00013266558323107028,0.001691486186196146,0.0,0.002852310039468011,0.0,0.02514012802228782,0.0,0.0,0.04384597525786873,0.0,0.0,0.011077576199794369,0.0,0.0,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316639580776757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.016284700341613875,0.0,0.00029849756226990815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026964279791715035,0.0,0.04875460183741833,0.0,0.0,0.0,0.0,0.0,0.24662531922655964,0.06629962521972738,0.0,0.0008291598951941893,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0045865924075514965,0.0,0.00040951717924566934,0.0,0.0,0.12383799500389041,0.0,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,0.0,0.025471968549080633,0.0,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,0.49563864204103364,8.190343584913388e-05,0.0,0.004177075228305827,0.0,0.00962365371227323,0.00016380687169826775,0.0,8.190343584913388e-05,4.095171792456694e-05,0.019820631475490395,0.011794094762275277,0.0,0.00020475858962283467,8.190343584913388e-05,0.0,0.0,0.0,0.0,0.0,0.07174740980384127,8.190343584913388e-05,0.0,0.012244563659445514,0.0,0.0,0.0,0.00020475858962283467,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.014251197837749294,0.0,0.0,0.0,0.008599860764159056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003685654613211024,0.0,0.0,0.0,0.0,0.0,8.190343584913388e-05,0.0001228551537737008,0.0,0.0,0.0,0.0,0.0,8.190343584913388e-05,0.0,0.0,0.017691142143412917,0.0,4.095171792456694e-05,0.05266390925099308,0.0,4.095171792456694e-05,0.0,0.007207502354723781,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0010647446660387403,0.0,0.0,0.0,0.0,0.0,0.0,0.0033989925877390558,0.0,0.0,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.001310454973586142,8.190343584913388e-05,0.005733240509439371,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.002498054793398583,0.0,0.04258978664154961,0.0,0.0,0.00016380687169826775,0.0,0.0,0.020230148654736067,0.04078791105286867,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0
"X206701",0.0016907270126154247,0.0,0.0007803355442840422,0.0,0.0,0.0,0.0011705033164260631,0.010534529847834569,0.0,0.0,0.0,0.0,0.0,0.001430615164520744,0.0,0.0,0.001040447392378723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0036415658733255298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005072181037846274,0.00013005592404734037,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026011184809468074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002601118480946807,0.0016907270126154247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003901677721420211,0.0,0.0,0.0,0.0,0.0015606710885680843,0.0,0.0,0.0,0.0,0.0,0.0,0.0013005592404734035,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0006502796202367018,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638444531148394,0.0007803355442840422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",9.138679460817912e-05,0.0,0.0002284669865204478,4.569339730408956e-05,0.0,0.0035640849897189855,0.0,4.569339730408956e-05,0.0,0.0,0.00018277358921635825,0.00616860863605209,0.0,0.23792551976239434,0.0,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052090472926662095,0.0018734292894676719,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0,0.0003655471784327165,0.5333333333333333,0.00031985378112862694,0.001142334932602239,0.0006397075622572539,0.0,0.0,0.0083161983093443,0.0,0.0015992689056431345,0.0005026273703449851,9.138679460817912e-05,0.00923006625542609,0.005848754854923464,0.00031985378112862694,0.0,9.138679460817912e-05,0.0,0.0,0.00018277358921635825,0.0,0.006899702992917523,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005620287868403016,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205620287868403,0.0,0.0,0.0,0.0,0.0037925519762394334,0.0,0.0,0.0,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0007767877541695225,0.0,0.0,0.0,0.0,0.0,0.0,0.012245830477496002,0.0,0.0,0.00923006625542609,0.0,9.138679460817912e-05,0.013251085218185972,0.0,0.0,0.0,0.004569339730408956,0.0,0.0,0.0016906557002513136,0.0,0.0,9.138679460817912e-05,0.0,0.0,0.0,9.138679460817912e-05,0.010966415352981495,0.0,0.0,0.0,4.569339730408956e-05,0.0,0.00041124057573680605,0.0,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.004340872743888508,0.0003655471784327165,0.0,0.0,0.0,0.00018277358921635825,0.014119259766963673,0.0,0.0,0.0,0.0,0.0,0.0,0.00041124057573680605,0.036189170664838934,0.0,0.0,0.0013708019191226869,0.0,0.0,0.0018734292894676719,0.0266849440255883,0.0,0.0,0.0,0.0,0.0,0.0,0.006122915238748001,0.0
"X206747",0.0,0.0,0.0,0.0,0.0,0.0007882705344474224,0.0,0.0,0.0,0.0,0.0,0.009249040937516422,0.0,0.2820431972252877,0.0,0.0,0.0029428766619370435,0.0,0.00010510273792632298,0.0,0.0,0.0,0.0,0.0,0.0,0.009406695044405907,0.0,0.0004204109517052919,0.0,0.0,0.0,0.0,5.255136896316149e-05,0.4493667560039939,0.0,0.00015765410688948448,0.0022597088654159442,0.0,0.0,0.01229702033737979,0.0,0.00010510273792632298,0.001996952020600137,0.0006831677965210993,0.004361763623942404,0.001944400651636975,0.0,0.00010510273792632298,5.255136896316149e-05,0.0,5.255136896316149e-05,0.0,0.0,0.011456198433969205,0.0,0.0,0.00010510273792632298,5.255136896316149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009406695044405907,0.0,0.0,0.00010510273792632298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.0,0.0028377739240107204,0.0,0.0,0.0,0.0,0.00036785958274213043,0.0,0.0,0.0,0.00015765410688948448,0.0,0.0,0.0,0.0,0.0,0.0,0.010773030637448106,0.0,0.0,0.0052551368963161494,0.0,5.255136896316149e-05,0.02916600977455463,0.0,0.00010510273792632298,0.0,5.255136896316149e-05,0.0,0.0,0.023963424247201638,0.0,0.0,0.0005255136896316149,0.0,0.0,5.255136896316149e-05,0.0,0.0012612328551158758,0.0,0.0,0.0,0.0,0.0,0.0059908560618004095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015765410688948448,0.00026275684481580743,0.0,0.0,0.00031530821377896896,0.00530768826527931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08912712176152189,5.255136896316149e-05,0.0,0.0,0.0,0.00015765410688948448,0.0018918492826738137,0.015660307951022124,0.0,0.0,0.0,0.0,0.0,0.0,0.006884229334174155,0.0
"X206720",0.0,0.0002923015090065402,0.0,3.653768862581753e-05,0.0,0.001571120610910154,0.0,3.653768862581753e-05,0.0,0.0,0.0,0.008842120647447842,0.0,0.1298184076875297,0.00021922613175490518,0.0024114874493039572,0.00021922613175490518,0.0,3.653768862581753e-05,0.0,0.0,0.0,3.653768862581753e-05,0.0,0.0012788191019036136,0.01644195988161789,0.0,0.0001461507545032701,0.0,0.0,0.0,0.0,0.0,0.46216522342796595,0.00010961306587745259,0.001790346742665059,0.0009499799042712558,0.0,0.0,0.009901713617596552,0.0002557638203807227,0.10314589499068288,0.0018999598085425117,0.0006942160838905331,0.012568964887281231,0.0015345829222843362,0.007526763856918411,0.0,3.653768862581753e-05,3.653768862581753e-05,0.0,0.00018268844312908765,0.0,0.00606525631188571,3.653768862581753e-05,0.0043114472578464685,0.0004749899521356279,0.0,0.0001461507545032701,0.0,3.653768862581753e-05,0.0,0.0,0.0,0.0,0.02027841718732873,0.0,0.0,0.00010961306587745259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02309181921151668,0.0,0.0,0.0,0.0,0.03690306551207571,0.00010961306587745259,0.0,0.0,3.653768862581753e-05,0.0025941758924330448,0.0,0.0,0.0003288391976323578,0.0,0.0,0.0,0.0,0.0,0.0024480251379297747,0.0,0.00010961306587745259,3.653768862581753e-05,0.0,0.0,3.653768862581753e-05,0.009974788994848187,0.0,0.0,0.0343819649968943,0.0,7.307537725163506e-05,0.0029960904673170374,0.0,0.0,3.653768862581753e-05,0.017866929738024773,0.0,0.0,0.0006576783952647156,0.0,0.0,0.0,3.653768862581753e-05,0.0,0.0,3.653768862581753e-05,0.005663341737001717,0.0,0.0,0.0,0.0,0.0,0.0033980050422010304,0.0,0.00010961306587745259,0.0,0.0,0.0,0.0,0.0,0.005590266359750082,0.0002923015090065402,7.307537725163506e-05,0.0,0.0,0.00010961306587745259,0.008476743761189667,3.653768862581753e-05,0.0,0.0,0.0,0.0,0.0013884321677810662,0.0,0.027841718732872958,3.653768862581753e-05,0.0,0.0009499799042712558,0.0,0.0,0.008915196024699477,0.007928678431802404,0.0,0.0,0.0,0.0,0.0,0.0,0.001790346742665059,0.0
"X206723",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",3.809959233436202e-05,0.0018668800243837392,7.619918466872404e-05,0.0006095934773497924,0.0,0.0009143902160246885,0.0,3.809959233436202e-05,0.0,0.0,0.0001523983693374481,0.01318245894768926,0.0,0.3668228749952375,0.0001523983693374481,0.06682668495447099,0.002133577170724273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009296300529584333,0.001981178801386825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2817083857202728,0.0033527641254238578,7.619918466872404e-05,0.0004190955156779822,0.0,0.0,0.0026669714634053416,0.0,0.005143444965138873,0.024040842762982437,0.00011429877700308607,0.011353678515639882,0.0005714938850154304,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0,0.0,0.009905894006934125,0.0,0.0,0.0,3.809959233436202e-05,0.0005714938850154304,0.0,0.0,0.0,0.0,0.0,0.0,0.004533851487789081,0.0,0.0,0.0005714938850154304,7.619918466872404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0,0.0010286889930277746,0.0,0.0,0.0,0.0,0.00011429877700308607,0.006210233550501009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011048881776964987,0.0,0.0,0.0,0.0,0.0001904979616718101,0.001790680839715015,0.0019430792090524632,0.0,0.0,0.0012953861393683087,0.0,7.619918466872404e-05,0.0038480588257705645,0.0,0.0,0.0,0.027812702404084275,0.0,0.0,0.0012191869546995847,0.0,0.0,0.0,0.0,0.0,3.809959233436202e-05,0.04583380957823751,0.0,0.0,0.0,0.0,0.0,0.0,0.00011429877700308607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009524898083590505,0.00026669714634053413,0.0,0.0,0.0,0.00011429877700308607,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,3.809959233436202e-05,0.04838648226463977,0.0,0.0,0.018364003505162495,0.0,0.0,0.00011429877700308607,0.005105345372804511,0.0,0.0,7.619918466872404e-05,0.0,0.0,0.0,0.005600640073151217,0.0
"X206734",0.0,0.0,0.0,0.00012586136370787578,0.0,3.1465340926968945e-05,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0019508511374720745,0.0,0.09587489380447436,3.1465340926968945e-05,0.0,0.0002831880683427205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004090494320505963,0.0,6.293068185393789e-05,0.0,0.0,0.0,0.0,0.0007866335231742236,0.6800918787955067,0.0,0.0010383562505899752,9.439602278090684e-05,0.0,0.0,3.1465340926968945e-05,0.0,0.0009124948868820994,0.008432711368427676,3.1465340926968945e-05,0.00018879204556181367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012586136370787578,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002202573864887826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005978414776124099,0.02375633239986155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015418017054214782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006733582958371354,0.0,0.0,0.001069821591516944,0.0,0.0,0.014379660803624808,0.0,0.0,0.0037129102293823354,0.018312828419495924,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001069821591516944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000566376136685441,6.293068185393789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340926968945e-05,0.0,0.03571316195210975,0.0,0.0,0.0003461187501966584,0.0,0.0,0.07668103583902332,0.0225921147855637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
