"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Sphingobacteriales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Bifidobacteriales","Actinomycetales","Micrococcales","Desulfovibrionales","Neisseriales","Blastocatellales","Rhizobiales","Mollicutes_RF9","Desulfurellales","Propionibacteriales","Chloroplast(class)","Campylobacterales","Pasteurellales","X35","Xanthomonadales","Enterobacteriales","Verrucomicrobiales","Cytophagales","Methanobacteriales","Oligoflexales"
"X206695",0.006211180124223602,0.2639751552795031,0.13871635610766045,0.0,0.004140786749482402,0.018633540372670808,0.0,0.0,0.028985507246376812,0.018633540372670808,0.019668737060041408,0.0,0.0,0.0010351966873706005,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.008281573498964804,0.0,0.009316770186335404,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.40062111801242234,0.0010351966873706005,0.0,0.0,0.0
"X206700",6.633279161553514e-05,0.19996020032503067,0.20277934396869093,0.0,0.0,9.949918742330271e-05,0.0,0.0,0.002918642831083546,0.0,0.07429272660939935,0.0,0.020165168651122684,0.00043116314550097843,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,0.002852310039468011,0.054923551457663096,0.0,0.0,0.2466916520181752,0.0,0.0,0.0,0.0
"X206757",0.0,0.28617060485687373,0.496171014374053,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0100331708915189,0.0,0.1450509848888161,0.0,0.020926327859453704,0.00016380687169826775,4.095171792456694e-05,0.0,8.190343584913388e-05,0.019861583193414963,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,4.095171792456694e-05,0.0,0.0,0.021335845038699373,0.0,0.0,0.0,0.0
"X206701",0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0,0.0011705033164260631,0.010534529847834569,0.0,0.0,0.0,0.0,0.001040447392378723,0.0013005592404734035,0.0,0.004161789569514892,0.005072181037846274,0.0005202236961893615,0.0,0.00013005592404734037,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.9644947327350761,0.0,0.0,0.0,0.0
"X206709",0.02065341558144848,0.396435915010281,0.5467671921407357,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0008224811514736121,0.0,0.009367146447338359,0.0,0.006351382225268449,0.00013708019191226866,0.0005026273703449851,0.0,0.000731094356865433,9.138679460817912e-05,9.138679460817912e-05,0.0,0.014119259766963673,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017820424948594928,0.0,0.0,0.001964816084075851,0.0,0.0,0.0,0.0
"X206747",5.255136896316149e-05,0.49529665247779703,0.4507330915970361,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0026275684481580747,0.0,0.008355667665142678,0.0,0.007146986178989963,0.00047296232066845344,0.001996952020600137,0.0,0.00021020547585264595,0.0006831677965210993,5.255136896316149e-05,0.00010510273792632298,0.00530768826527931,0.00036785958274213043,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.024488937936833256,0.0,0.0,0.001944400651636975,0.0,0.0,0.0,0.0
"X206720",0.039314552961379666,0.32248163981146555,0.5787204501443238,0.0,0.0,3.653768862581753e-05,0.0,0.0,0.0010230552815228909,0.0,0.03467426650590084,0.0,0.0023749497606781393,0.00021922613175490518,0.0018999598085425117,0.0,0.0002923015090065402,0.0006942160838905331,3.653768862581753e-05,0.00010961306587745259,0.008476743761189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006576783952647156,0.0,3.653768862581753e-05,0.008951733713325295,0.0,0.0,0.0,0.0
"X206723",0.0,0.13580246913580246,0.037037037037037035,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.0,0.0,0.0,0.0
"X206727",0.06690288413913971,0.5504629100468625,0.29028079399550427,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0005714938850154304,3.809959233436202e-05,0.003543262087095668,0.0,0.0067055282508477155,7.619918466872404e-05,0.024040842762982437,0.0,0.00026669714634053413,0.00011429877700308607,3.809959233436202e-05,0.0006476930696841544,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012191869546995847,0.0,0.0,0.045986207947574964,0.0,0.0,0.0,0.0
"X206734",0.02375633239986155,0.2041785972751015,0.6810043736823889,0.0,0.0,3.1465340926968945e-05,0.0,0.0,9.439602278090684e-05,0.0,0.002643088637865391,0.0,0.0006293068185393789,6.293068185393789e-05,0.008432711368427676,0.0,0.0008495642050281615,3.1465340926968945e-05,0.0,0.0,0.0,0.0015418017054214782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.07671250117995028,0.0,0.0,0.0,0.0
"X206751",3.933291378225299e-05,0.46471837633731905,0.4758495909376967,0.0,0.0,0.00015733165512901197,0.0,0.0,0.00031466331025802394,3.933291378225299e-05,0.021790434235368156,0.0,0.006529263687853996,7.866582756450598e-05,0.0,0.0,0.00015733165512901197,0.0,3.933291378225299e-05,0.0,0.016991818753933293,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,3.933291378225299e-05,0.0022813089993706736,0.0,0.0,0.01065921963499056,0.00011799874134675897,0.0,0.00015733165512901197,0.0
"X206755",0.05394375303054792,0.4793922741231615,0.40835623080652983,0.0,0.0,4.0407305640859865e-05,0.0,0.0,0.002141587198965573,0.00016162922256343946,0.021577501212219168,0.0,0.005091320510748344,0.00020203652820429934,0.00016162922256343946,0.0,0.0003232584451268789,0.00016162922256343946,4.0407305640859865e-05,0.0,0.014102149668660094,0.00016162922256343946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031921771456279295,0.0,0.0,0.0016566995312752547,0.00929368029739777,0.0,0.0,0.0
"X206767",0.00017207261464337952,0.2987180590209068,0.5181966789985374,0.0,0.0,0.00017207261464337952,0.0,0.0011184719951819668,0.0040437064441194185,0.0,0.018927987610771746,0.0,0.004387851673406177,0.00034414522928675903,0.029596489718661276,0.0,8.603630732168976e-05,0.0009463993805385873,8.603630732168976e-05,0.0,0.004215779058762798,0.009033812268777424,0.0,0.0,0.0,0.0,0.00034414522928675903,0.0,0.0,0.009636066420029253,0.0,0.0,0.0999741891078035,0.0,0.0,0.0,0.0
"X206769",0.0,0.01845018450184502,0.014760147601476014,0.0,0.0,0.09040590405904059,0.0,0.005535055350553505,0.08487084870848709,0.0,0.02029520295202952,0.0,0.0,0.046125461254612546,0.0,0.0,0.0,0.0,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.6328413284132841,0.0,0.0,0.02952029520295203,0.0,0.0,0.0,0.0
"X224328",0.03371173030615755,0.3416657111187555,0.4832396896380384,0.0,0.0,3.8221916446890644e-05,0.0,0.0,0.0004968849138095784,0.0,0.002599090318388564,0.0,0.00886748461567863,3.8221916446890644e-05,0.00015288766578756258,0.0,0.0,0.008714596949891068,0.0,0.0,0.003478194396667049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026870007262164125,0.0,3.8221916446890644e-05,0.09008905706532125,0.0,0.0,0.0,0.0
