"","x"
"1","Paracoccus"
"2","Faecalibacterium"
"3","Hungatella"
"4","Sutterella"
"5","Lactonifactor"
"6","DA101_soil_group(family)"
"7","Paraprevotella"
"8","Leuconostoc"
"9","Alistipes"
"10","Coprococcus"
"11","Abiotrophia"
"12","_Clostridium_innocuum_group"
"13","_Eubacterium_brachy_group"
"14","Anaerofustis"
"15","Butyricimonas"
"16","Psychrobacter"
"17","Lachnospiraceae_UCG_006"
"18","Staphylococcus"
"19","Lachnoclostridium"
"20","Aggregatibacter"
"21","Brevibacterium"
"22","Catenibacterium"
"23","Bilophila"
"24","Aeromonas"
"25","Lachnospiraceae_UCG_010"
"26","Hafnia_Obesumbacterium"
"27","_Eubacterium_ventriosum_group"
"28","_Ruminococcus_gnavus_group"
"29","Epulopiscium"
