"","Acetobacteraceae","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Pasteurellaceae","Corynebacteriaceae","Peptococcaceae","uncultured","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Rhodospirillaceae","Blastocatellaceae_Subgroup_4_","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","WCHB1_32(class)","DA101_soil_group","Family_XI","Sphingobacteriaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Flavobacteriaceae","Peptostreptococcaceae","Leuconostocaceae","Rikenellaceae","Opitutaceae","Fusobacteriaceae","Bifidobacteriaceae","Aerococcaceae","Actinomycetaceae","Caulobacteraceae","Defluviitaleaceae","Moraxellaceae","Hyphomicrobiaceae","Oxalobacteraceae","Thermaceae","Cellulomonadaceae","Eubacteriaceae","Cytophagaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Subgroup_6(class)","Methylobacteriaceae","Mollicutes_RF9(order)","Micromonosporaceae","Acidaminococcaceae","Bacteroidales_S24_7_group","Unknown_Family","Anaerolineaceae","Thermoanaerobacteraceae","OPB35_soil_group(class)","Synergistaceae","vadinBE97","NS11_12_marine_group","Paenibacillaceae","Nocardioidaceae","Microbacteriaceae","Neisseriaceae","Chitinophagaceae","JG30_KF_CM45(order)","Rhizobiaceae","Victivallaceae","Intrasporangiaceae","Chloroplast(class)","Geodermatophilaceae","Staphylococcaceae","Campylobacteraceae","Bacteroidetes_vadinHA17(class)","Coxiellaceae","Enterobacteriaceae","Carnobacteriaceae","Leptotrichiaceae","Brevibacteriaceae","Methylophilaceae","Solirubrobacteraceae","Bacillaceae","Roseiarcaceae","Anaeroplasmataceae","Verrucomicrobiaceae","uncultured(class)","Helicobacteraceae","Clostridiaceae_1","Candidatus_Nomurabacteria(class)","Methanobacteriaceae","SC_I_84(order)","Gemmatimonadaceae","Sanguibacteraceae","Cellvibrionaceae","Subgroup_2(class)","Elev_16S_1332","Rhodocyclaceae","Dermabacteraceae","Pseudonocardiaceae"
"X206628",0.0,0.0,0.07467532467532467,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331168831168831,0.0,0.016233766233766232,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.016233766233766232,0.01948051948051948,0.05844155844155844,0.0,0.0,0.0,0.03571428571428571,0.0,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.0,0.0010106843777071904,0.0004331504475887958,0.00014438348252959862,0.0,0.09615939936471268,0.00822985850418712,0.005342188853595149,0.0,0.0,0.00014438348252959862,0.0,0.0,0.0,0.0,0.48094138030609296,0.01891423621137742,0.0031764366156511693,0.05111175281547791,0.0,0.0,0.0,0.006352873231302339,0.0,0.005919722783713543,0.2777938203869477,0.0017326017903551833,0.00014438348252959862,0.0015882183078255846,0.0,0.0,0.0008663008951775916,0.0,0.004764654923476754,0.006064106266243142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0007219174126479931,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.009818076812012706,0.0014438348252959862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020213687554143807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014438348252959862,0.0,0.0,0.0,0.007507941091539128,0.0024545192030031764,0.0,0.0,0.0,0.0,0.0,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206636",0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.34124087591240876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31386861313868614,0.05291970802919708,0.0072992700729927005,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.1259124087591241,0.0,0.023722627737226276,0.0,0.0,0.0,0.0,0.0,0.0,0.03467153284671533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.020072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824817518248175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0,0.005474452554744526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206644",0.0,0.0,0.0005102908657935023,0.0,0.0010205817315870045,0.0,0.06837897601632931,0.014628338152747066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38594999149515224,0.0,0.0023813573737030106,0.014118047286953563,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.49141010375914274,0.0,0.0008504847763225039,0.0,0.0005102908657935023,0.0,0.0003401939105290015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017009695526450075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010205817315870045,0.0003401939105290015,0.0,0.0,0.017179792481714577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005102908657935023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206670",0.0,0.0003748687959214275,0.002549107812265707,3.748687959214275e-05,0.0012370670265407107,0.0,0.24265257159994003,0.0002249212775528565,0.0,0.0002249212775528565,0.0,0.00011246063877642825,0.0,0.0,0.0,0.0,0.23170640275903434,0.0299895036737142,0.0390238416554206,0.014507422402159244,0.000149947518368571,0.0,0.0,3.748687959214275e-05,0.0,0.00011246063877642825,0.3013195381616434,0.0,0.0012370670265407107,0.0,0.00026240815714499927,0.0,0.0620782726045884,0.0,0.00041235567551357026,0.0005248163142899985,0.0,0.0,0.0,0.0,3.748687959214275e-05,0.0,0.0,0.0,0.0,0.00033738191632928474,0.0,3.748687959214275e-05,0.0014619883040935672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011246063877642825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923826660668767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206678",0.0,0.0008260561718196837,0.0,0.0002360160490913382,0.003422232711824404,0.0,0.21111635591220204,0.032216190700967665,0.0,0.0,0.0,0.00129808827000236,0.0018881283927307056,0.0,0.0,0.0,0.3345527495869719,0.0002360160490913382,0.0029502006136417278,0.017583195657304696,0.0,0.0,0.0,0.00035402407363700734,0.0,0.00660844937455747,0.3029265990087326,0.016639131460939344,0.013688930847297616,0.0,0.0029502006136417278,0.0,0.0001180080245456691,0.0,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.001180080245456691,0.0,0.00035402407363700734,0.0,0.0,0.0,0.0016521123436393675,0.001062072220911022,0.0,0.0002360160490913382,0.0,0.0,0.0,0.0,0.0,0.0,0.0005900401227283455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002360160490913382,0.0,0.0,0.0,0.04083077649280151,0.0028321925890960587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035402407363700734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004720320981826764,0.0,0.0
"X206684",0.0,0.0,0.0001321178491214163,0.00039635354736424893,0.0002642356982428326,8.80785660809442e-05,0.33487470823974985,0.0018496498876998282,0.0,0.0015413749064165235,0.0,4.40392830404721e-05,0.0,0.0,0.0,0.0,0.16598405777953934,0.04875148632580262,8.80785660809442e-05,0.0017175320385784119,0.0001761571321618884,0.0,0.0,0.0033029462280354076,0.0,0.0003082749812833047,0.4202668780552253,0.0002201964152023605,0.002201964152023605,0.0,0.0009248249438499141,0.0,0.0003082749812833047,0.0,0.0,0.001321178491214163,0.0,0.0,0.0,0.0,8.80785660809442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002642356982428326,0.0,0.0,0.0,0.0,0.0,0.0,0.014709120535517681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001321178491214163,4.40392830404721e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206713",0.0,0.0,0.0,0.00038153376573826786,9.538344143456696e-05,0.0,0.07220526516596719,9.538344143456696e-05,0.00038153376573826786,0.0,0.0,4.769172071728348e-05,4.769172071728348e-05,4.769172071728348e-05,0.0,0.0,0.1838992750858451,0.0013353681800839375,0.0047691720717283476,0.0015261350629530714,0.0,0.0,0.0,0.00038153376573826786,0.0,0.0006676840900419688,0.619276993513926,0.09109118657001145,0.00109690957649752,9.538344143456696e-05,0.001478443342235788,0.0,0.00038153376573826786,0.0,0.005436856161770317,0.001001526135062953,0.0,0.00019076688286913393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011827546737886304,0.0,0.0,0.0,0.0,0.0016692102251049219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005246089278901182,4.769172071728348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.0,0.0,0.0192694728728643,0.45214747569905367,0.001798484134800668,0.0,0.23054853766111422,0.002697726202201002,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12088382648910204,0.014816083586691217,4.282105082858733e-05,0.00449621033700167,0.0014987367790005566,0.0,0.0,4.282105082858733e-05,0.0,0.00042821050828587335,0.0781055967113433,0.016100715111548838,0.0,4.282105082858733e-05,0.0011133473215432707,0.0,0.015629683552434378,0.0,0.00034256840662869867,0.014473515180062518,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.000256926304971524,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.006166231319316576,0.0,0.0,0.0,0.0,0.01494454673917698,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.00017128420331434933,0.0,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0025264419988866526,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0008564210165717467,8.564210165717467e-05,0.0,0.0,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206754",0.0,0.0003781433163168841,0.003923236906787673,0.006617508035545471,0.0006144828890149366,0.0,0.12039137833238797,0.027982605407449422,0.00018907165815844205,0.0,0.0,0.0,0.0,0.0,0.00184344866704481,0.00018907165815844205,0.3539894119871431,0.020514274910190963,0.003970504821327283,0.03393836263944035,0.00014180374361883155,0.0,0.0,0.00014180374361883155,0.0,0.00557761391567404,0.34878994138778596,0.006333900548307809,0.004017772735866894,0.0,4.726791453961051e-05,0.0,0.001370769521648705,4.726791453961051e-05,0.026611835885800718,0.009500850822461713,0.0,0.00014180374361883155,0.0,0.0,4.726791453961051e-05,0.0,0.0,0.0,0.0008980903762525998,0.0,0.00018907165815844205,4.726791453961051e-05,0.0,0.007515598411798071,0.0003781433163168841,0.0006617508035545471,0.0,0.0016543770088863678,0.005199470599357156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006144828890149366,4.726791453961051e-05,0.0007090187180941577,0.0,0.00018907165815844205,0.0003781433163168841,0.0,0.0,4.726791453961051e-05,0.00047267914539610514,0.0,0.0,0.0,0.0,0.0024579315560597464,0.0,0.0,0.0,0.0,4.726791453961051e-05,0.0,0.0,0.0,0.00023633957269805257,0.0,0.0,0.00033087540177727357,0.0,0.00033087540177727357,0.0,0.0,0.0,0.0,0.0,9.453582907922102e-05,0.0,0.0,0.00018907165815844205
