"","x"
"1","Frederiksenia"
"2","uncultured"
"3","uncultured(family)"
"4","Faecalibacterium"
"5","Aridibacter"
"6","Sphingopyxis"
"7","Gemella"
"8","Butyricicoccus"
"9","Alistipes"
"10","Odoribacter"
"11","Ruminococcus"
"12","_Clostridium_innocuum_group"
"13","Anaerofustis"
"14","vadinBE97(family)"
"15","NS11_12_marine_group(family)"
"16","Hydrotalea"
"17","Staphylococcus"
"18","Lachnoclostridium"
"19","Arcticibacter"
"20","Morganella"
"21","Sporobacter"
"22","Eggerthella"
"23","Methanobrevibacter"
"24","Micrococcus"
"25","Lawsonella"
