"","x"
"1","uncultured"
"2","Faecalibacterium"
"3","Aridibacter"
"4","Sphingopyxis"
"5","DA101_soil_group(family)"
"6","Intestinibacter"
"7","Leuconostoc"
"8","Odoribacter"
"9","Ruminococcaceae_UCG_014"
"10","Anaerofustis"
"11","Gastranaerophilales(order)"
"12","Coprobacter"
"13","Erysipelatoclostridium"
"14","Lachnospiraceae_UCG_006"
"15","Gallibacterium"
"16","Morganella"
"17","Alloiococcus"
"18","Eubacterium"
"19","Ruminococcaceae_UCG_004"
"20","Citrobacter"
"21","Catenibacterium"
"22","Eggerthella"
"23","Helicobacter"
"24","Methanobrevibacter"
"25","Holdemania"
"26","Sarcina"
"27","Subgroup_2(class)"
"28","Lawsonella"
