"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","uncultured(family)","Pseudomonas","Sphingomonas","Lactobacillus","uncultured","Oscillibacter","Faecalibacterium","Aridibacter","Lachnospiraceae_FCS020_group","Hungatella","Sutterella","Veillonella","_Ruminococcus_gauvreauii_group","Ruminococcaceae_UCG_010","Clostridiales_vadinBB60_group(family)","Lactonifactor","WCHB1_32(class)","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Sphingopyxis","Blautia","Gemella","Pedobacter","Senegalimassilia","Collinsella","Bacteroides","Porphyromonas","Butyricicoccus","Streptococcus","Flavobacterium","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Opitutus","Fusobacterium","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Abiotrophia","Actinomyces","Brevundimonas","Defluviitaleaceae_UCG_011","Acinetobacter","Hyphomicrobium","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Massilia","Anaerotruncus","_Eubacterium_brachy_group","Romboutsia","Cellulomonas","Anaerofustis","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Hymenobacter","Butyricimonas","Rothia","Negativicoccus","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Blastocatella","Subgroup_6(class)","Atopobium","Coprobacter","Methylobacterium","Plantactinospora","Phascolarctobacterium","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Erysipelatoclostridium","Parasutterella","Gelria","vadinBE97(family)","Megasphaera","Dorea","Fastidiosipila","Paenibacillus","_Eubacterium_coprostanoligenes_group","Nocardioides","Zimmermannella","Eikenella","Hydrotalea","JG30_KF_CM45(order)","Rhizobium","Victivallis","Knoellia","Ruminococcaceae_UCG_002","Barnesiella","Lachnospiraceae(family)","Parvimonas","Lactococcus","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Blastococcus","Dialister","Staphylococcus","Anaerostipes","Bacteroidetes_vadinHA17(class)","Zymomonas","Lachnospira","Lachnoclostridium","Arcticibacter","Cloacibacterium","Haemophilus","Aerococcus","Morganella","Aggregatibacter","Alloiococcus","Skermanella","Cytophaga","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Parabacteroides","Proteiniphilum","Solirubrobacter","Turicibacter","Bacillus","Fusicatenibacter","Sporobacter","Mogibacterium","Dielma","Prevotellaceae_NK3B31_group","Roseiarcus","Adlercreutzia","Akkermansia","uncultured(class)","Flavonifractor","Eggerthella","Granulicatella","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Proteiniclasticum","Herminiimonas","Methanobrevibacter","SC_I_84(order)","Clostridium_sensu_stricto","Christensenella","Peptoniphilus","_Eubacterium_rectale_group","Slackia","Mobilitalea","Succiniclasticum","Sanguibacter","Devosia","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Varibaculum","Holdemania","Holdemanella","Escherichia_Shigella","_Ruminococcus_gnavus_group","Cellvibrio","Microvirga","Acetanaerobacterium","Elev_16S_1332(family)","Micrococcus","_Eubacterium_eligens_group","Lawsonella","Erysipelotrichaceae_UCG_003","Lacibacter","Actinomycetospora"
"X206713",0.0,0.0,0.00038153376573826786,4.769172071728348e-05,0.0,0.0039584128195345285,0.00038153376573826786,0.0,4.769172071728348e-05,0.0,4.769172071728348e-05,0.017645936665394886,0.0,0.03634109118657001,0.0,0.0,0.0007630675314765357,0.0,0.002289202594429607,0.0,0.0,0.0,0.0,0.0,0.0,9.538344143456696e-05,4.769172071728348e-05,0.023512018313620757,0.0002384586035864174,0.0,0.0,0.0006199923693246852,0.619276993513926,0.0,0.0009061426936283861,0.00109690957649752,0.0,0.0012399847386493704,0.0,0.02150896604349485,0.0,0.00038153376573826786,0.0,0.005436856161770317,0.001001526135062953,0.026802747043113317,0.0012399847386493704,0.0,0.0,0.00019076688286913393,0.0,0.0,0.0,0.0,0.0,0.0,0.020888973674170166,4.769172071728348e-05,0.0007153758107592522,9.538344143456696e-05,0.0,0.0,0.0,4.769172071728348e-05,0.0,0.0,0.0002384586035864174,0.014498283098054178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010492178557802365,0.0,0.0,4.769172071728348e-05,0.0,0.0,0.0,0.0,0.0,0.00019076688286913393,4.769172071728348e-05,0.00042922548645555133,0.0013353681800839375,0.0,0.0,0.00028615032430370085,0.001001526135062953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005246089278901182,0.00014307516215185043,0.0,0.0,0.00019076688286913393,0.009586035864173979,0.0,0.0,0.0,0.00219381915299504,0.0,0.01783670354826402,0.0,0.0,0.0025753529187333077,0.0033384204502098437,0.0,9.538344143456696e-05,9.538344143456696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09109118657001145,0.0,0.0,0.0,0.0,0.0030999618466234263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00219381915299504,0.0,4.769172071728348e-05,0.00038153376573826786,0.011827546737886304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600724914154903,0.0,0.0,0.0016692102251049219,0.0,0.0,0.0,0.0,0.0023368943151468903,0.0,0.00014307516215185043,0.0,0.0005246089278901182,0.006819916062571538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008584509729111027,0.0,0.0
"X206732",0.0,0.019183830771207125,0.36736179505845074,0.001798484134800668,0.0,0.012418104740290327,8.564210165717467e-05,0.0,0.0,0.0,0.0,0.09069498565494798,0.000128463152485762,0.1355286258724789,0.0,4.282105082858733e-05,0.0,0.012974778401061962,4.282105082858733e-05,8.564210165717467e-05,0.00256926304971524,0.0014987367790005566,0.0,0.0,0.0011989894232004453,0.003939536676230035,0.0,0.008264462809917356,0.0,0.0,8.564210165717467e-05,0.00034256840662869867,0.0781055967113433,0.0005566736607716354,0.0005994947116002227,0.0,0.0,0.0004710315591144607,0.0,0.007151115488374085,0.0012418104740290327,0.015629683552434378,0.0,0.00034256840662869867,0.014473515180062518,0.022395409583351174,0.0027833683038581765,0.0008135999657431593,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.0,0.0038110735237442727,0.002055410439772192,0.0,0.0036397893204299235,0.0,0.0,0.00064231576242881,0.0,0.0002997473558001113,0.0,0.0,0.002826189354686764,0.009206525928146277,0.0,0.0,0.0012418104740290327,0.0,0.0,0.0,0.004795957692801781,0.00017128420331434933,0.0,0.0,0.0,0.0,0.0,0.0,0.01494454673917698,0.0,0.0,0.0,0.00017128420331434933,0.0018413051856292554,4.282105082858733e-05,0.00017128420331434933,0.0,0.001541557829829144,0.0,0.0,0.010020125893889436,0.0,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0025264419988866526,0.0,0.029332419817582323,0.0020125893889436047,0.0,0.0,0.0,0.0,0.00034256840662869867,0.020768209651864857,0.0,0.0,0.0,0.0,4.282105082858733e-05,0.008093178606603007,0.0,0.0,0.0025264419988866526,0.0018413051856292554,0.0,4.282105082858733e-05,0.002697726202201002,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.00034256840662869867,0.0,0.0,0.011476041622061405,0.0,0.0,0.0,4.282105082858733e-05,0.009549094334774976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.00385389457457286,0.0013702736265147947,0.0029118314563439385,0.0,0.000256926304971524,8.564210165717467e-05,0.0,0.0,0.0,4.282105082858733e-05,0.025735451547980986,0.0,0.0,0.0,0.0,0.0,0.001413094677343382,0.0,0.0009848841690575088,0.0,0.00017128420331434933,0.003596968269601336,0.0008564210165717467,0.005609557658544941,0.0,0.0,0.0,0.0,8.564210165717467e-05,0.0002997473558001113,0.0,0.0005566736607716354,0.0,0.0
"X206754",0.00018907165815844205,0.0034978256759311778,0.005955757231990925,0.00047267914539610514,0.0,0.003072414445074683,0.0,0.0,0.0,0.0,0.0,0.014558517678200038,0.0003781433163168841,0.10219323123463793,0.00018907165815844205,0.0,4.726791453961051e-05,0.020514274910190963,0.003970504821327283,0.0002836074872376631,0.0,0.00014180374361883155,0.0011344299489506524,0.0,0.0,4.726791453961051e-05,0.0,0.05090754395916052,0.0,0.0,0.00047267914539610514,0.005104934770277935,0.34878994138778596,0.0003781433163168841,0.0005672149744753262,0.003923236906787673,0.0,0.0,0.0,0.021459633200983173,0.0004254112308564946,0.001370769521648705,4.726791453961051e-05,0.026611835885800718,0.009500850822461713,0.00548307808659482,0.03285120060502931,0.0013235016071090943,0.0,0.00014180374361883155,0.0,0.0,4.726791453961051e-05,0.0,0.00014180374361883155,0.0,0.015125732652675365,0.00014180374361883155,0.0,0.00033087540177727357,0.0,0.00014180374361883155,4.726791453961051e-05,0.0,0.0008980903762525998,0.0,0.0005672149744753262,0.0006144828890149366,0.0,0.0,0.00014180374361883155,4.726791453961051e-05,0.0,0.0,0.0023633957269805256,0.0,0.0,0.0003781433163168841,0.0,0.0,0.0,0.0016543770088863678,0.005199470599357156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006806579693703914,0.0,0.0,0.0008980903762525998,0.0006144828890149366,4.726791453961051e-05,0.0007090187180941577,0.0,0.00018907165815844205,0.0003781433163168841,0.0,0.0,0.004490451881262999,4.726791453961051e-05,0.0,0.0,9.453582907922102e-05,4.726791453961051e-05,4.726791453961051e-05,0.017158252977878617,4.726791453961051e-05,0.00018907165815844205,0.00047267914539610514,0.0,0.0,0.05294006428436377,0.0,0.0,0.0007562866326337682,0.003119682359614294,0.0,0.0,0.027179050860276045,0.0,0.0,0.0008035545471733787,0.0,0.00184344866704481,0.00018907165815844205,0.0004254112308564946,0.0,0.0,0.004443183966723388,0.0,4.726791453961051e-05,0.0,0.0,0.0,0.0,9.453582907922102e-05,0.0,0.0,0.0,0.0,9.453582907922102e-05,0.0,0.00047267914539610514,0.0,0.0,0.0020325203252032522,0.005152202684817546,0.00023633957269805257,0.0,0.0,0.00033087540177727357,0.0,0.00033087540177727357,4.726791453961051e-05,0.0,0.08744564189827944,0.0,0.0,0.0,0.0,0.0,4.726791453961051e-05,0.0,0.0008508224617129892,0.0,0.0,0.019947059935715637,0.0024579315560597464,0.04561353753072415,0.0,0.00047267914539610514,0.0,9.453582907922102e-05,0.0,0.002410663641520136,0.00018907165815844205,0.013660427301947439,0.0,0.00018907165815844205
"X206762",0.0002993295019157088,0.0,0.0009578544061302681,0.0,0.0,0.004489942528735632,0.0026340996168582377,0.0,0.002334770114942529,0.0,0.0,0.0004789272030651341,0.0,0.020593869731800767,0.0,0.0,0.0,0.0,0.019875478927203066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0004789272030651341,0.0,0.0,0.0028735632183908046,0.3442887931034483,0.0,0.0,0.0013170498084291188,0.0,0.0009578544061302681,0.0,0.01532567049808429,0.0,0.0013170498084291188,0.0,0.0006585249042145594,0.003232758620689655,0.03172892720306513,0.008022030651340996,0.0,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.001736111111111111,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0,0.0,0.00035919540229885057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013769157088122604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053939176245210725,0.0,0.012751436781609195,0.00035919540229885057,0.0,0.0,0.0,0.0,0.0006585249042145594,0.0,0.0,0.0,0.0,0.0010775862068965517,5.986590038314176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016163793103448277,0.0,0.0,0.0,0.005028735632183908,0.0,0.02885536398467433,0.0,0.0,0.032327586206896554,0.00017959770114942528,0.0,0.0028735632183908046,0.06633141762452108,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.015684865900383142,0.009458812260536398,0.00011973180076628352,0.0,0.0,0.0,0.00023946360153256704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021551724137931034,0.0,0.00023946360153256704,0.00035919540229885057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.20635775862068967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008381226053639847,0.0,0.038553639846743294,0.025023946360153256,0.0,0.0,0.0,0.0,0.0,0.0008381226053639847,5.986590038314176e-05,0.0,0.0,0.0
"X206770",0.0,0.0,0.03778946964169131,3.840393256269442e-05,0.0006528668535658052,0.0009216943815046661,0.00011521179768808326,0.0,0.0,3.840393256269442e-05,0.0,0.004570067974960636,0.0,0.16805560889435078,0.0,0.0,7.680786512538885e-05,0.00023042359537616653,0.004723683705211414,0.0004992511233150275,0.0,0.0,0.0,7.680786512538885e-05,0.0,0.0003456353930642498,0.0,0.02622988594032029,0.0,0.00011521179768808326,0.0,0.0006528668535658052,0.3489765351972042,0.0,0.0003072314605015554,0.0011137140443181382,0.0001536157302507777,0.0003456353930642498,0.0,0.00460847190752333,0.00011521179768808326,0.0003840393256269442,0.0,7.680786512538885e-05,0.0028802949422020814,0.005568570221590691,0.004685279772648719,0.00026882752793886094,0.0,7.680786512538885e-05,0.0,0.0,7.680786512538885e-05,7.680786512538885e-05,3.840393256269442e-05,0.0,0.226467990322209,0.0,0.0,0.0006144629210031108,0.00011521179768808326,3.840393256269442e-05,0.0,0.0001536157302507777,0.00011521179768808326,0.0,0.0,0.000998502246630055,0.0,0.0004224432581896386,0.0,0.0,0.0,0.0,0.0,0.0,3.840393256269442e-05,0.0,7.680786512538885e-05,0.0,0.0,0.0,0.0034563539306424976,0.0,0.001382541572256999,0.0,0.0,0.016974538192710935,0.0,0.0,0.0,0.007027919658973079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001536157302507777,0.0,7.680786512538885e-05,0.004301240447021775,0.0007680786512538884,0.0,0.0,0.0,0.0,0.0,0.0151311494297016,0.0,0.0,0.0,0.003917201121394831,7.680786512538885e-05,0.004992511233150275,0.0,0.00011521179768808326,0.0026114674142632206,0.006720688198471524,7.680786512538885e-05,0.0,0.0018817926955720266,0.0,0.0,0.0,0.0,0.0,0.0,3.840393256269442e-05,0.0,0.001382541572256999,0.016744114597334766,0.0,0.0,0.0,0.0,0.005107723030838358,0.0,3.840393256269442e-05,0.0001536157302507777,0.0,0.0,0.0,0.0,0.0,0.00023042359537616653,3.840393256269442e-05,7.680786512538885e-05,0.0003072314605015554,0.006912707861284995,0.00046084719075233305,0.0,0.0,0.0,0.00026882752793886094,0.0,0.0,0.0,0.03537002189024156,0.00023042359537616653,0.0,0.0,7.680786512538885e-05,0.00011521179768808326,0.00026882752793886094,0.0,7.680786512538885e-05,0.0,0.0001536157302507777,0.0,0.002726679211951304,0.006106225277468413,0.0001536157302507777,0.0,0.0,0.0,0.0,0.0016897730327585544,0.0,0.007680786512538884,0.0,0.0
"X224330",0.0,0.00047824007651841227,0.07895743663318987,0.00033476805356288854,0.0,0.0028694404591104736,0.006025824964131995,0.0,0.00028694404591104734,0.0,0.0,0.01056910569105691,0.0,0.108130081300813,0.0,0.0,0.0,0.05561932089909134,0.0006695361071257771,0.0,0.0,0.0,0.0,0.0,0.0,0.000430416068866571,0.0,0.012195121951219513,0.0,0.0,0.0,0.0023912003825920613,0.40344332855093257,0.0,0.002534672405547585,0.0015303682448589192,0.0,0.002152080344332855,0.0009564801530368245,0.011429937828790053,0.0010999521759923483,0.0040650406504065045,0.0,0.0,0.00234337637494022,0.03237685318029651,0.005404112864658059,0.0009086561453849832,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,0.00028694404591104734,0.0,0.0615973218555715,4.7824007651841225e-05,0.0030129124820659973,4.7824007651841225e-05,0.0,0.0007651841224294596,0.0,0.0006695361071257771,0.0,0.0,0.0,0.0021999043519846965,0.0,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,0.001052128168340507,0.0,0.0,0.0,0.0026303204208512673,0.0,0.0,0.0038737446197991392,0.0,0.0,0.0,0.0007173601147776184,0.0,0.0,0.0,0.0,0.004782400765184123,0.00014347202295552367,0.0012434241989478718,0.0011477761836441894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015494978479196557,0.0,0.0,0.0,0.0,0.0,0.0,0.012386417981826877,0.0,0.0,0.0,0.018651362984218076,0.0,0.004112864658058346,0.0005738880918220947,0.0,0.0,0.0037302725968436155,0.0,0.004973696795791487,0.0,0.0,0.0,9.564801530368245e-05,0.0,0.0,0.0,0.0,4.7824007651841225e-05,0.0001912960306073649,0.007986609277857484,4.7824007651841225e-05,0.0,0.0011477761836441894,0.0,0.0077474892395982785,9.564801530368245e-05,0.0,0.0,0.0,0.0,4.7824007651841225e-05,0.0001912960306073649,0.00028694404591104734,0.0012434241989478718,4.7824007651841225e-05,0.0001912960306073649,0.0013390722142515542,0.0,0.0007173601147776184,0.00014347202295552367,0.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.025203252032520326,0.0,0.00014347202295552367,0.0,0.0,0.0,0.0024390243902439024,0.0,0.00033476805356288854,0.0,0.0,0.0026303204208512673,0.0022477283596365376,0.017455762792922047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011477761836441894,0.0,0.0
"X224326",3.348737525952716e-05,0.001908780389793048,0.006730962427164959,0.0005357980041524346,0.0,0.007568146808653138,0.0,0.0,6.697475051905432e-05,0.0,0.0,0.013261000602772756,0.0,0.13277744290402518,0.0,0.0,0.00020092425155716296,0.030004688232536336,0.0003013863773357444,3.348737525952716e-05,0.0,6.697475051905432e-05,0.0,0.0,0.0007032348804500703,0.011486169714017815,0.0,0.00884066706851517,0.0,0.0,0.0,0.0001674368762976358,0.24372111713883865,0.11613421740004018,0.0002678990020762173,0.00043533587837385306,0.0,0.00020092425155716296,0.0,0.0020762172660906838,0.0017413435134954122,0.03700354966177751,0.0,0.00043533587837385306,6.697475051905432e-05,0.013830285982184717,0.009510414573705713,0.016241377000870673,0.0,0.0,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.00010046212577858148,0.0041524345321813675,3.348737525952716e-05,0.0013060076351215592,6.697475051905432e-05,0.0,0.00020092425155716296,0.0,3.348737525952716e-05,0.0,0.0,0.011251758087201125,0.0012055455093429777,0.0,0.0,0.0,0.0,6.697475051905432e-05,0.0,0.0,0.0006697475051905432,0.0,0.0,0.0,0.0,0.0,0.0,0.00023441162681669012,0.0,0.00023441162681669012,0.0,0.0,0.0014399571361596677,0.0,0.0,0.0,0.002545040519724064,0.0,0.0,6.697475051905432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,0.005726341169379144,0.0,0.0009376465072667605,0.0,0.0,0.0,0.005224030540486237,0.0,0.0,0.0,0.022168642421806977,0.00013394950103810864,0.0005357980041524346,0.0,0.0,3.348737525952716e-05,0.006530038175607796,0.0,0.0,0.00020092425155716296,0.0,0.0,0.0,0.0,0.0,0.0,0.0008036970062286518,0.0,0.0,0.003382224901212243,0.0,0.0,0.0,0.0,0.001272520259862032,0.0,0.00020092425155716296,0.0018083182640144665,0.05555555555555555,0.0,0.0,3.348737525952716e-05,0.0,0.001707856138235885,0.0001674368762976358,3.348737525952716e-05,0.0,0.048154845623200056,0.0032147880249146074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02072868528564731,0.0,0.0,0.0,0.0,0.0,0.020695197910387785,0.0,0.0005023106288929073,0.0,0.00013394950103810864,0.0,0.049695264885138306,0.00612818967249347,0.0,0.0,3.348737525952716e-05,0.0,0.0,0.00023441162681669012,0.0,0.0005357980041524346,0.0,0.0
"X219643",5.2999788000847996e-05,0.03598685605257579,5.2999788000847996e-05,0.0016959932160271359,0.0,0.0041869832520669914,0.00010599957600169599,0.00021199915200339198,0.00015899936400254398,0.0007949968200127199,0.0022259910960356157,0.06540173839304643,0.000370998516005936,0.22593809624761502,0.0,0.0,0.0,0.002967988128047488,0.000582997668009328,5.2999788000847996e-05,0.0007949968200127199,0.001642993428026288,0.0,0.0,0.0,0.0018549925800296799,0.0,0.022418910324358703,0.000370998516005936,0.0,0.0,0.00042399830400678397,0.1339304642781429,0.0,0.002172991308034768,0.001642993428026288,0.0,0.00052999788000848,0.0,0.0031269874920500317,0.00211999152003392,0.08628365486538053,0.0,0.000370998516005936,0.014150943396226415,0.02750688997244011,0.007366970532117872,0.0016959932160271359,0.0,0.00010599957600169599,0.00010599957600169599,0.0,5.2999788000847996e-05,0.0,0.0,0.002702989188043248,0.01139495442018232,0.00010599957600169599,0.008267966928132288,0.0,0.0,0.000688997244011024,0.00010599957600169599,0.000741997032011872,0.0,0.0,0.00031799872800508796,0.004398982404070384,0.0,0.0,0.0,0.0,0.0,0.013355946576213695,0.0,0.000741997032011872,0.0,0.0,5.2999788000847996e-05,0.0,0.00015899936400254398,0.0,0.0,0.00021199915200339198,0.0,0.00015899936400254398,0.0012719949120203519,0.0014309942760228958,0.00021199915200339198,0.0,0.0,0.01425694297222811,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010599957600169599,0.010758956964172143,0.00042399830400678397,0.000370998516005936,0.0,0.0,0.0,0.0,0.016853932584269662,0.0,0.0,0.00031799872800508796,0.03296586813652745,0.00010599957600169599,0.016482934068263726,0.0,0.0,0.0011129955480178079,0.06004875980496078,0.0,0.00015899936400254398,0.00015899936400254398,0.00010599957600169599,0.0,0.0,0.0,0.0,0.0,0.0026499894000424,0.0,0.00010599957600169599,0.0007949968200127199,0.0,0.0,0.0,0.0,0.007366970532117872,0.0,0.0,0.00010599957600169599,0.0,0.00015899936400254398,0.0,0.000688997244011024,0.0,0.004822980708077167,5.2999788000847996e-05,0.0008479966080135679,0.00026499894000424,0.0038159847360610556,0.0025969896120415516,0.0,0.0,0.0,0.0,0.000688997244011024,0.0,0.0,0.05321178715285139,0.0,0.0,0.0,0.0,0.0,0.002172991308034768,0.0,0.0006359974560101759,0.0,0.00015899936400254398,0.0,0.00042399830400678397,0.0450498198007208,0.0,0.0,0.0,0.0,0.0,0.001218995124019504,0.0,0.003285986856052576,0.0,0.0
"X219646",0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.00037837582178498795,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0029324126188336563,0.0,0.4028756562455659,0.0,0.0,9.459395544624699e-05,0.0,0.00018918791089249398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017499881757555692,0.0,0.0,0.0,4.7296977723123494e-05,0.3118289741285532,0.0,0.005391855460436078,0.00042567279950811145,0.0,0.0007567516435699759,0.0,0.01759447571300194,0.0,0.0,0.0,4.7296977723123494e-05,0.0045405098614198555,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,4.7296977723123494e-05,0.0,0.00023648488861561747,0.0,0.0030270065742799036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002554036797048669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010405335099087168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05410774251525328,0.0,0.003168897507449274,0.015608002648630753,0.0,0.0,0.0,0.003736461240126756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289930473442747,0.0,0.0,0.0,4.7296977723123494e-05,4.7296977723123494e-05,0.016506645225370098,0.0,0.0,0.0056283403490516954,0.03206735089627773,0.0,0.0,0.00014189093316937048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.00014189093316937048,0.0,0.0,0.0,0.0,0.00406754008418862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012770183985243344,0.0,9.459395544624699e-05,0.009743177410963439,4.7296977723123494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7296977723123494e-05,0.0,0.0,9.459395544624699e-05,0.0684387267653597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",4.1732743510558384e-05,0.004340205325098072,0.0,0.0024204991236123864,0.0,0.02403806026208163,0.0003338619480844671,0.0,0.0002503964610633503,0.0,0.0,0.022535681495701527,0.00012519823053167516,0.2438861530757032,0.0,4.1732743510558384e-05,4.1732743510558384e-05,0.00029212920457390867,0.0011685168182956347,0.0,0.0,0.00012519823053167516,0.0,0.0,0.0008763876137217261,0.00041732743510558383,0.0,0.0070111009097738085,0.0003755946915950255,0.0,0.00016693097404223354,0.0002503964610633503,0.04866037893331108,0.0,0.004340205325098072,0.003046490276270762,0.0,0.0017527752274434521,0.0,0.008263083215090561,0.0031299557632918787,0.016860028378265588,0.0,0.0,0.0007094566396794926,0.06981887989316418,0.014356063767632083,0.0007094566396794926,4.1732743510558384e-05,0.00016693097404223354,0.0,0.00012519823053167516,4.1732743510558384e-05,0.0,0.0,0.04740839662799432,0.02791920540856356,8.346548702111677e-05,0.06664719138636174,0.00016693097404223354,0.0,0.00041732743510558383,4.1732743510558384e-05,0.0033386194808446706,0.0,4.1732743510558384e-05,0.005341791169351473,0.010391453134129038,0.0007929221267006093,0.0,0.0,0.000542525665637259,0.0,0.0003338619480844671,0.0,0.0011685168182956347,0.0,0.0,0.00012519823053167516,0.0,0.0,0.0,0.00851347967615391,8.346548702111677e-05,0.0,0.0,0.00045906017861614223,0.0002503964610633503,0.0,0.0,0.0002503964610633503,0.006385109757115433,0.0,0.0,0.010892246056255737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04807612052416326,0.0005007929221267006,0.00012519823053167516,0.0,4.1732743510558384e-05,0.0,0.0002503964610633503,0.03580669393205909,0.0,0.0,0.0,0.045572155913529755,0.00012519823053167516,0.00797095401051665,0.0,0.0,0.0010015858442534013,0.011977297387530256,0.0,0.0,0.00016693097404223354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014147400050079292,0.0,0.0,0.0,0.0,0.017945079709540106,0.0,0.0,0.0,0.007887488523495535,0.0,0.0,0.0,0.0,0.001502378766380102,0.0,0.0006677238961689341,0.0,0.009640263750938986,0.0022118354060595945,0.0,0.0,0.0,0.0,0.0,0.00045906017861614223,4.1732743510558384e-05,0.056506134713296054,0.0,0.0,0.0,0.0,0.0,0.0,4.1732743510558384e-05,0.010266254903597363,0.0,0.00012519823053167516,0.0,0.00012519823053167516,0.053376178950004176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010433185877639596,4.1732743510558384e-05,0.0
