Cluster,Mean Inside,Std Dev Inside,Mean Outside,Std Dev Outside
1,0.791376871704827,0.0941281867795933,0.06383304891866916,0.18446897152870215
2,0.844165384639505,0.0923817163212985,0.07143490724869081,0.18679471319629773
3,0.543699469542652,0.256741681707192,-0.0030160640369301206,0.20579004515826357
4,0.780044182330244,0.118958573892709,0.0638714442276664,0.1795467106453388
5,0.738453912627293,0.351947283629231,0.0602287361785882,0.1999952236653191
6,0.913287538095888,0.0960842791380915,-0.0217610499404009,0.14583014468412112
7,0.841922180144427,0,0.017196252931714815,0.14486867693231864
8,0.763535377912406,0.409299477949978,-0.014514107051278877,0.16398785667791077
9,0.876068214618289,0.102019299965924,0.03562516789198173,0.17053074965806148
10,0.94584296628442,0.0806479308181028,-0.1132309078639298,0.10411252866036015
11,0.9106248567785,0.120535887520902,-0.08607065602723447,0.11598418902682309
12,0.921484201570976,0.0553077500361413,-0.05370022404641063,0.13584780631286208
13,0.897307655350842,0.0961678462048321,-0.11076054553042969,0.14776629016552315
14,0.811912820329605,0.378831338527523,-0.11881572233551241,0.15014213271654006
15,0.880870087000503,0.117320987365168,-0.06289027891449601,0.12539985471619666
Averages,0.8307063812620252,0.15802481599044577,-0.018171333223287452,0.15740439291630925
