"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Gaiellales","Pseudomonadales","Sphingomonadales","Lactobacillales","Rhodospirillales","Blastocatellales","Selenomonadales","WCHB1_32(class)","Bacillales","Sphingobacteriales","Coriobacteriales","Flavobacteriales","Opitutales","Fusobacteriales","Bifidobacteriales","Actinomycetales","Caulobacterales","Rhizobiales","Erysipelotrichales","Micrococcales","Cytophagales","Gastranaerophilales","Desulfovibrionales","Subgroup_6(class)","Micromonosporales","Anaerolineales","Thermoanaerobacterales","Victivallales","Propionibacteriales","Neisseriales","JG30_KF_CM45","Chloroplast(class)","Frankiales","Bacteroidetes_vadinHA17(class)","Pasteurellales","Enterobacteriales","Solirubrobacterales","Verrucomicrobiales","uncultured(class)","Methanobacteriales","SC_I_84","Gemmatimonadales","Cellvibrionales","Pseudonocardiales"
"X206713",0.0013353681800839375,0.2578214421976345,0.711131247615414,0.0,0.00038153376573826786,0.0,4.769172071728348e-05,4.769172071728348e-05,0.0011922930179320869,0.0,0.0,0.00643838229683327,0.0,0.0002384586035864174,0.0,0.0006676840900419688,9.538344143456696e-05,0.0,0.005436856161770317,0.001001526135062953,0.00019076688286913393,0.0,0.0,0.0015261350629530714,0.0,0.0,0.0,0.011827546737886304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538344143456696e-05,0.0005246089278901182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206732",0.015073009891662742,0.3752408684109108,0.5619834710743802,0.0,8.564210165717467e-05,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.014987367790005566,0.0,8.564210165717467e-05,0.0,0.00042821050828587335,4.282105082858733e-05,0.0,0.00034256840662869867,0.014473515180062518,0.0,0.0,0.0,0.00449621033700167,8.564210165717467e-05,0.0,0.0,0.006166231319316576,0.0,0.0,0.0,4.282105082858733e-05,0.002697726202201002,0.0,4.282105082858733e-05,0.0,0.0,0.0,0.0,0.002697726202201002,0.0008564210165717467,0.0,0.0,0.0,8.564210165717467e-05,0.0,0.0,0.0,0.0
"X206754",0.020892418226507847,0.4795802609188883,0.363112119493288,0.0,0.00018907165815844205,0.0,4.726791453961051e-05,0.0,0.004017772735866894,0.00184344866704481,0.00018907165815844205,0.009169975420684439,0.0,0.0,0.0,0.00557761391567404,0.0,4.726791453961051e-05,0.026611835885800718,0.009500850822461713,0.00014180374361883155,0.0,0.0010398941198714313,0.03393836263944035,0.0009926262053318207,0.00018907165815844205,0.0,0.007515598411798071,0.0003781433163168841,0.0016543770088863678,0.0,0.0,0.0,0.0006144828890149366,0.0007090187180941577,0.00018907165815844205,4.726791453961051e-05,0.00047267914539610514,0.0,0.027982605407449422,0.0024579315560597464,0.00014180374361883155,0.00023633957269805257,0.0,0.00033087540177727357,0.0,0.0,0.0,0.00018907165815844205
"X206762",0.0013170498084291188,0.4634219348659004,0.35614224137931033,0.0,0.0026939655172413795,0.0,0.002334770114942529,0.0,0.0015565134099616857,0.0,0.0,0.02490421455938697,0.0,0.0004789272030651341,5.986590038314176e-05,0.0028735632183908046,0.0028735632183908046,0.0,0.0006585249042145594,0.003232758620689655,0.00023946360153256704,0.0,0.0,0.01532567049808429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010775862068965517,0.0,0.0,0.0,0.0,0.06633141762452108,0.054477969348659006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.017320173585775183,0.5358116671147125,0.40493106494104997,0.0006528668535658052,0.00011521179768808326,0.0,7.680786512538885e-05,0.0001536157302507777,0.001190521909443527,0.0,3.840393256269442e-05,0.012097238757248743,7.680786512538885e-05,7.680786512538885e-05,0.0001920196628134721,0.000998502246630055,0.0001536157302507777,0.0,7.680786512538885e-05,0.0028802949422020814,7.680786512538885e-05,0.0,0.0003456353930642498,0.008717692691731633,0.00026882752793886094,0.0004224432581896386,0.0,0.006912707861284995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018817926955720266,0.004109220784208303,0.0,0.0,0.0,0.0,0.00026882752793886094,0.0,0.0001536157302507777,0.0
"X224330",0.05561932089909134,0.3924438067910091,0.49971305595408894,0.0,0.006025824964131995,0.0,0.00028694404591104734,0.0,0.001721664275466284,0.0,0.0,0.023194643711142993,0.0,0.0012434241989478718,0.0,0.0024868483978957435,0.004973696795791487,0.0,0.0,0.00234337637494022,9.564801530368245e-05,0.0,0.0,0.005691056910569106,0.0,0.0,0.0,0.0,0.0,0.0,0.00014347202295552367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005738880918220947,9.564801530368245e-05,0.0024868483978957435,0.0,0.0001912960306073649,0.00028694404591104734,0.0,0.0,0.0003825920612147298,0.0,0.0
"X224326",0.03147813274395553,0.3590851249079097,0.48449534525483895,0.0,0.0,0.0,0.00010046212577858148,0.0,0.00046882325363338024,0.0,0.0,0.022771415176478467,0.0,0.00013394950103810864,0.0,0.0003348737525952716,0.0,0.0,0.00043533587837385306,6.697475051905432e-05,0.0,0.0,0.0,0.002545040519724064,0.0,0.0,0.0,0.048154845623200056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020092425155716296,0.049695264885138306,0.0,3.348737525952716e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",0.0044519821920712315,0.6922302310790757,0.22318210727157092,0.0,0.00010599957600169599,0.00021199915200339198,0.00021199915200339198,0.0007949968200127199,0.004822980708077167,0.0,0.0,0.03354886580453678,0.0,0.00047699809200763194,0.0,0.000582997668009328,0.00015899936400254398,0.0,0.000370998516005936,0.014150943396226415,0.00010599957600169599,0.00010599957600169599,0.00031799872800508796,0.0049819800720797116,0.00010599957600169599,0.0,0.013355946576213695,0.0038159847360610556,0.0,0.0,0.0,0.00021199915200339198,0.0,0.0,0.0,0.0,0.0,0.00031799872800508796,0.0,0.00015899936400254398,0.00052999788000848,0.0,0.000688997244011024,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.015608002648630753,0.6631982216336376,0.31201816203944566,0.0,0.0,0.0,9.459395544624699e-05,0.0,0.00042567279950811145,0.0,0.0,0.00033107884406186446,0.0,4.7296977723123494e-05,0.0,0.00014189093316937048,0.0,0.0,4.7296977723123494e-05,0.0045405098614198555,9.459395544624699e-05,0.0,0.0,0.003168897507449274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014189093316937048,0.00014189093316937048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.0005842584091478173,0.8334028879058509,0.08876554544695768,0.0,0.0003338619480844671,0.0,0.00029212920457390867,0.0,0.0037976796594608128,0.0025456973541440613,0.0,0.05550454886904265,0.0,0.0005007929221267006,4.1732743510558384e-05,0.0006677238961689341,0.0,0.0,0.0,0.0007094566396794926,0.00016693097404223354,0.0,0.0,0.001836240714464569,0.000542525665637259,0.0,0.0003338619480844671,0.009640263750938986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016693097404223354,0.00016693097404223354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
