"","Tepidimonas","Christensenellaceae_R_7_group","Prevotella","Family_XIII_AD3011_group","Paracoccus","Ruminiclostridium","Corynebacterium","uncultured","Pseudomonas","Angustibacter","Sphingomonas","Lactobacillus","Oscillibacter","Faecalibacterium","Lachnospiraceae_FCS020_group","Sutterella","Veillonella","Ruminococcaceae_UCG_010","Faecalitalea","Clostridiales_vadinBB60_group(family)","Lactonifactor","Lachnospiraceae_UCG_001","Ruminococcaceae_UCG_003","Blautia","Burkholderia_Paraburkholderia","Senegalimassilia","Collinsella","Bacteroides","Butyricicoccus","Streptococcus","Intestinibacter","Paraprevotella","_Eubacterium_hallii_group","Ruminococcaceae_NK4A214_group","Alistipes","Howardella","Fusobacterium","Asticcacaulis","Bifidobacterium","Subdoligranulum","Coprococcus","Odoribacter","Actinomyces","Brevundimonas","Exiguobacterium","Defluviitaleaceae_UCG_011","Acinetobacter","Anaerococcus","Ruminococcaceae_UCG_014","Roseburia","Candidatus_Soleaferrea","Ruminococcus","_Clostridium_innocuum_group","Anaerotruncus","Romboutsia","_Eubacterium_xylanophilum_group","Lachnospiraceae_NK4A136_group","Peptococcus","Butyricimonas","Rothia","Gastranaerophilales(order)","Desulfovibrio","Ruminococcaceae_UCG_013","Arcobacter","MB_A2_108(class)","Atopobium","Coprobacter","Methylobacterium","Mollicutes_RF9(order)","Phascolarctobacterium","Bacteroidales_S24_7_group(family)","Family_XIII_UCG_001","Tyzzerella","_Eubacterium_nodatum_group","Enhydrobacter","Anaeroglobus","Erysipelatoclostridium","Parasutterella","Gelria","Cloacibacillus","vadinBE97(family)","Megasphaera","Dorea","_Eubacterium_coprostanoligenes_group","Zimmermannella","Eikenella","Hydrotalea","Victivallis","Ruminococcaceae_UCG_002","Barnesiella","Obscuribacterales(order)","Lachnospiraceae(family)","Oribacterium","Peptostreptococcus","Lachnospiraceae_UCG_008","Chloroplast(class)","Acidovorax","Dialister","Anaerofilum","Thermicanus","Rikenellaceae_RC9_gut_group","Staphylococcus","Anaerostipes","Peredibacter","Lachnospira","Lachnoclostridium","Sellimonas","Cloacibacterium","Haemophilus","Ruminococcaceae_UCG_008","Aerococcus","Morganella","Aggregatibacter","Victivallaceae(family)","Bryocella","Ruminococcaceae_UCG_004","Proteus","Citrobacter","Butyrivibrio","Stomatobaculum","Parabacteroides","Turicibacter","Finegoldia","Fusicatenibacter","Weissella","Adlercreutzia","Pseudoclavibacter","Akkermansia","Flavonifractor","Eggerthella","Granulicatella","Candidatus_Stoquefichus","Lachnospiraceae_ND3007_group","Bilophila","Ruminococcaceae_UCG_005","Methanobrevibacter","_Eubacterium_rectale_group","Succiniclasticum","Lachnospiraceae_UCG_010","Hafnia_Obesumbacterium","_Eubacterium_ventriosum_group","Holdemania","Holdemanella","Escherichia_Shigella","Bradyrhizobium","_Ruminococcus_gnavus_group","Megamonas","Pseudoxanthomonas","Arthrobacter","Erysipelotrichaceae_UCG_004","Micrococcus","_Eubacterium_eligens_group","Lawsonella","Erysipelotrichaceae_UCG_003"
"X206658",6.121449559255632e-05,0.0053868756121449556,0.00018364348677766894,0.0016527913809990206,0.0010406464250734574,0.009365817825661116,0.0003672869735553379,0.013589618021547503,0.0013467189030362389,0.00018364348677766894,0.0003672869735553379,0.0,6.121449559255632e-05,0.23432908912830558,0.0012242899118511264,0.0,6.121449559255632e-05,0.0012855044074436826,0.0,0.0002448579823702253,0.0,6.121449559255632e-05,0.0053868756121449556,0.008080313418217433,6.121449559255632e-05,0.0,0.0,0.10632957884427033,0.0010406464250734574,0.00116307541625857,0.00018364348677766894,0.0,0.0015303623898139079,0.0002448579823702253,0.06953966699314397,0.0,0.0,0.0,0.0,0.04285014691478942,0.011691968658178257,0.0007345739471106758,0.0,6.121449559255632e-05,0.0008570029382957884,0.0003060724779627816,0.047135161606268364,0.0,0.0003060724779627816,0.019711067580803134,0.0008570029382957884,0.00348922624877571,6.121449559255632e-05,0.00018364348677766894,0.0,0.00697845249755142,0.02595494613124388,0.002142507345739471,0.00232615083251714,0.0,0.0012242899118511264,0.0003672869735553379,0.00232615083251714,0.0,0.0,0.0,0.0,0.0,0.0,0.005631733594515181,0.09843290891283056,6.121449559255632e-05,0.0,0.0,0.0003672869735553379,0.0,0.0,0.007957884427032321,6.121449559255632e-05,0.0,0.0,0.00012242899118511264,0.0023873653281096963,0.0010406464250734574,0.0,0.0,0.0,0.0,0.029995102840352596,0.0,0.0,0.0,0.0,0.0,0.011324681684622919,0.00012242899118511264,0.0,0.0,0.0,0.0,0.0,0.0005509304603330069,0.0011018609206660138,0.0,0.005876591576885406,0.0011018609206660138,0.0,0.0,0.0004285014691478942,0.0,0.0003060724779627816,0.0,0.0,0.0,0.0004285014691478942,6.121449559255632e-05,0.0,0.0004285014691478942,0.0,0.0,0.003305582761998041,0.0,0.0,0.01095739471106758,0.0,0.0,0.0,0.11545053868756121,0.0002448579823702253,0.0,0.0,0.00012242899118511264,0.0012242899118511264,0.003305582761998041,0.009365817825661116,0.0,0.029627815866797257,0.0,0.009365817825661116,0.0,0.0007957884427032321,6.121449559255632e-05,0.0,0.0005509304603330069,0.00012242899118511264,0.004468658178256611,0.0,0.0,0.0,0.0,0.004285014691478942,0.003856513222331048,0.0005509304603330069,0.0006121449559255632
"X215004",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.0,0.0,0.0,0.09325396825396826,0.0,0.003968253968253968,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3869047619047619,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.03373015873015873,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.003968253968253968,0.0,0.0,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001984126984126984,0.021825396825396824,0.0,0.0,0.00992063492063492,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992063492063492,0.0,0.0,0.0,0.0,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.0,0.0,0.023809523809523808,0.0,0.0,0.051587301587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.03968253968253968,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
"X215008",0.0,0.00023207240659085636,0.0,0.0,0.0,0.004061267115339986,0.0,0.0023207240659085635,0.007194244604316547,0.0,0.0,0.0,0.0,0.11789278254815502,0.0,0.0,0.00568577396147598,0.0,0.0,0.0,0.0,0.0,0.0,0.0023207240659085635,0.0,0.0,0.0009282896263634254,0.6738222325365514,0.0004641448131817127,0.0011603620329542817,0.0,0.0,0.0029009050823857042,0.0,0.001972615456022279,0.0,0.00023207240659085636,0.0,0.0003481086098862845,0.004641448131817127,0.0,0.003945230912044558,0.00011603620329542818,0.0,0.0,0.0,0.0,0.0,0.0,0.014272453005337665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.025760037131585055,0.0,0.0,0.0,0.0,0.02982130424692504,0.0,0.0,0.0,0.00023207240659085636,0.002784868879090276,0.0004641448131817127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.009863077280111395,0.0,0.0,0.0010443258296588536,0.0,0.0,0.0,0.0,0.0051055929449988395,0.00023207240659085636,0.0,0.02111858899976793,0.0,0.0,0.004177303318635414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.006381991181248549,0.0,0.0,0.0,0.0016245068461359943,0.00011603620329542818,0.0,0.0,0.0,0.00011603620329542818,0.0,0.0,0.0,0.01137154792295196,0.0,0.0,0.00011603620329542818,0.0,0.00011603620329542818,0.0,0.02355534926897192,0.0,0.007774425620793688,0.0,0.0,0.001392434439545138,0.0,0.0,0.0,0.0,0.001392434439545138
"X215010",0.0,0.018731207177009906,0.061320057179474544,0.000985853009316311,0.0,0.00842904322965446,0.0,0.024942081135702666,0.003499778183072904,0.0,0.0,0.0,0.0,0.16513037906048209,4.9292650465815544e-05,0.010450041898752895,9.858530093163109e-05,0.000985853009316311,0.0,0.00044363385419233993,4.9292650465815544e-05,0.00024646325232907776,0.004929265046581555,0.007936116724996303,0.0,0.0,4.9292650465815544e-05,0.25163898062798834,0.0018731207177009907,0.0007886824074530487,0.0,0.0,0.0014294868635086509,0.0023167545718933307,0.02006210873958693,0.002809681076551486,0.0,0.0,0.00019717060186326217,0.046778725292058954,0.023956228126386356,0.003253314930743826,0.0,0.0,0.0,0.0,4.9292650465815544e-05,4.9292650465815544e-05,0.008231872627791197,0.03687090254843003,0.0,0.018977670429338987,0.0,0.0018238280672351753,9.858530093163109e-05,0.0005915118055897866,0.0011337309607137576,0.001971706018632622,0.00044363385419233993,0.0,0.013259722975304382,0.004879972396115739,0.0006900971065214176,0.000985853009316311,0.0,9.858530093163109e-05,0.00024646325232907776,0.0,0.009168432986641691,0.004929265046581555,0.0,0.00039434120372652435,0.00039434120372652435,0.0,0.0,0.0,4.9292650465815544e-05,0.001084438310247942,0.0,0.0007393897569872332,0.0,0.0,0.001528072164440282,0.0032040222802780104,0.0,0.0,0.0,0.00019717060186326217,0.03534283038398975,0.018090402720954305,0.0,0.0,0.0,0.00024646325232907776,0.01784393946862523,0.0,0.0,0.0,0.0,0.0,0.0,0.00019717060186326217,0.002809681076551486,0.0,0.0036969487849361662,0.011830236111795732,0.0,0.0,0.00024646325232907776,0.0,0.0,0.0,0.00024646325232907776,0.0,0.0,0.0002957559027948933,0.0,9.858530093163109e-05,0.0,0.0,0.013801942130428353,4.9292650465815544e-05,0.00019717060186326217,0.0017252427663035442,0.00014787795139744664,0.0,0.0,0.024202691378715432,0.0006408044560556022,0.0,0.00014787795139744664,0.0,0.0013801942130428353,0.003992704687731059,0.019322718982599695,0.0,0.03041356533740819,0.0,0.020949376447971606,0.0,9.858530093163109e-05,0.0003450485532607088,0.0029082663774831173,0.0011830236111795732,0.0,0.0022181692709616996,0.005471484201705526,0.0,0.0,0.00039434120372652435,0.0,0.003056144328880564,0.0,0.0009365603588504953
"X215049",0.0,0.0,0.08741258741258741,0.0,0.0,0.0,0.3076923076923077,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.05244755244755245,0.0,0.0034965034965034965,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0979020979020979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215056",0.00012695994413762458,0.0034913984637846758,6.347997206881229e-05,0.00038087983241287375,0.0,0.007554116676188663,0.0,0.01796483209547388,6.347997206881229e-05,0.0,0.0,0.0,0.0,0.027042468101314037,0.0,0.0,0.0018409191899955565,0.0,0.004380118072748048,0.00019043991620643687,0.00031739986034406146,0.0,0.0,0.006792357011362915,0.0,0.0,0.0,0.16828540595442137,0.0006347997206881229,0.00856979622928966,0.0,0.0,0.01358471402272583,0.00025391988827524917,0.0076175966482574745,0.0,0.01466387354789564,0.0,0.0026026788548213038,0.01720307243064813,0.0029835586872341774,0.0,0.00012695994413762458,0.0,0.0,0.0,6.347997206881229e-05,0.0,0.0015869993017203073,0.00019043991620643687,0.00031739986034406146,0.010283755475147592,0.0,0.0009521995810321843,6.347997206881229e-05,0.0,0.15044753380308512,0.0,0.00038087983241287375,0.0,0.0013965593855138703,0.0009521995810321843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021837110391671428,0.0,0.0,0.01333079413445058,0.00012695994413762458,0.0,0.00019043991620643687,0.002856598743096553,0.0034279184917158636,0.0,0.0,0.0,0.0,0.002158319050339618,0.0,0.0,0.0008887196089633721,6.347997206881229e-05,0.0,0.0,0.00387227829619755,0.0,0.0,0.0,0.0,0.009648955754459468,0.0,0.0,0.0,0.0014600393575826826,0.0,0.0,0.00019043991620643687,0.06011553354916524,0.0,0.00012695994413762458,0.0,0.0,0.0,0.0014600393575826826,0.0,0.0,0.007173236843775788,0.0,0.0,0.0,6.347997206881229e-05,0.0006982796927569352,6.347997206881229e-05,0.0,0.0,0.00038087983241287375,0.0,6.347997206881229e-05,0.03053386656509871,0.0,0.0,0.0,0.07655684631498762,0.007554116676188663,0.0,0.00044435980448168604,0.0,0.005332317653780233,0.005649717514124294,0.00044435980448168604,0.0008887196089633721,0.19043991620643688,0.0,0.0,0.0,0.0,0.0,0.0,0.0531962165936647,0.0,0.019932711229607058,0.0,0.0,0.0,0.0,0.0,0.005459277597917857,0.0,0.0
"X215058",0.0,0.014673764673764673,0.049686049686049685,0.0007507507507507507,0.0,0.006415506415506415,0.0,0.049754299754299756,0.0014332514332514332,0.0,0.0,0.0,0.000819000819000819,0.10162435162435163,0.0,0.04040404040404041,0.0004095004095004095,0.0,0.0,0.0,0.0,0.00020475020475020476,0.016516516516516516,0.01173901173901174,0.0,0.00020475020475020476,0.00020475020475020476,0.13779688779688778,0.0019792519792519794,0.000273000273000273,0.0,0.031736281736281735,0.008463008463008462,0.007098007098007098,0.011875511875511875,0.0018427518427518428,0.0,0.0001365001365001365,6.825006825006825e-05,0.03132678132678133,0.019246519246519246,0.003617253617253617,0.00034125034125034127,0.0,0.0,0.0,6.825006825006825e-05,0.0,0.012353262353262354,0.07145782145782145,0.0,0.0037537537537537537,0.0,0.0010237510237510238,0.0,0.0020475020475020475,0.0040267540267540265,0.0,0.005733005733005733,0.0,0.0,0.035763035763035765,0.0017745017745017745,0.0,0.0,0.0,0.00020475020475020476,0.0,0.004231504231504231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001365001365001365,0.0,0.00020475020475020476,0.0009555009555009555,0.0,0.01597051597051597,0.011193011193011193,0.0,0.0004095004095004095,0.0,0.0,0.052757302757302754,0.013581763581763582,0.00034125034125034127,0.00020475020475020476,0.0,0.0,0.014332514332514333,0.0,0.0,6.825006825006825e-05,0.0,0.0,0.00020475020475020476,0.0,0.0017745017745017745,0.0,0.006142506142506142,0.024024024024024024,0.0,0.0,0.0006825006825006825,0.004845754845754845,0.0,0.0,0.0,6.825006825006825e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004436254436254436,0.0,0.0,0.011943761943761944,0.0,0.0,0.0,0.017813267813267815,0.000546000546000546,0.0,0.0001365001365001365,0.0,0.001638001638001638,0.005323505323505323,0.011943761943761944,0.0004777504777504777,0.053098553098553096,0.007644007644007644,0.027777777777777776,0.0,0.0004095004095004095,0.0,0.003549003549003549,0.0006825006825006825,0.0,0.006893256893256893,0.0,0.0,0.0,0.0,0.0,0.0006825006825006825,0.0,0.0040267540267540265
"X215074",0.0006774149844194553,0.0006774149844194553,0.0,0.0,0.0,0.003387074922097277,0.0,0.03522557918981168,0.0,0.0,0.0,0.0,0.0,0.062457661563473786,0.0,0.027367565370545997,0.01273540170708576,0.0,0.0,0.0,0.0,0.00013548299688389108,0.0,0.010838639750711285,0.0,0.0,0.0027096599376778214,0.3078173689202005,0.001761278959490584,0.01002574176940794,0.0,0.0,0.0020322449532583662,0.0021677279501422573,0.004877387887820078,0.0,0.0006774149844194553,0.0,0.0031161089283294947,0.026283701395474868,0.07871562118954072,0.0,0.0010838639750711287,0.0,0.0,0.003522557918981168,0.00013548299688389108,0.0,0.004199972903400623,0.008264462809917356,0.00027096599376778217,0.004741904890936188,0.0,0.0,0.0,0.0009483809781872375,0.007045115837962336,0.0,0.0,0.00013548299688389108,0.0,0.0,0.0,0.0,0.0004064489906516732,0.0,0.0,0.0,0.005961251862891207,0.0,0.0,0.0006774149844194553,0.00027096599376778217,0.0,0.0,0.0,0.001761278959490584,0.0,0.0,0.0,0.0,0.0,0.00379352391274895,0.0,0.0,0.0,0.0,0.0,0.006638666847310662,0.0,0.0,0.0,0.0,0.0,0.009619292778756266,0.0,0.00013548299688389108,0.00880639479745292,0.00013548299688389108,0.0,0.0,0.0,0.1337217179244005,0.0,0.0058257688660073165,0.019645034548164204,0.003658040915865059,0.0,0.00501287088470397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013548299688389108,0.0,0.0,0.0,0.0025741769407939302,0.0,0.0,0.00027096599376778217,0.011787020728898524,0.0005419319875355643,0.0,0.001625795962606693,0.0,0.0013548299688389107,0.0021677279501422573,0.001761278959490584,0.0,0.0925348868716976,0.0,0.0,0.0,0.0,0.0020322449532583662,0.0,0.003522557918981168,0.0,0.02560628641105541,0.0,0.0,0.0,0.0,0.0,0.0031161089283294947,0.0,0.020864381520119227
"X222170",0.0,0.0022218930528810545,0.0,0.0005925048141016146,0.0,0.006961931565693971,0.0,0.005332543326914531,0.0,0.0,0.0,0.0,0.0,0.06354614131239816,0.0,0.03747592949192712,0.0008887572211524219,0.0,0.0,0.0,0.0,0.0,0.0,0.011257591467930678,0.0,0.0,0.0002962524070508073,0.6036142793660199,0.0011850096282032291,0.002073766849355651,0.0,0.0,0.006813805362168568,0.0,0.06428677233002518,0.0,0.0,0.0,0.0002962524070508073,0.0202932898829803,0.0019256406458302473,0.01051696045030366,0.0002962524070508073,0.0,0.0,0.0,0.0,0.0,0.0,0.008591319804473412,0.0,0.0008887572211524219,0.0,0.0,0.0,0.0,0.004295659902236706,0.0,0.018367649237150053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006665679158643164,0.0,0.0,0.0047400385128129165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002962524070508073,0.00014812620352540364,0.0,0.0,0.0,0.0,0.0026662716634572657,0.02355206636053918,0.0,0.0,0.0,0.0,0.006813805362168568,0.0,0.00044437861057621095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011850096282032291,0.023255813953488372,0.0,0.0,0.0,0.00014812620352540364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01747889201599763,0.0,0.0,0.003999407495185898,0.0,0.0,0.0,0.0,0.0038512812916604946,0.0002962524070508073,0.0,0.0,0.0026662716634572657,0.0060731743445415496,0.0011850096282032291,0.0,0.018960154051251666,0.0,0.0,0.0,0.0005925048141016146,0.00014812620352540364,0.0,0.0013331358317286328,0.0,0.0008887572211524219,0.0,0.0,0.0,0.0,0.0,0.0,0.0005925048141016146,0.0
"X224844",0.0004532269760696157,0.00462291515591008,0.0,0.0007251631617113851,0.0,0.011874546773023931,0.0006345177664974619,0.011965192168237854,0.0002719361856417694,0.0,0.0,0.0005438723712835388,0.0,0.3784445250181291,0.0,0.03118201595358956,9.064539521392314e-05,0.0,0.0,0.0,0.0,0.0,0.0014503263234227702,0.005982596084118927,0.0,0.0,0.0,0.26776649746192893,0.0005438723712835388,0.0002719361856417694,0.0,0.0,0.018038433647570705,0.0,0.013778100072516316,0.0,0.0019035532994923859,0.0,0.004169688179840464,0.05230239303843365,0.005438723712835388,0.0009970993473531545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025018129079042786,0.0,0.0012690355329949238,0.0,0.0,0.0,0.0,0.01069615663524293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011330674401740392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031725888324873096,0.0005438723712835388,0.0,0.0,0.0,0.0,0.00870195794053662,0.0,0.0,0.0,0.0,0.0,0.0109680928208847,0.0,0.0005438723712835388,0.0,0.0,0.0005438723712835388,0.0,9.064539521392314e-05,0.009880348078317622,0.0,0.0,0.0016316171138506164,0.0,0.0,0.003353879622915156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003897751994198695,0.0,0.0,0.006526468455402465,0.0,0.0005438723712835388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007251631617113851,0.0014503263234227702,0.0,0.016134880348078317,0.0,0.005257432922407542,0.0,0.0,0.0,0.0,0.02864394488759971,0.0,0.02810007251631617,0.0,0.00018129079042784627,0.0,0.0,0.0,0.0008158085569253082,0.0,0.0
