"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Kineosporiales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Erysipelotrichales","Coriobacteriales","Fusobacteriales","Caulobacterales","Bifidobacteriales","Actinomycetales","Bacillales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Campylobacterales","MB_A2_108(class)","Rhizobiales","Mollicutes_RF9","Thermoanaerobacterales","Synergistales","Victivallales","Neisseriales","Sphingobacteriales","Obscuribacterales","Chloroplast(class)","Bdellovibrionales","Flavobacteriales","Pasteurellales","Enterobacteriales","Acidobacteriales","Verrucomicrobiales","Methanobacteriales","Xanthomonadales"
"X206658",0.008080313418217433,0.5227105778648384,0.2808521057786484,0.0010406464250734574,0.0009182174338883448,0.04884916748285994,0.00018364348677766894,0.0003672869735553379,0.0014691478942213516,0.0004285014691478942,0.00581537708129285,0.0008570029382957884,0.00018364348677766894,0.0,6.121449559255632e-05,0.0,0.0,0.0014079333986287952,0.004285014691478942,0.0012242899118511264,0.003672869735553379,0.0,0.0,0.00012242899118511264,0.0,6.121449559255632e-05,0.0,0.0,0.0,0.0,0.0,0.00012242899118511264,0.0,0.0,0.0004285014691478942,0.0009794319294809011,0.0004285014691478942,0.11545053868756121,0.0,0.0
"X215004",0.003968253968253968,0.31547619047619047,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.04563492063492063,0.0,0.031746031746031744,0.003968253968253968,0.0,0.03373015873015873,0.0,0.0,0.0,0.001984126984126984,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.03968253968253968,0.0,0.0,0.0,0.0
"X215008",0.02982130424692504,0.2401949408215363,0.6797400789046183,0.0,0.0,0.007194244604316547,0.0,0.0,0.0011603620329542817,0.0,0.006962172197725691,0.0015084706428405662,0.0009282896263634254,0.00023207240659085636,0.0,0.0003481086098862845,0.00011603620329542818,0.0,0.001392434439545138,0.0,0.0,0.0,0.0,0.0003481086098862845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023207240659085636,0.0,0.004177303318635414,0.024019494082153633,0.0,0.0016245068461359943,0.0,0.0
"X215010",0.011534480209000837,0.5399516932025435,0.3688569034356977,0.0,0.0,0.0035490708335387195,0.0,0.0,0.001084438310247942,0.0,0.010499334549218711,0.004682801794252477,0.00024646325232907776,0.0,0.0,0.00019717060186326217,0.0,0.00019717060186326217,0.0,0.013259722975304382,0.008872677083846798,0.000985853009316311,0.0,0.0,0.009168432986641691,0.0,0.0007393897569872332,0.00019717060186326217,0.0,0.0,0.0,0.0,0.0,0.0,0.0004929265046581555,0.0012816089121112043,0.0,0.024202691378715432,0.0,0.0
"X215049",0.0034965034965034965,0.10139860139860139,0.26223776223776224,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944055944055944,0.0,0.11538461538461539,0.0,0.0,0.0,0.0
"X215056",0.0035548784358534883,0.607058972894052,0.18060052053577097,0.0,0.0,0.00012695994413762458,0.0,0.0,0.009014156033771346,0.0012061194693074335,0.02386846949787342,0.007363676759982226,0.0006347997206881229,0.01466387354789564,0.0,0.0026026788548213038,0.00012695994413762458,0.00019043991620643687,0.0,0.0013965593855138703,0.006601917095156478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008887196089633721,6.347997206881229e-05,0.0,0.0,0.0,0.0,0.0014600393575826826,0.061131213102266234,0.0,0.07655684631498762,0.0008887196089633721,0.0
"X215058",0.04054054054054054,0.5868140868140869,0.2588725088725089,0.0,0.0,0.0015015015015015015,0.0,0.0,0.0004095004095004095,0.028255528255528257,0.008121758121758122,0.007575757575757576,0.0004095004095004095,0.0,0.0001365001365001365,6.825006825006825e-05,0.00034125034125034127,0.0,0.0,0.0,0.041086541086541084,0.0,0.0,0.0,0.004231504231504231,0.0,0.00020475020475020476,0.0010237510237510238,0.0004095004095004095,0.0,0.00034125034125034127,0.0,0.0,0.0,0.0006825006825006825,0.0006825006825006825,0.0,0.017813267813267815,0.0004777504777504777,0.0
"X215074",0.028180463351849344,0.5642866820214063,0.3126947568080206,0.0,0.0,0.00013548299688389108,0.0,0.0,0.011651537732014633,0.0,0.02154179650453868,0.024657905432868176,0.0027096599376778214,0.0006774149844194553,0.0,0.0031161089283294947,0.0010838639750711287,0.0,0.0004064489906516732,0.0,0.0021677279501422573,0.0,0.0004064489906516732,0.0,0.005961251862891207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00501287088470397,0.003522557918981168,0.0,0.011787020728898524,0.0,0.0
"X222170",0.03792030810250333,0.20485853947563323,0.7378166197600355,0.0,0.0005925048141016146,0.0,0.0,0.0,0.002073766849355651,0.0,0.007554436379795586,0.0005925048141016146,0.0005925048141016146,0.0,0.0,0.0002962524070508073,0.0002962524070508073,0.0,0.0,0.0,0.0060731743445415496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013331358317286328,0.0,0.0,0.0,0.0
"X224844",0.03217911530094271,0.6215554749818709,0.2864394488759971,0.0,0.0006345177664974619,0.0002719361856417694,0.0,0.0,0.0008158085569253082,0.0,0.011421319796954314,0.0,0.0005438723712835388,0.0019035532994923859,0.0,0.004169688179840464,0.0,0.0006345177664974619,0.0,0.0,0.007251631617113851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003353879622915156,0.02864394488759971,0.0,0.0,0.0,0.00018129079042784627
