"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Cyanobacteria","Tenericutes","Synergistetes","Lentisphaerae","Acidobacteria","Verrucomicrobia","Euryarchaeota"
"X206658",0.06403036238981391,0.5323212536728698,0.2808521057786484,0.005570519098922625,0.0,0.0013467189030362389,0.0,0.0,0.0,0.0004285014691478942,0.11545053868756121,0.0
"X215004",0.16666666666666666,0.39880952380952384,0.3888888888888889,0.011904761904761904,0.03373015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215008",0.06579252726850777,0.24982594569505687,0.6797400789046183,0.002784868879090276,0.00023207240659085636,0.0,0.0,0.0,0.0,0.0,0.0016245068461359943,0.0
"X215010",0.026716616552472025,0.5564154384581259,0.3688569034356977,0.00044363385419233993,0.0,0.013259722975304382,0.009168432986641691,0.0007393897569872332,0.00019717060186326217,0.0,0.024202691378715432,0.0
"X215049",0.11888111888111888,0.1958041958041958,0.32167832167832167,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215056",0.07496984701326731,0.6474957151018853,0.1806640005078398,0.0033644385196470515,0.01466387354789564,0.0013965593855138703,0.0,0.0,0.0,0.0,0.07655684631498762,0.0008887196089633721
"X215058",0.1132951132951133,0.6029211029211029,0.2588725088725089,0.000819000819000819,0.0,0.00034125034125034127,0.004231504231504231,0.00020475020475020476,0.0010237510237510238,0.0,0.017813267813267815,0.0004777504777504777
"X215074",0.039019103102560626,0.6221379216908278,0.3126947568080206,0.007722530822381791,0.0006774149844194553,0.0,0.005961251862891207,0.0,0.0,0.0,0.011787020728898524,0.0
"X222170",0.04532661827877352,0.2150792475188861,0.7378166197600355,0.0017775144423048438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224844",0.07188179840464104,0.634427121102248,0.2864394488759971,0.005348078317621465,0.0019035532994923859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
