"","x"
"1","Oscillibacter"
"2","Lachnospiraceae_FCS020_group"
"3","Lachnospiraceae_UCG_001"
"4","Anaerococcus"
"5","Ruminococcaceae_UCG_014"
"6","_Clostridium_innocuum_group"
"7","_Eubacterium_brachy_group"
"8","Butyricimonas"
"9","MB_A2_108(class)"
"10","Gallicola"
"11","Cloacibacillus"
"12","Alloprevotella"
"13","Family_XIII_UCG_002"
"14","Zimmermannella"
"15","Eikenella"
"16","Cardiobacterium"
"17","Knoellia"
"18","Thermicanus"
"19","Peredibacter"
"20","Morganella"
"21","Turicibacter"
"22","Eggerthella"
"23","Slackia"
"24","_Eubacterium_ventriosum_group"
