"","x"
"1","Lachnospiraceae_FCS020_group"
"2","Lachnospiraceae_UCG_001"
"3","Hydrogenoanaerobacterium"
"4","Ruminococcaceae_UCG_014"
"5","_Eubacterium_brachy_group"
"6","Butyricimonas"
"7","Arcobacter"
"8","MB_A2_108(class)"
"9","Faecalibaculum"
"10","Erysipelatoclostridium"
"11","Alloprevotella"
"12","Zimmermannella"
"13","Eikenella"
"14","Hydrotalea"
"15","Thermicanus"
"16","Rikenellaceae_RC9_gut_group"
"17","Peredibacter"
"18","Alishewanella"
"19","Turicibacter"
"20","Eggerthella"
"21","Cryptobacterium"
"22","Slackia"
"23","_Eubacterium_ventriosum_group"
