"","Betaproteobacteria","Clostridia","Bacteroidia","Alphaproteobacteria","Actinobacteria","Gammaproteobacteria","Bacilli","Negativicutes","Erysipelotrichia","Fusobacteriia","Deinococci","Coriobacteriia","Melainabacteria","Deltaproteobacteria","Mollicutes","Sphingobacteriia","Thermomicrobia","Chloroplast","Epsilonproteobacteria","Flavobacteriia","Cytophagia","Verrucomicrobiae","Methanobacteria","Latescibacteria(phylum)"
"X206704",0.020413673921261543,0.5386401684938165,0.2893017227412648,0.0,0.0023221904196144083,0.0624291191877734,0.020413673921261543,0.057514716206728954,0.0010800885672625155,0.0010800885672625155,0.0,0.0012421018523518929,0.0,0.003348274558513798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022141815628881566,0.0,0.0
"X206753",0.009115488605639243,0.5033989957512554,0.3954036307454616,3.862495171881035e-05,0.0018539976825028969,0.00220162224797219,0.011896485129393588,0.04936268829663963,0.001197373503283121,0.0002317497103128621,0.0,0.0001544998068752414,0.0,0.009154113557358054,0.0013518733101583623,0.0,0.0,3.862495171881035e-05,0.0,0.0,0.0,0.014600231749710313,0.0,0.0
"X206711",0.00012992074834351045,0.5793599237798276,0.341388419730631,0.0,0.0029015633796717335,0.0009527521545190767,0.0013858213156641116,0.04694469706812178,0.02174007188948075,0.0002598414966870209,0.0,0.002771642631328223,0.0,0.002122038889610671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330691611450349e-05,0.0,0.0
"X206719",0.0045281729249433975,0.4729377589815883,0.4947669699688154,0.0,0.0011106839249861165,0.0008116536374898544,8.543722499893203e-05,0.004400017087445,0.012772865137340338,0.0,0.0,0.00042718612499466016,0.0,0.008031099149899612,0.0,0.0,0.0,0.0,4.2718612499466016e-05,8.543722499893203e-05,0.0,0.0,0.0,0.0
"X206726",0.0001254495274734465,0.5385130049343481,0.42414485238772265,0.0,0.0005854311282094171,0.005185247135569122,0.00037634858242033953,0.013255833403027516,0.007359705611775529,0.008990549468930334,0.0,0.00020908254578907754,0.0,0.0006690641465250481,0.0,0.0,0.0,0.0,0.0005854311282094171,0.0,0.0,0.0,0.0,0.0
"X206730",0.00013462574044157243,0.22051696284329564,0.2660204631125471,0.0,0.001884760366182014,0.4886914378029079,0.0057889068389876145,0.0006731287022078621,0.011443187937533657,0.001884760366182014,0.0,0.00026925148088314486,0.0,0.0,0.0,0.000942380183091007,0.0005385029617662897,0.0,0.000942380183091007,0.0,0.0,0.0,0.0,0.00026925148088314486
"X206739",0.013710530291584831,0.6778214231757063,0.2640126907387823,3.777005589968273e-05,0.0046079468197612935,0.0020395830185828676,0.0010953316210907992,0.013899380571083246,0.018507327390844538,0.00030216044719746184,0.0,0.000566550838495241,0.0,0.003210454751473032,0.0,0.0,0.0,0.0,7.554011179936546e-05,0.0,3.777005589968273e-05,7.554011179936546e-05,0.0,0.0
"X206741",0.01718153418951753,0.5277681360638667,0.42867060048594235,0.00013016313779937522,0.001345019090593544,0.0009111419645956265,0.0009545296771954183,0.011150642138146477,0.0007375911141964596,0.00013016313779937522,8.677542519958348e-05,8.677542519958348e-05,0.0,0.010846928149947935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206742",0.011120721611268997,0.3556983401293299,0.5307055480044482,4.118785781951481e-05,0.0015651385971415627,0.0018122657440586515,0.017175336710737673,0.0386753984925244,0.0011532600189464147,0.0,0.0,0.00028831500473660367,0.0,0.0018534536018781664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03805758062523168,0.0018534536018781664,0.0
"X224324",0.06977444903581267,0.23050103305785125,0.621986914600551,4.304407713498623e-05,0.000946969696969697,0.060390840220385676,0.005897038567493113,0.00649965564738292,0.001506542699724518,0.00021522038567493114,0.0,0.00012913223140495868,0.0,0.0018078512396694215,0.0,0.0,0.0,0.0,0.0003013085399449036,0.0,0.0,0.0,0.0,0.0
"X219651",0.005668598502474724,0.6827276957570118,0.22704006091628243,0.0,0.027327721138796057,0.0005499386606878464,0.002326663564448581,0.03240407800668387,0.003934176572613054,4.23029738990651e-05,0.0,0.0002961208172934557,0.011167985109353188,0.005795507424171919,0.0,0.0,0.0,0.0,0.0,0.0002961208172934557,0.0,0.00042302973899065107,0.0,0.0
"X219656",0.027462991322103114,0.6385911179173047,0.30056151097498723,0.0017355793772332823,0.002041858090862685,0.010821847881572231,0.00010209290454313425,0.004287901990811639,0.007759060745278203,0.0010209290454313426,0.0,0.0002041858090862685,0.0,0.002450229709035222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029606942317508935,0.0,0.0
"X219658",0.0,0.5212649945474372,0.0,0.0,0.010905125408942203,0.2955288985823337,0.021810250817884406,0.05997818974918211,0.08833151581243184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021810250817884407,0.0,0.0
