"","x"
"1","Prevotella"
"2","Ruminococcaceae_UCG_010"
"3","Leptotrichia"
"4","Alloscardovia"
"5","Streptococcus"
"6","Ruminococcaceae_NK4A214_group"
"7","Abiotrophia"
"8","Candidatus_Soleaferrea"
"9","Ruminococcus"
"10","Rothia"
"11","Solobacterium"
"12","Desulfovibrio"
"13","Faecalibaculum"
"14","Erysipelatoclostridium"
"15","Rhizobium"
"16","Ruminococcaceae_UCG_002"
"17","Parvimonas"
"18","Lachnospiraceae_UCG_008"
"19","Chloroplast(class)"
"20","Anaerostipes"
"21","Aggregatibacter"
"22","Ruminococcaceae_UCG_005"
"23","Hafnia_Obesumbacterium"
"24","_Eubacterium_ventriosum_group"
